02:46:34.780 INF Connecting to orderer. addrStr=18.204.23.193:10099 peerId=9
02:46:34.783 INF Connecting to orderer. addrStr=44.202.192.40:10000 peerId=0
02:46:34.783 INF Connecting to orderer. addrStr=3.235.99.7:10011 peerId=1
02:46:34.783 INF Connecting to orderer. addrStr=34.201.209.126:10022 peerId=2
02:46:34.783 INF Connecting to orderer. addrStr=3.236.177.105:10033 peerId=3
02:46:34.783 INF Connecting to orderer. addrStr=3.231.158.25:10044 peerId=4
02:46:34.783 INF Connecting to orderer. addrStr=3.227.232.242:10055 peerId=5
02:46:34.784 INF Connecting to orderer. addrStr=35.174.242.145:10066 peerId=6
02:46:34.784 INF Connecting to orderer. addrStr=18.208.200.150:10077 peerId=7
02:46:34.784 INF Connecting to orderer. addrStr=3.235.0.44:10088 peerId=8
02:46:34.784 INF Connecting to orderer. addrStr=3.219.247.68:10110 peerId=10
02:46:34.784 INF Connecting to orderer. addrStr=44.198.185.185:10121 peerId=11
02:46:34.784 INF Connecting to orderer. addrStr=44.192.40.20:10132 peerId=12
02:46:34.784 INF Connecting to orderer. addrStr=3.238.243.135:10143 peerId=13
02:46:34.784 INF Connecting to orderer. addrStr=44.204.209.106:10154 peerId=14
02:46:34.784 INF Connecting to orderer. addrStr=3.239.17.123:10165 peerId=15
02:46:34.785 INF Connecting to orderer. addrStr=18.234.97.11:10176 peerId=16
02:46:35.272 INF Connected to orderer. addrStr=44.192.40.20:10132 id=12
02:46:35.280 INF Connected to orderer. addrStr=18.234.97.11:10176 id=16
02:46:35.283 INF Connected to orderer. addrStr=3.236.177.105:10033 id=3
02:46:35.291 INF Connected to orderer. addrStr=18.204.23.193:10099 id=9
02:46:35.292 INF Connected to orderer. addrStr=3.235.0.44:10088 id=8
02:46:35.292 INF Connected to orderer. addrStr=35.174.242.145:10066 id=6
02:46:35.295 INF Connected to orderer. addrStr=3.227.232.242:10055 id=5
02:46:35.302 INF Connected to orderer. addrStr=3.239.17.123:10165 id=15
02:46:35.304 INF Connected to orderer. addrStr=3.219.247.68:10110 id=10
02:46:35.308 INF Connected to orderer. addrStr=3.238.243.135:10143 id=13
02:46:35.312 INF Connected to orderer. addrStr=3.231.158.25:10044 id=4
02:46:35.315 INF Connected to orderer. addrStr=44.202.192.40:10000 id=0
02:46:35.340 INF Connected to orderer. addrStr=3.235.99.7:10011 id=1
02:46:35.348 INF Connected to orderer. addrStr=34.201.209.126:10022 id=2
02:46:35.348 INF Connected to orderer. addrStr=44.204.209.106:10154 id=14
02:46:35.350 INF Connected to orderer. addrStr=18.208.200.150:10077 id=7
02:46:35.374 INF Connected to orderer. addrStr=44.198.185.185:10121 id=11
02:46:35.374 INF Connected to orderers.
02:46:35.374 INF Non crashing node count. count=17
02:46:35.375 INF Updating bucket assignment. epoch=0
02:46:35.375 INF Resubmitted Requests. epoch=0 n=0
02:46:35.375 INF Setting up client timeout. clientRunTime=30000
02:46:35.375 INF Starting to submit requests. numRequests=7031
02:46:49.580 INF Request finished (out of order). clSeqNr=9
02:46:49.580 INF Request finished (out of order). clSeqNr=25
02:46:49.580 INF Request finished (out of order). clSeqNr=41
02:46:49.580 INF Request finished (out of order). clSeqNr=57
02:46:49.602 INF Request finished (out of order). clSeqNr=73
02:46:49.602 INF Request finished (out of order). clSeqNr=89
02:46:49.602 INF Request finished (out of order). clSeqNr=105
02:46:49.637 INF Request finished (out of order). clSeqNr=3
02:46:49.637 INF Request finished (out of order). clSeqNr=19
02:46:49.637 INF Request finished (out of order). clSeqNr=35
02:46:49.637 INF Request finished (out of order). clSeqNr=51
02:46:49.637 INF Request finished (out of order). clSeqNr=67
02:46:49.637 INF Request finished (out of order). clSeqNr=83
02:46:49.637 INF Request finished (out of order). clSeqNr=99
02:46:49.637 INF Request finished (out of order). clSeqNr=115
02:46:49.637 INF Request finished (out of order). clSeqNr=2
02:46:49.637 INF Request finished (out of order). clSeqNr=18
02:46:49.637 INF Request finished (out of order). clSeqNr=34
02:46:49.637 INF Request finished (out of order). clSeqNr=50
02:46:49.637 INF Request finished (out of order). clSeqNr=66
02:46:49.637 INF Request finished (out of order). clSeqNr=82
02:46:49.637 INF Request finished (out of order). clSeqNr=98
02:46:49.637 INF Request finished (out of order). clSeqNr=114
02:46:49.637 INF Request finished (out of order). clSeqNr=7
02:46:49.637 INF Request finished (out of order). clSeqNr=23
02:46:49.637 INF Request finished (out of order). clSeqNr=39
02:46:49.637 INF Request finished (out of order). clSeqNr=55
02:46:49.637 INF Request finished (out of order). clSeqNr=71
02:46:49.637 INF Request finished (out of order). clSeqNr=87
02:46:49.637 INF Request finished (out of order). clSeqNr=103
02:46:49.637 INF Request finished (out of order). clSeqNr=119
02:46:49.637 INF Request finished (out of order). clSeqNr=5
02:46:49.637 INF Request finished (out of order). clSeqNr=21
02:46:49.637 INF Request finished (out of order). clSeqNr=37
02:46:49.637 INF Request finished (out of order). clSeqNr=53
02:46:49.637 INF Request finished (out of order). clSeqNr=69
02:46:49.637 INF Request finished (out of order). clSeqNr=85
02:46:49.637 INF Request finished (out of order). clSeqNr=101
02:46:49.637 INF Request finished (out of order). clSeqNr=117
02:46:49.637 INF Request finished (out of order). clSeqNr=6
02:46:49.637 INF Request finished (out of order). clSeqNr=22
02:46:49.637 INF Request finished (out of order). clSeqNr=38
02:46:49.637 INF Request finished (out of order). clSeqNr=54
02:46:49.637 INF Request finished (out of order). clSeqNr=70
02:46:49.637 INF Request finished (out of order). clSeqNr=86
02:46:49.637 INF Request finished (out of order). clSeqNr=102
02:46:49.637 INF Request finished (out of order). clSeqNr=118
02:46:49.637 INF Request finished (out of order). clSeqNr=15
02:46:49.637 INF Request finished (out of order). clSeqNr=31
02:46:49.637 INF Request finished (out of order). clSeqNr=47
02:46:49.669 INF Request finished (out of order). clSeqNr=63
02:46:49.669 INF Request finished (out of order). clSeqNr=79
02:46:49.669 INF Request finished (out of order). clSeqNr=95
02:46:49.669 INF Request finished (out of order). clSeqNr=111
02:46:49.669 INF Request finished (out of order). clSeqNr=1
02:46:49.669 INF Request finished (out of order). clSeqNr=17
02:46:49.669 INF Request finished (out of order). clSeqNr=33
02:46:49.669 INF Request finished (out of order). clSeqNr=49
02:46:49.669 INF Request finished (out of order). clSeqNr=65
02:46:49.669 INF Request finished (out of order). clSeqNr=81
02:46:49.669 INF Request finished (out of order). clSeqNr=97
02:46:49.669 INF Request finished (out of order). clSeqNr=113
02:46:49.669 INF Request finished (out of order). clSeqNr=8
02:46:49.669 INF Request finished (out of order). clSeqNr=24
02:46:49.669 INF Request finished (out of order). clSeqNr=40
02:46:49.669 INF Request finished (out of order). clSeqNr=56
02:46:49.669 INF Request finished (out of order). clSeqNr=72
02:46:49.669 INF Request finished (out of order). clSeqNr=88
02:46:49.669 INF Request finished (out of order). clSeqNr=104
02:46:49.669 INF Request finished (out of order). clSeqNr=120
02:46:49.669 INF Request finished (out of order). clSeqNr=4
02:46:49.669 INF Request finished (out of order). clSeqNr=20
02:46:49.669 INF Request finished (out of order). clSeqNr=36
02:46:49.670 INF Request finished (out of order). clSeqNr=52
02:46:49.670 INF Request finished (out of order). clSeqNr=68
02:46:49.670 INF Request finished (out of order). clSeqNr=84
02:46:49.670 INF Request finished (out of order). clSeqNr=100
02:46:49.670 INF Request finished (out of order). clSeqNr=116
02:46:49.743 INF Request finished (out of order). clSeqNr=0
02:46:49.743 INF Request delivered (in order). clSeqNr=0
02:46:49.743 INF Request delivered (in order). clSeqNr=1
02:46:49.743 INF Request delivered (in order). clSeqNr=2
02:46:49.743 INF Request delivered (in order). clSeqNr=3
02:46:49.743 INF Request delivered (in order). clSeqNr=4
02:46:49.743 INF Request delivered (in order). clSeqNr=5
02:46:49.743 INF Request delivered (in order). clSeqNr=6
02:46:49.743 INF Request delivered (in order). clSeqNr=7
02:46:49.743 INF Request delivered (in order). clSeqNr=8
02:46:49.743 INF Request delivered (in order). clSeqNr=9
02:46:49.743 INF Request finished (out of order). clSeqNr=16
02:46:49.779 INF Request finished (out of order). clSeqNr=32
02:46:49.780 INF Request finished (out of order). clSeqNr=48
02:46:49.780 INF Request finished (out of order). clSeqNr=64
02:46:49.780 INF Request finished (out of order). clSeqNr=80
02:46:49.780 INF Request finished (out of order). clSeqNr=96
02:46:49.780 INF Request finished (out of order). clSeqNr=112
02:46:50.382 INF Request finished (out of order). clSeqNr=225
02:46:50.382 INF Request finished (out of order). clSeqNr=241
02:46:50.382 INF Request finished (out of order). clSeqNr=257
02:46:50.383 INF Request finished (out of order). clSeqNr=273
02:46:50.383 INF Request finished (out of order). clSeqNr=289
02:46:50.383 INF Request finished (out of order). clSeqNr=305
02:46:50.383 INF Request finished (out of order). clSeqNr=321
02:46:50.383 INF Request finished (out of order). clSeqNr=337
02:46:50.383 INF Request finished (out of order). clSeqNr=353
02:46:50.383 INF Request finished (out of order). clSeqNr=129
02:46:50.383 INF Request finished (out of order). clSeqNr=145
02:46:50.383 INF Request finished (out of order). clSeqNr=161
02:46:50.383 INF Request finished (out of order). clSeqNr=177
02:46:50.383 INF Request finished (out of order). clSeqNr=193
02:46:50.383 INF Request finished (out of order). clSeqNr=209
02:46:51.920 INF Request finished (out of order). clSeqNr=228
02:46:51.920 INF Request finished (out of order). clSeqNr=244
02:46:51.920 INF Request finished (out of order). clSeqNr=260
02:46:51.920 INF Request finished (out of order). clSeqNr=276
02:46:51.920 INF Request finished (out of order). clSeqNr=292
02:46:51.920 INF Request finished (out of order). clSeqNr=308
02:46:51.920 INF Request finished (out of order). clSeqNr=324
02:46:51.920 INF Request finished (out of order). clSeqNr=340
02:46:51.920 INF Request finished (out of order). clSeqNr=356
02:46:51.920 INF Request finished (out of order). clSeqNr=132
02:46:51.920 INF Request finished (out of order). clSeqNr=148
02:46:51.920 INF Request finished (out of order). clSeqNr=164
02:46:51.920 INF Request finished (out of order). clSeqNr=180
02:46:51.920 INF Request finished (out of order). clSeqNr=196
02:46:51.920 INF Request finished (out of order). clSeqNr=212
02:46:51.920 INF Request finished (out of order). clSeqNr=227
02:46:51.920 INF Request finished (out of order). clSeqNr=243
02:46:51.920 INF Request finished (out of order). clSeqNr=259
02:46:51.920 INF Request finished (out of order). clSeqNr=275
02:46:51.920 INF Request finished (out of order). clSeqNr=291
