exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,606,610,608.1354166666666,0,51461,50253.804822198275,52054.49580523113,9502.889044431897,318.6944760673615,140.84628701953466,137.4843944446416,1.3613861386138615,12.297029702970297,17.176193,12.573379,0.0,0,0,3228.423,3228.373,3228.423,3236.65,3236.583,2254.793360856681,2254.7271959859913,2254.793360856681,2255.2010264460255,2255.136523043613,608.9780902333226,608.9748376801391,607.6417871713954,607.6364105559571,None,7424,6466,8.840136518228253,9.50788664340998,4322.261632714537,5142.611226465057,0.0,0
0001,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,607,610,608.2083333333334,0,51450,50262.00175107759,52062.8429112465,9504.664016251798,324.2740692059354,140.8313251116446,136.56853993712423,1.3292079207920793,12.326732673267326,17.175637,12.574957,0.0,0,0,3229.384,3229.338,3229.384,3237.228,3237.184,2245.479003636853,2245.40878987069,2245.479003636853,2249.188344422095,2249.1222624168345,614.4797543496508,614.4768886474922,608.5728011859306,608.5643211983872,None,7424,6463,8.840160939549985,9.508150317121574,4322.401550521823,5139.580198962111,0.0,0
0002,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,606,610,608.1354166666666,0,51464,50265.822737068964,52063.902789239146,9505.363832269823,325.19467662614716,140.88142241808654,136.60986597408493,1.3366336633663367,12.242574257425742,17.177379,12.589679,0.0,0,0,3230.497,3230.443,3230.497,3251.029,3250.973,2253.454258216595,2253.385577586207,2253.454258216595,2256.3319131773396,2256.261853117783,611.7376898912615,611.7297148177588,610.8336389510952,610.8710024806935,None,7424,6496,8.839279903643009,9.507059932802912,4321.963205213088,5159.7820722831775,0.0,0
0003,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,605,612,608.15625,0,51454,50266.355872844826,52064.34849233811,9505.475335999834,325.6709422308005,140.7052786134902,136.5805791511182,1.3564356435643565,12.334158415841584,17.175403,12.584702,0.0,0,0,3234.95,3234.892,3234.95,3252.461,3252.411,2255.804213092673,2255.733353178879,2255.804213092673,2257.8003372343705,2257.7312198952877,611.608435986188,611.6015423171931,611.1298718850253,611.1202640539664,None,7424,6494,8.839493797548188,9.507377229554237,4322.460439501769,5160.233432623196,0.0,0
0004,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,605,611,608.2083333333334,0,51448,50269.86691810345,52071.12975465174,9506.195814215742,327.21623138314516,140.74330718843143,136.62985854021213,1.5583126550868487,13.478908188585608,17.173974,12.580172,0.0,0,0,3233.668,3233.613,3233.668,3247.497,3247.412,2254.335081896552,2254.2647687230606,2254.335081896552,2260.065797448901,2259.995760411864,611.4520728052204,611.4433925141253,608.2346519332748,608.2236161930898,None,7424,6507,8.839587562523509,9.464872849785468,4322.820099762583,5172.425305472771,0.0,0
0005,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1244,1252,1248.5104166666667,0,24496,24690.40830243644,25121.812484680122,3257.7411607791787,321.1577767840117,140.43140197550775,138.10853773330004,2.0575,24.0125,18.160952,12.472785,0.0,0,0,3520.295,3520.249,3520.295,3544.415,3544.365,2555.608769200212,2555.551080574682,2555.608769200212,2554.9625901585478,2554.9046384621706,624.5250444401418,624.5242067830075,630.4693503337692,630.4652685289009,None,15104,12173,8.839084087477543,9.506223011238731,8316.744628805804,9759.648707165241,0.0,0
0006,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1244,1252,1248.3333333333333,0,24492,24680.72676112288,25111.090604026846,3256.8492325784036,325.5444112281224,140.0090677747801,136.56164307368027,2.045,24.105,18.16377,12.459807,0.0,0,0,3540.646,3540.538,3540.646,3559.816,3559.764,2564.658430018538,2564.5968166710804,2564.658430018538,2559.769950700141,2559.7079962714392,629.2987274978999,629.2962156262236,634.5888098802731,634.5806876952446,None,15104,12069,8.839442032320315,9.507162557624794,8315.454335746379,9686.345863944762,0.0,0
0007,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1244,1253,1248.5416666666667,0,24491,24684.684785487287,25116.243428013346,3257.1579618582405,323.1176423808284,140.43275780588078,136.82574844165333,2.0475,24.0225,18.163211,12.484528,0.0,0,0,3547.081,3547.035,3547.081,3557.127,3557.091,2562.807390625,2562.7485911016947,2562.807390625,2553.687756243756,2553.6282693972694,633.4640912081807,633.4615827418742,639.5135100120433,639.508005146545,None,15104,12012,8.824382165019145,9.4435208593604,8315.710256297743,9621.509119127291,0.0,0
0008,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1245,1252,1248.3645833333333,0,24498,24683.793829449154,25114.37669154433,3256.8828763989954,321.77976668218685,140.1555354154971,137.80622132450088,2.105,24.135,18.16282,12.458095,0.0,0,0,3524.495,3524.436,3524.495,3537.224,3537.148,2552.700839380296,2552.642137579449,2552.700839380296,2543.070269764783,2543.0112472231294,626.6619575105634,626.6597957903306,630.2656504472435,630.2612476201128,None,15104,12244,8.840023205060914,9.507458204817587,8315.889272701046,9828.147882962845,0.0,0
0009,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1244,1252,1248.4791666666667,0,24496,24696.798066737287,25129.854606723104,3258.6014855559492,321.9702864333721,140.4380966424762,135.36451505803402,2.1825,24.715,18.161038,12.424623,0.0,0,0,3536.213,3536.16,3536.213,3555.678,3555.638,2564.150115995763,2564.090015625,2564.150115995763,2554.9852952008,2554.9248939343443,626.3142088168686,626.3089920284925,634.644379223351,634.6360625935567,None,15104,12002,8.838954687540742,9.50554247388278,8316.70524559224,9659.850443751895,0.0,0
