exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,605,611,607.90625,0,51469,50255.23248922414,52054.1007984032,9503.226925634102,321.3690587003654,304.58130134542245,322.081142640368,1.0365296803652968,11.141552511415526,12.46554,8.409039,0.0,0,0,5190.62,5190.561,5190.62,5249.542,5249.49,3404.1004434267243,3404.0073943965517,3404.1004434267243,3394.606749264165,3394.793529346826,1135.7360837414105,1135.6941204878044,1147.1006407285827,1146.9611360267604,None,7424,5436,9.552048715448448,15.616703626198584,5955.6184489400375,6464.472337445456,0.0,0
0001,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1243,1253,1248.21875,0,24503,24674.403138241527,25114.843042231234,3255.675942621084,324.0696369078414,304.53519522767976,327.5923999496191,1.5705614567526556,21.195751138088013,20.084149,8.567623,0.0,0,0,5637.68,5637.626,5637.68,5677.539,5677.483,3811.7285815015894,3811.6678321636655,3811.7285815015894,3811.451520461607,3811.3889743453174,1150.069150405553,1150.0608605553505,1166.6302194932744,1166.6180403302849,None,15104,11265,9.551607734573556,15.61465757665882,7520.358467764803,13148.337642774432,0.0,0
0002,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192,1852,1860,1856.296875,0,16110,16540.192338423294,16748.59731543624,1814.8920247886554,326.28476071731586,301.8163804945662,313.56215312831233,1.9660493827160495,30.84104938271605,20.334458,8.718674,0.0,0,0,5947.796,5947.753,5947.796,6016.123,6016.055,4121.794767489347,4121.734013227983,4121.794767489347,4125.720479176583,4125.657158019991,1149.0839751648582,1149.0761100886536,1167.387721589513,1167.3769817666903,None,22528,16808,9.551644798209066,15.61345762946728,11078.73148131118,19278.160876298392,0.0,0
0003,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192,2492,2501,2496.03125,11530,11694,12237.564386917373,12364.750399175895,1181.593857264522,340.7187508036376,302.06412451649584,313.8996304487494,2.3529411764705883,41.88712241653418,20.321293,8.724637,0.0,0,0,6238.442,6238.39,6238.442,6344.981,6344.927,4403.006537804556,4402.947013175318,4403.006537804556,4444.230974897065,4444.1700781865675,1151.5589836458191,1151.5532489184777,1168.4724237668086,1168.4639579886766,None,30208,22587,9.551257069795712,15.610837433617354,14865.19583178098,25888.756174039103,0.0,0
0004,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192,3100,3111,3105.1875,9125,9187,9768.672864940068,9857.594059405941,911.49281759372,439.37332005212124,301.97222661560795,317.34569374973927,2.777408637873754,52.55481727574751,20.272993,8.700356,0.0,0,0,6568.06,6568.004,6568.06,6692.869,6692.816,4734.9866942155395,4734.924550995292,4734.9866942155395,4782.181979684776,4782.118390543281,1165.9588459175238,1165.9532083692043,1187.0020443266778,1186.9936200850043,None,37376,28107,9.550957742185425,15.613183381717938,18436.350271516396,32305.574622463726,0.0,0
0005,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,3740,3750,3744.5625,7368,7431,8056.848388671875,8129.3131837974315,692.38486278212,326.32696015818,301.8808147617753,290.5823574843037,3.1215753424657535,64.5958904109589,20.363835,8.748714,0.0,0,0,6908.079,6908.033,6908.079,7020.696,7020.64,5050.931165349787,5050.871400945491,5050.931165349787,5094.126836604978,5094.065453704251,1169.847685213536,1169.8455019873231,1188.6816867558064,1188.6777370374348,None,45056,33826,9.55128795387086,15.522459300839326,22125.49846332972,38663.96821292821,0.0,0
0006,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192,4096,4096,4096.0,6180,6236,6878.351816917243,6940.3370491383175,661.6393702491248,527.7917865576184,289.98123334342415,315.5476655059727,3.4031413612565444,72.18499127399652,21.207894,8.72366,0.0,0,0,7372.932,7372.806,7372.932,7370.61,7370.55,5531.459140932564,5531.399451609214,5531.459140932564,5480.796490601105,5480.737541684367,1140.3901510096775,1140.3855881104935,1161.793885046952,1161.7880772049987,None,52479,37664,9.547618898437504,15.547596050133222,24745.03126052969,43174.53912692609,0.0,0
0007,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4096.0,5242,5299,5956.584501072159,6011.076903129142,514.1982385436314,337.989626770145,266.901073924951,326.7549710258832,3.527075812274368,75.0884476534296,22.275204,8.481262,0.0,0,0,8167.652,8167.574,8167.652,7690.234,7690.192,6339.045898784887,6338.985627503782,6339.045898784887,5922.691208056436,5922.699263987935,1197.2212999729604,1197.2170585600122,1098.680925815956,1098.6112701117781,None,60159,39124,9.366254351466646,15.32119447862454,27007.160069106438,46129.927362225106,0.0,0
0008,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192,4096,4096,4096.0,4543,4599,5264.401779348859,5310.450917572278,565.2930819123178,515.8820319320703,283.66295300890494,336.62303475707995,3.5017857142857145,75.44464285714285,25.225399,8.509325,0.0,0,0,10050.731,10050.493,10050.731,8326.338,8326.311,7440.215738489187,7440.155859271032,7440.215738489187,6495.378970217113,6495.319839693487,1596.0102515091532,1596.0102445885102,1156.5456808052159,1156.5424008641078,None,67328,39150,9.2547917717299,15.379070046858104,26690.55898778846,46008.34966345744,0.0,0
0009,32,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3964,4026,4700.78125,4745.889332846249,433.7525489928367,348.8529076548167,290.38419260752454,339.0152636941736,3.5141843971631204,75.60106382978724,26.472933,8.598842,0.0,0,0,12050.02,12049.97,12050.02,8825.024,8824.951,8547.082755159448,8547.023512731976,8547.082755159448,6887.123272536419,6887.062678281573,2174.2197726787836,2174.2206342772415,1238.0453955225112,1238.04584150708,None,75008,39059,9.097713637948951,15.36226992900471,28333.845743499598,45423.55819539422,0.0,0
