exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,5000,19,false,585,16384,external,32,8192
0001,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192
0002,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192
0003,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192
0004,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192
0005,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192
0006,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192
0007,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192
0008,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192
0009,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192
