exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,606,1287,807.2926829268292,0,51440,50260.42025862069,52061.085345482155,9504.232981448109,320.1725679598008,71.60291396800609,60.52517274441566,1.5925925925925926,12.703703703703704,17.945279,12.254229,0.0,0,0,3865.537,3865.488,3865.537,3664.37,3664.329,2652.783353582974,2652.7221395474135,2652.783353582974,2520.2587440237303,2520.2018626766708,862.1713797012839,862.1855184820893,714.1592966942179,714.1630646725692,None,7424,5731,6.57424735824827,6.256455307583747,4137.02121878406,4676.7528173335095,0.0,0
0001,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,2595,2727,2729.2340425531916,0,24490,24670.81898834746,25100.964901477833,3257.3985076259205,347.02803212984213,55.19646417009882,32.9186874130598,2.5721153846153846,24.139423076923077,18.966941,11.541206,0.0,0,0,5107.487,5107.443,5107.487,5238.76,5238.724,3186.953059322034,3186.8997815148305,3186.953059322034,3274.0656202765786,3274.0130545230336,1046.440270570541,1046.4459265308287,1094.5643823766043,1094.5672130198154,None,15104,11353,4.980964745130011,3.9724457638599056,7963.329458345444,9836.926920808795,0.0,0
0002,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192,3845,4096,3801.673076923077,0,16092,16524.853160511364,16718.95083349871,1810.0146469469557,378.0805430878117,51.94800850471544,31.994756950513974,3.3181818181818183,33.72727272727273,19.06739,12.431864,0.0,0,0,4595.61,4595.566,4595.61,4673.618,4673.57,3206.3189348366477,3206.2661447975856,3206.3189348366477,3245.1057319233237,3245.053356173163,873.4752834986127,873.479623093192,894.3188360549952,894.3212554840221,None,22528,17163,4.837365310226654,3.9944283869276798,11814.936391399138,13805.652957593487,0.0,0
0003,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192,2524,4096,3802.785714285714,11604,11677,12223.75483315678,12332.231261939543,1175.7158524461554,326.45365210303635,61.37802597901929,55.64778522930719,3.712962962962963,47.032407407407405,18.496252,13.586254,0.0,0,0,4639.195,4639.16,4639.195,4670.156,4670.114,3097.643686606197,3097.591697629767,3097.643686606197,3143.42480650382,3143.373373367458,910.4429443320245,910.4454168167656,918.8960474893636,918.8967159247107,None,30208,26569,5.751596260538067,5.642683515182244,16331.957414940065,19555.795144121403,0.0,0
0004,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192,4096,4096,4055.434210526316,9098,9160,9759.254708904109,9829.67074941027,987.1689709510679,588.4685550629385,72.40298035801868,51.74612311131297,4.023148148148148,53.611111111111114,20.056162,12.418435,0.0,0,0,5580.845,5580.789,5580.845,5366.113,5366.233,3676.266994755993,3676.2141645976026,3676.266994755993,3624.9436194102223,3624.963812895115,1147.4896037789667,1147.492195273868,1039.447934835763,1039.396952382908,None,37376,27841,6.25162744912715,6.0739484037263995,18635.66917738299,22419.08903980252,0.0,0
0005,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,4096,4096,4096.0,7363,7401,8020.51240678267,8073.856252523214,686.878259715853,323.659230551827,90.36081362891393,52.1211321994274,4.4511627906976745,55.92093023255814,24.350086,13.038734,0.0,0,0,7997.839,7997.767,7997.839,6540.029,6539.967,5001.126324995562,5001.073237970525,5001.126324995562,4496.733645194409,4496.781988540391,1629.5786595777097,1629.5824457016245,1251.2258075344964,1251.1250890372894,None,45056,30194,6.500904811227874,6.016422275833558,18503.425408846604,23157.156208570555,0.0,0
0006,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192,4096,4096,4096.0,6177,6208,6850.290910823171,6889.171622917938,636.1362113278068,430.327979153486,103.14498744859405,54.82493814641515,4.1761904761904765,55.852380952380955,28.363695,12.773055,0.0,0,0,11136.428,11136.379,11136.428,7581.953,7581.919,6630.732966711128,6630.680141996951,6630.732966711128,5281.901446564353,5281.848202895012,2380.479616618016,2380.482527012417,1398.243141048741,1398.2466116633395,None,52480,28670,6.4370393184264705,5.878783006408103,18502.52585215008,22445.68742560022,0.0,0
0007,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4096.0,5227,5262,5920.525565159574,5952.5702219341065,554.0745651610325,406.1030911237877,84.19416469673911,51.885176382646364,4.574074074074074,56.84722222222222,30.779697,12.523792,0.0,0,0,13842.21,13842.171,13842.21,7965.993,7965.941,7808.88888793218,7808.836191107048,7808.88888793218,5328.646930359435,5328.593253387534,3184.1182786078284,3184.121216439457,1431.8159711040773,1431.8200260782523,None,60160,28044,6.324085699937311,5.817499597874784,19545.351599789952,22392.57886109894,0.0,0
0008,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192,4096,4096,4096.0,4533,4565,5232.4365939876425,5257.553620672045,492.07205045317573,377.47536754602595,89.86300741928618,55.20607564268886,4.920930232558139,58.31627906976744,33.532358,13.234922,0.0,0,0,16302.26,16302.198,16302.26,9034.164,9034.121,9511.011691049785,9510.95889821471,9511.011691049785,6481.731128636333,6481.677363531565,3685.910470097885,3685.913790905723,1742.2817916757733,1742.286623199959,None,67328,29494,6.223712983046094,5.850776181444575,20078.51639899586,22284.98211020813,0.0,0
0009,8,1,0,0,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3951,3980,4660.449805354096,4680.97867225544,421.20135433386446,321.4690416020613,94.87233674562833,54.66060819191124,5.1761904761904765,60.98571428571429,39.466243,13.044991,0.0,0,0,18445.649,18445.596,18445.649,9511.58,9511.506,10754.531303514292,10754.47872997547,10754.531303514292,6764.897927767872,6764.844314832226,4478.991979375086,4478.9948236246555,1833.4887040608044,1833.4930977443926,None,75008,30845,6.523036515691673,6.148202104314393,19005.609426770112,23645.091054489803,0.0,0
