exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,500,1,false,58,16384,external,32,8192
0001,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,1000,3,false,117,16384,external,32,8192
0002,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192
0003,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192
0004,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192
0005,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192
0006,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192
0007,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192
0008,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192
0009,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192
0010,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,55000,214,false,6445,16384,external,32,8192
0011,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,60000,234,false,7031,16384,external,32,8192
0012,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,65000,253,false,7617,16384,external,32,8192
0013,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,70000,273,false,8203,16384,external,32,8192
