09:39:49.387 INF Connecting to orderer. addrStr=3.104.75.73:10341 peerId=31
09:39:49.391 INF Connecting to orderer. addrStr=54.79.80.71:10308 peerId=28
09:39:49.391 INF Connecting to orderer. addrStr=13.210.18.185:10319 peerId=29
09:39:49.391 INF Connecting to orderer. addrStr=3.106.116.87:10330 peerId=30
09:39:49.391 INF Connecting to orderer. addrStr=18.189.182.76:10055 peerId=5
09:39:49.392 INF Connecting to orderer. addrStr=3.143.239.63:10066 peerId=6
09:39:49.392 INF Connecting to orderer. addrStr=18.117.10.231:10077 peerId=7
09:39:49.392 INF Connecting to orderer. addrStr=15.188.3.66:10088 peerId=8
09:39:49.392 INF Connecting to orderer. addrStr=35.180.66.90:10099 peerId=9
09:39:49.392 INF Connecting to orderer. addrStr=13.38.123.5:10110 peerId=10
09:39:49.392 INF Connecting to orderer. addrStr=35.180.42.165:10121 peerId=11
09:39:49.392 INF Connecting to orderer. addrStr=13.37.105.178:10132 peerId=12
09:39:49.392 INF Connecting to orderer. addrStr=13.39.21.142:10143 peerId=13
09:39:49.392 INF Connecting to orderer. addrStr=52.47.87.220:10154 peerId=14
09:39:49.392 INF Connecting to orderer. addrStr=13.39.156.163:10165 peerId=15
09:39:49.392 INF Connecting to orderer. addrStr=52.192.158.104:10176 peerId=16
09:39:49.392 INF Connecting to orderer. addrStr=54.199.117.186:10187 peerId=17
09:39:49.392 INF Connecting to orderer. addrStr=43.207.81.127:10198 peerId=18
09:39:49.393 INF Connecting to orderer. addrStr=43.207.197.113:10209 peerId=19
09:39:49.393 INF Connecting to orderer. addrStr=43.206.215.201:10220 peerId=20
09:39:49.393 INF Connecting to orderer. addrStr=3.112.189.15:10231 peerId=21
09:39:49.393 INF Connecting to orderer. addrStr=43.207.236.64:10242 peerId=22
09:39:49.393 INF Connecting to orderer. addrStr=13.230.96.211:10253 peerId=23
09:39:49.393 INF Connecting to orderer. addrStr=3.25.208.250:10264 peerId=24
09:39:49.393 INF Connecting to orderer. addrStr=52.62.24.105:10275 peerId=25
09:39:49.393 INF Connecting to orderer. addrStr=13.236.93.32:10286 peerId=26
09:39:49.393 INF Connecting to orderer. addrStr=13.210.72.153:10297 peerId=27
09:39:49.391 INF Connecting to orderer. addrStr=3.133.114.48:10044 peerId=4
09:39:49.428 INF Connecting to orderer. addrStr=3.144.29.12:10000 peerId=0
09:39:49.428 INF Connecting to orderer. addrStr=18.222.107.138:10011 peerId=1
09:39:49.428 INF Connecting to orderer. addrStr=3.143.17.5:10022 peerId=2
09:39:49.428 INF Connecting to orderer. addrStr=18.191.21.86:10033 peerId=3
09:39:49.451 INF Connected to orderer. addrStr=3.106.116.87:10330 id=30
09:39:49.470 INF Connected to orderer. addrStr=13.236.93.32:10286 id=26
09:39:49.470 INF Connected to orderer. addrStr=3.104.75.73:10341 id=31
09:39:49.471 INF Connected to orderer. addrStr=3.25.208.250:10264 id=24
09:39:49.472 INF Connected to orderer. addrStr=52.62.24.105:10275 id=25
09:39:49.472 INF Connected to orderer. addrStr=54.79.80.71:10308 id=28
09:39:49.472 INF Connected to orderer. addrStr=13.210.72.153:10297 id=27
09:39:49.472 INF Connected to orderer. addrStr=13.210.18.185:10319 id=29
09:39:49.933 INF Connected to orderer. addrStr=52.192.158.104:10176 id=16
09:39:49.936 INF Connected to orderer. addrStr=13.230.96.211:10253 id=23
09:39:49.936 INF Connected to orderer. addrStr=54.199.117.186:10187 id=17
09:39:49.956 INF Connected to orderer. addrStr=43.207.81.127:10198 id=18
09:39:49.957 INF Connected to orderer. addrStr=43.206.215.201:10220 id=20
09:39:49.971 INF Connected to orderer. addrStr=43.207.197.113:10209 id=19
09:39:49.972 INF Connected to orderer. addrStr=43.207.236.64:10242 id=22
09:39:49.985 INF Connected to orderer. addrStr=3.112.189.15:10231 id=21
09:39:50.367 INF Connected to orderer. addrStr=3.133.114.48:10044 id=4
09:39:50.381 INF Connected to orderer. addrStr=3.143.17.5:10022 id=2
09:39:50.382 INF Connected to orderer. addrStr=18.191.21.86:10033 id=3
09:39:50.382 INF Connected to orderer. addrStr=18.117.10.231:10077 id=7
09:39:50.383 INF Connected to orderer. addrStr=18.189.182.76:10055 id=5
09:39:50.383 INF Connected to orderer. addrStr=3.143.239.63:10066 id=6
09:39:50.403 INF Connected to orderer. addrStr=3.144.29.12:10000 id=0
09:39:50.404 INF Connected to orderer. addrStr=18.222.107.138:10011 id=1
09:39:50.815 INF Connected to orderer. addrStr=13.37.105.178:10132 id=12
09:39:50.816 INF Connected to orderer. addrStr=15.188.3.66:10088 id=8
09:39:50.816 INF Connected to orderer. addrStr=13.38.123.5:10110 id=10
09:39:50.817 INF Connected to orderer. addrStr=35.180.42.165:10121 id=11
09:39:50.817 INF Connected to orderer. addrStr=13.39.21.142:10143 id=13
09:39:50.817 INF Connected to orderer. addrStr=35.180.66.90:10099 id=9
09:39:50.832 INF Connected to orderer. addrStr=13.39.156.163:10165 id=15
09:39:50.857 INF Connected to orderer. addrStr=52.47.87.220:10154 id=14
09:39:50.858 INF Connected to orderers.
09:39:50.858 INF Non crashing node count. count=32
09:39:50.866 INF Updating bucket assignment. epoch=0
09:39:50.866 INF Resubmitted Requests. epoch=0 n=0
09:39:50.873 INF Setting up client timeout. clientRunTime=15000
09:39:50.873 INF Starting to submit requests. numRequests=4101
09:39:55.213 INF Request finished (out of order). clSeqNr=278
09:39:55.214 INF Request finished (out of order). clSeqNr=310
09:39:55.214 INF Request finished (out of order). clSeqNr=342
09:39:55.215 INF Request finished (out of order). clSeqNr=374
09:39:55.216 INF Request finished (out of order). clSeqNr=22
09:39:55.217 INF Request finished (out of order). clSeqNr=54
09:39:55.217 INF Request finished (out of order). clSeqNr=86
09:39:55.217 INF Request finished (out of order). clSeqNr=118
09:39:55.217 INF Request finished (out of order). clSeqNr=150
09:39:55.218 INF Request finished (out of order). clSeqNr=182
09:39:55.233 INF Request finished (out of order). clSeqNr=214
09:39:55.233 INF Request finished (out of order). clSeqNr=246
09:39:55.328 INF Request finished (out of order). clSeqNr=279
09:39:55.330 INF Request finished (out of order). clSeqNr=311
09:39:55.331 INF Request finished (out of order). clSeqNr=343
09:39:55.341 INF Request finished (out of order). clSeqNr=23
09:39:55.341 INF Request finished (out of order). clSeqNr=55
09:39:55.393 INF Request finished (out of order). clSeqNr=87
09:39:55.394 INF Request finished (out of order). clSeqNr=119
09:39:55.394 INF Request finished (out of order). clSeqNr=151
09:39:55.394 INF Request finished (out of order). clSeqNr=183
09:39:55.394 INF Request finished (out of order). clSeqNr=215
09:39:55.394 INF Request finished (out of order). clSeqNr=247
09:39:55.394 INF Request finished (out of order). clSeqNr=280
09:39:55.394 INF Request finished (out of order). clSeqNr=312
09:39:55.394 INF Request finished (out of order). clSeqNr=344
09:39:55.394 INF Request finished (out of order). clSeqNr=24
09:39:55.395 INF Request finished (out of order). clSeqNr=56
09:39:55.395 INF Request finished (out of order). clSeqNr=88
09:39:55.395 INF Request finished (out of order). clSeqNr=120
09:39:55.395 INF Request finished (out of order). clSeqNr=152
09:39:55.395 INF Request finished (out of order). clSeqNr=184
09:39:55.395 INF Request finished (out of order). clSeqNr=216
09:39:55.395 INF Request finished (out of order). clSeqNr=248
09:39:55.395 INF Request finished (out of order). clSeqNr=281
09:39:55.395 INF Request finished (out of order). clSeqNr=313
09:39:55.395 INF Request finished (out of order). clSeqNr=345
09:39:55.395 INF Request finished (out of order). clSeqNr=25
09:39:55.395 INF Request finished (out of order). clSeqNr=57
09:39:55.395 INF Request finished (out of order). clSeqNr=89
09:39:55.395 INF Request finished (out of order). clSeqNr=121
09:39:55.395 INF Request finished (out of order). clSeqNr=153
09:39:55.396 INF Request finished (out of order). clSeqNr=185
09:39:55.396 INF Request finished (out of order). clSeqNr=217
09:39:55.396 INF Request finished (out of order). clSeqNr=249
09:39:55.396 INF Request finished (out of order). clSeqNr=282
09:39:55.396 INF Request finished (out of order). clSeqNr=314
09:39:55.396 INF Request finished (out of order). clSeqNr=346
09:39:55.396 INF Request finished (out of order). clSeqNr=26
09:39:55.396 INF Request finished (out of order). clSeqNr=58
09:39:55.396 INF Request finished (out of order). clSeqNr=90
09:39:55.397 INF Request finished (out of order). clSeqNr=122
09:39:55.397 INF Request finished (out of order). clSeqNr=154
09:39:55.397 INF Request finished (out of order). clSeqNr=186
09:39:55.397 INF Request finished (out of order). clSeqNr=218
09:39:55.397 INF Request finished (out of order). clSeqNr=250
09:39:55.397 INF Request finished (out of order). clSeqNr=283
09:39:55.397 INF Request finished (out of order). clSeqNr=315
09:39:55.397 INF Request finished (out of order). clSeqNr=347
09:39:55.397 INF Request finished (out of order). clSeqNr=27
09:39:55.397 INF Request finished (out of order). clSeqNr=59
09:39:55.397 INF Request finished (out of order). clSeqNr=91
09:39:55.397 INF Request finished (out of order). clSeqNr=123
09:39:55.397 INF Request finished (out of order). clSeqNr=155
09:39:55.397 INF Request finished (out of order). clSeqNr=187
09:39:55.397 INF Request finished (out of order). clSeqNr=219
09:39:55.397 INF Request finished (out of order). clSeqNr=251
09:39:55.397 INF Request finished (out of order). clSeqNr=284
09:39:55.397 INF Request finished (out of order). clSeqNr=316
09:39:55.397 INF Request finished (out of order). clSeqNr=348
09:39:55.397 INF Request finished (out of order). clSeqNr=28
09:39:55.397 INF Request finished (out of order). clSeqNr=60
09:39:55.397 INF Request finished (out of order). clSeqNr=92
09:39:55.397 INF Request finished (out of order). clSeqNr=124
09:39:55.397 INF Request finished (out of order). clSeqNr=156
09:39:55.397 INF Request finished (out of order). clSeqNr=188
09:39:55.397 INF Request finished (out of order). clSeqNr=220
09:39:55.397 INF Request finished (out of order). clSeqNr=252
09:39:55.397 INF Request finished (out of order). clSeqNr=285
09:39:55.397 INF Request finished (out of order). clSeqNr=317
09:39:55.397 INF Request finished (out of order). clSeqNr=349
09:39:55.397 INF Request finished (out of order). clSeqNr=29
09:39:55.397 INF Request finished (out of order). clSeqNr=61
09:39:55.397 INF Request finished (out of order). clSeqNr=93
09:39:55.397 INF Request finished (out of order). clSeqNr=125
09:39:55.397 INF Request finished (out of order). clSeqNr=157
09:39:55.397 INF Request finished (out of order). clSeqNr=189
09:39:55.397 INF Request finished (out of order). clSeqNr=221
09:39:55.397 INF Request finished (out of order). clSeqNr=253
09:39:55.962 INF Request finished (out of order). clSeqNr=286
09:39:55.963 INF Request finished (out of order). clSeqNr=318
09:39:55.963 INF Request finished (out of order). clSeqNr=350
09:39:55.965 INF Request finished (out of order). clSeqNr=30
09:39:55.966 INF Request finished (out of order). clSeqNr=62
09:39:55.966 INF Request finished (out of order). clSeqNr=94
