09:46:47.295 INF Connecting to orderer. addrStr=13.210.18.185:10341 peerId=31
09:46:47.295 INF Connecting to orderer. addrStr=3.133.114.48:10000 peerId=0
09:46:47.295 INF Connecting to orderer. addrStr=18.222.107.138:10011 peerId=1
09:46:47.295 INF Connecting to orderer. addrStr=3.143.239.63:10022 peerId=2
09:46:47.295 INF Connecting to orderer. addrStr=3.143.17.5:10033 peerId=3
09:46:47.295 INF Connecting to orderer. addrStr=3.144.29.12:10044 peerId=4
09:46:47.296 INF Connecting to orderer. addrStr=18.117.10.231:10055 peerId=5
09:46:47.296 INF Connecting to orderer. addrStr=18.189.182.76:10066 peerId=6
09:46:47.296 INF Connecting to orderer. addrStr=18.191.21.86:10077 peerId=7
09:46:47.296 INF Connecting to orderer. addrStr=13.37.105.178:10088 peerId=8
09:46:47.296 INF Connecting to orderer. addrStr=35.180.66.90:10099 peerId=9
09:46:47.296 INF Connecting to orderer. addrStr=52.47.87.220:10110 peerId=10
09:46:47.296 INF Connecting to orderer. addrStr=13.39.156.163:10121 peerId=11
09:46:47.296 INF Connecting to orderer. addrStr=13.39.21.142:10132 peerId=12
09:46:47.296 INF Connecting to orderer. addrStr=35.180.42.165:10143 peerId=13
09:46:47.296 INF Connecting to orderer. addrStr=13.38.123.5:10154 peerId=14
09:46:47.297 INF Connecting to orderer. addrStr=15.188.3.66:10165 peerId=15
09:46:47.297 INF Connecting to orderer. addrStr=3.112.189.15:10176 peerId=16
09:46:47.297 INF Connecting to orderer. addrStr=13.230.96.211:10187 peerId=17
09:46:47.297 INF Connecting to orderer. addrStr=43.206.215.201:10198 peerId=18
09:46:47.297 INF Connecting to orderer. addrStr=43.207.81.127:10209 peerId=19
09:46:47.297 INF Connecting to orderer. addrStr=54.199.117.186:10220 peerId=20
09:46:47.297 INF Connecting to orderer. addrStr=43.207.197.113:10231 peerId=21
09:46:47.297 INF Connecting to orderer. addrStr=52.192.158.104:10242 peerId=22
09:46:47.297 INF Connecting to orderer. addrStr=43.207.236.64:10253 peerId=23
09:46:47.298 INF Connecting to orderer. addrStr=54.79.80.71:10264 peerId=24
09:46:47.298 INF Connecting to orderer. addrStr=3.25.208.250:10275 peerId=25
09:46:47.298 INF Connecting to orderer. addrStr=3.104.75.73:10286 peerId=26
09:46:47.298 INF Connecting to orderer. addrStr=52.62.24.105:10297 peerId=27
09:46:47.298 INF Connecting to orderer. addrStr=3.106.116.87:10308 peerId=28
09:46:47.298 INF Connecting to orderer. addrStr=13.236.93.32:10319 peerId=29
09:46:47.298 INF Connecting to orderer. addrStr=13.210.72.153:10330 peerId=30
09:46:47.344 INF Connected to orderer. addrStr=3.112.189.15:10176 id=16
09:46:47.344 INF Connected to orderer. addrStr=13.230.96.211:10187 id=17
09:46:47.346 INF Connected to orderer. addrStr=43.207.81.127:10209 id=19
09:46:47.347 INF Connected to orderer. addrStr=52.192.158.104:10242 id=22
09:46:47.370 INF Connected to orderer. addrStr=43.207.197.113:10231 id=21
09:46:47.373 INF Connected to orderer. addrStr=43.207.236.64:10253 id=23
09:46:47.375 INF Connected to orderer. addrStr=43.206.215.201:10198 id=18
09:46:47.375 INF Connected to orderer. addrStr=54.199.117.186:10220 id=20
09:46:47.830 INF Connected to orderer. addrStr=13.210.18.185:10341 id=31
09:46:47.836 INF Connected to orderer. addrStr=52.62.24.105:10297 id=27
09:46:47.837 INF Connected to orderer. addrStr=3.25.208.250:10275 id=25
09:46:47.891 INF Connected to orderer. addrStr=54.79.80.71:10264 id=24
09:46:47.893 INF Connected to orderer. addrStr=3.104.75.73:10286 id=26
09:46:47.894 INF Connected to orderer. addrStr=13.236.93.32:10319 id=29
09:46:47.915 INF Connected to orderer. addrStr=13.210.72.153:10330 id=30
09:46:47.941 INF Connected to orderer. addrStr=3.106.116.87:10308 id=28
09:46:47.955 INF Connected to orderer. addrStr=18.189.182.76:10066 id=6
09:46:47.957 INF Connected to orderer. addrStr=3.143.239.63:10022 id=2
09:46:47.958 INF Connected to orderer. addrStr=3.143.17.5:10033 id=3
09:46:47.999 INF Connected to orderer. addrStr=18.222.107.138:10011 id=1
09:46:48.000 INF Connected to orderer. addrStr=18.117.10.231:10055 id=5
09:46:48.004 INF Connected to orderer. addrStr=3.133.114.48:10000 id=0
09:46:48.009 INF Connected to orderer. addrStr=3.144.29.12:10044 id=4
09:46:48.052 INF Connected to orderer. addrStr=18.191.21.86:10077 id=7
09:46:48.367 INF Connected to orderer. addrStr=52.47.87.220:10110 id=10
09:46:48.368 INF Connected to orderer. addrStr=13.37.105.178:10088 id=8
09:46:48.376 INF Connected to orderer. addrStr=35.180.66.90:10099 id=9
09:46:48.394 INF Connected to orderer. addrStr=35.180.42.165:10143 id=13
09:46:48.418 INF Connected to orderer. addrStr=15.188.3.66:10165 id=15
09:46:48.418 INF Connected to orderer. addrStr=13.39.21.142:10132 id=12
09:46:48.447 INF Connected to orderer. addrStr=13.38.123.5:10154 id=14
09:46:48.454 INF Connected to orderer. addrStr=13.39.156.163:10121 id=11
09:46:48.463 INF Updating bucket assignment. epoch=0
09:46:48.463 INF Resubmitted Requests. epoch=0 n=0
09:46:48.457 INF Connected to orderers.
09:46:48.464 INF Non crashing node count. count=32
09:46:48.466 INF Setting up client timeout. clientRunTime=15000
09:46:48.466 INF Starting to submit requests. numRequests=8203
09:46:53.315 INF Request finished (out of order). clSeqNr=370
09:46:53.316 INF Request finished (out of order). clSeqNr=402
09:46:53.316 INF Request finished (out of order). clSeqNr=434
09:46:53.317 INF Request finished (out of order). clSeqNr=466
09:46:53.317 INF Request finished (out of order). clSeqNr=498
09:46:53.317 INF Request finished (out of order). clSeqNr=18
09:46:53.318 INF Request finished (out of order). clSeqNr=50
09:46:53.319 INF Request finished (out of order). clSeqNr=82
09:46:53.320 INF Request finished (out of order). clSeqNr=114
09:46:53.320 INF Request finished (out of order). clSeqNr=146
09:46:53.321 INF Request finished (out of order). clSeqNr=178
09:46:53.321 INF Request finished (out of order). clSeqNr=210
09:46:53.323 INF Request finished (out of order). clSeqNr=242
09:46:53.340 INF Request finished (out of order). clSeqNr=274
09:46:53.345 INF Request finished (out of order). clSeqNr=306
09:46:53.345 INF Request finished (out of order). clSeqNr=338
09:46:53.353 INF Request finished (out of order). clSeqNr=371
09:46:53.354 INF Request finished (out of order). clSeqNr=403
09:46:53.443 INF Request finished (out of order). clSeqNr=435
09:46:53.443 INF Request finished (out of order). clSeqNr=467
09:46:53.443 INF Request finished (out of order). clSeqNr=499
09:46:53.443 INF Request finished (out of order). clSeqNr=19
09:46:53.443 INF Request finished (out of order). clSeqNr=51
09:46:53.443 INF Request finished (out of order). clSeqNr=83
09:46:53.443 INF Request finished (out of order). clSeqNr=115
09:46:53.443 INF Request finished (out of order). clSeqNr=147
09:46:53.443 INF Request finished (out of order). clSeqNr=179
09:46:53.443 INF Request finished (out of order). clSeqNr=211
09:46:53.443 INF Request finished (out of order). clSeqNr=243
09:46:53.444 INF Request finished (out of order). clSeqNr=275
09:46:53.444 INF Request finished (out of order). clSeqNr=307
09:46:53.444 INF Request finished (out of order). clSeqNr=339
09:46:53.444 INF Request finished (out of order). clSeqNr=372
09:46:53.444 INF Request finished (out of order). clSeqNr=404
09:46:53.444 INF Request finished (out of order). clSeqNr=436
09:46:53.444 INF Request finished (out of order). clSeqNr=468
09:46:53.444 INF Request finished (out of order). clSeqNr=500
09:46:53.444 INF Request finished (out of order). clSeqNr=20
09:46:53.444 INF Request finished (out of order). clSeqNr=52
09:46:53.444 INF Request finished (out of order). clSeqNr=84
09:46:53.444 INF Request finished (out of order). clSeqNr=116
09:46:53.444 INF Request finished (out of order). clSeqNr=148
09:46:53.444 INF Request finished (out of order). clSeqNr=180
09:46:53.444 INF Request finished (out of order). clSeqNr=212
09:46:53.445 INF Request finished (out of order). clSeqNr=244
09:46:53.445 INF Request finished (out of order). clSeqNr=276
09:46:53.445 INF Request finished (out of order). clSeqNr=308
09:46:53.445 INF Request finished (out of order). clSeqNr=340
09:46:53.445 INF Request finished (out of order). clSeqNr=373
09:46:53.445 INF Request finished (out of order). clSeqNr=405
09:46:53.445 INF Request finished (out of order). clSeqNr=437
09:46:53.445 INF Request finished (out of order). clSeqNr=469
09:46:53.449 INF Request finished (out of order). clSeqNr=501
09:46:53.449 INF Request finished (out of order). clSeqNr=21
09:46:53.449 INF Request finished (out of order). clSeqNr=53
09:46:53.449 INF Request finished (out of order). clSeqNr=85
09:46:53.449 INF Request finished (out of order). clSeqNr=117
09:46:53.449 INF Request finished (out of order). clSeqNr=149
09:46:53.449 INF Request finished (out of order). clSeqNr=181
09:46:53.449 INF Request finished (out of order). clSeqNr=213
09:46:53.449 INF Request finished (out of order). clSeqNr=245
09:46:53.449 INF Request finished (out of order). clSeqNr=277
09:46:53.449 INF Request finished (out of order). clSeqNr=309
09:46:53.449 INF Request finished (out of order). clSeqNr=341
09:46:53.449 INF Request finished (out of order). clSeqNr=374
09:46:53.449 INF Request finished (out of order). clSeqNr=406
09:46:53.449 INF Request finished (out of order). clSeqNr=438
09:46:53.449 INF Request finished (out of order). clSeqNr=470
09:46:53.449 INF Request finished (out of order). clSeqNr=502
09:46:53.449 INF Request finished (out of order). clSeqNr=22
09:46:53.449 INF Request finished (out of order). clSeqNr=54
09:46:53.449 INF Request finished (out of order). clSeqNr=86
09:46:53.449 INF Request finished (out of order). clSeqNr=118
09:46:53.449 INF Request finished (out of order). clSeqNr=150
09:46:53.449 INF Request finished (out of order). clSeqNr=182
09:46:53.449 INF Request finished (out of order). clSeqNr=214
09:46:53.449 INF Request finished (out of order). clSeqNr=246
09:46:53.449 INF Request finished (out of order). clSeqNr=278
09:46:53.449 INF Request finished (out of order). clSeqNr=310
09:46:53.449 INF Request finished (out of order). clSeqNr=342
09:46:53.449 INF Request finished (out of order). clSeqNr=375
09:46:53.449 INF Request finished (out of order). clSeqNr=407
09:46:53.450 INF Request finished (out of order). clSeqNr=439
09:46:53.450 INF Request finished (out of order). clSeqNr=471
09:46:53.450 INF Request finished (out of order). clSeqNr=503
09:46:53.450 INF Request finished (out of order). clSeqNr=23
09:46:53.450 INF Request finished (out of order). clSeqNr=55
09:46:53.450 INF Request finished (out of order). clSeqNr=87
09:46:53.450 INF Request finished (out of order). clSeqNr=119
09:46:53.450 INF Request finished (out of order). clSeqNr=151
09:46:53.450 INF Request finished (out of order). clSeqNr=183
09:46:53.450 INF Request finished (out of order). clSeqNr=215
09:46:53.450 INF Request finished (out of order). clSeqNr=247
09:46:53.450 INF Request finished (out of order). clSeqNr=279
09:46:53.450 INF Request finished (out of order). clSeqNr=311
