exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,500,1,false,58,16384,external,32,8192,32,32,31.96875,-1,998881,499697.7578125,999395.5703125,500186.5694881899,331.60914114020443,304.6631914699067,4761.484057863191,0.20833333333333334,1.0260416666666667,12.338028,0.025673,0.0,0,0,4486.036,4485.994,4486.036,4510.554,4510.5,2873.920501953125,2873.471955078125,2873.920501953125,3814.3748828125,3813.8354453125,1074.8096735153774,1074.50214848449,325.7346307385143,326.07536082049705,None,512,128,9.5538078168957,335.98622456479285,414.9771746343905,49857.82728937016,0.0,0
0001,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,1000,3,false,117,16384,external,32,8192,95,97,96.03125,-1,332158,266187.30546875,332743.9167842031,133146.0251380792,325.5013779082185,304.5712606776542,263.74397054059773,0.5164473684210527,1.825657894736842,16.585133,8.061658,0.0,0,0,4693.185,4693.057,4693.185,4678.793,4678.759,2706.89685234375,2706.72818984375,2706.89685234375,2612.9168758700694,2611.179901277584,1226.0318264788816,1225.930614556744,1319.5983232860426,1319.440243507453,None,1280,862,9.55372272250446,15.626991525775502,771.7755413839611,1069.2589539273436,0.0,0
0002,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192,1850,1862,1856.03125,0,16126,16547.492098721592,16749.276208371128,1802.932973097449,323.77025310860887,302.13906491401747,330.11334422335773,2.3511904761904763,8.303571428571429,15.49657,8.814567,0.0,0,0,5577.623,5577.6,5577.623,5579.151,5579.111,3734.243579856179,3734.202832652699,3734.243579856179,3709.1317952596473,3709.0405598237153,1150.4861884332347,1150.4773704094016,1162.3007710248824,1162.3067345224504,None,22528,16792,9.551579224280433,15.61351095653735,14537.41053665424,19050.283468263387,0.0,0
0003,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192,2492,2500,2496.15625,11579,11707,12241.698457362289,12361.892733732418,1183.7840233360396,362.0676443030506,302.0481905499327,317.04075675030697,2.982142857142857,10.931547619047619,20.337098,8.69265,0.0,0,0,5643.236,5643.207,5643.236,5676.887,5676.857,3792.391464645127,3792.3518970471396,3792.391464645127,3783.1746902419573,3783.135599574581,1152.859904556965,1152.8543132686564,1166.4792215883022,1166.4721271303897,None,30208,22566,9.553524967092583,15.632369654737133,14853.643327086293,25959.86264257735,0.0,0
0004,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192,3100,3110,3105.109375,9140,9201,9808.756769049658,9895.61223593307,901.4523235793538,414.5981798696577,301.9880783521439,293.42863523903765,3.7149253731343284,13.616417910447762,20.317157,8.659054,0.0,0,0,5720.462,5720.432,5720.462,5774.762,5774.72,3882.547541738014,3882.5069796660955,3882.547541738014,3887.3987938380155,3887.3351259963542,1151.8640645923147,1151.8583711589517,1165.487713435406,1165.4945023262233,None,37376,27978,9.552431280331767,15.62316915986408,18396.274636259393,32310.688904353756,0.0,0
0005,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,3739,3751,3744.765625,7391,7444,8089.949174360795,8160.531087482195,702.7151786129342,359.6293755141377,302.0407810113883,317.4729380653677,4.529761904761905,16.598214285714285,20.267272,8.861448,0.0,0,0,5854.995,5854.974,5854.995,5864.01,5863.969,3987.423268754439,3987.379993408203,3987.423268754439,3960.8101744884966,3960.767069345335,1156.1889271019907,1156.1827706162308,1167.9986771757035,1167.9897346989385,None,45056,33773,9.552288230745074,15.622402623001399,22230.91494504046,38112.28142398398,0.0,0
0006,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192,4096,4096,4096.0,6215,6253,6908.93184070122,6968.011518116148,611.2496765636023,397.833682209196,290.433643334061,314.79388317482847,4.978915662650603,18.283132530120483,21.142019,8.843492,0.0,0,0,6151.691,6151.659,6151.691,6087.691,6087.65,4327.502057278964,4327.458501143293,4327.502057278964,4219.9180264101815,4219.874195605388,1150.8039463224272,1150.8027673101951,1137.5513384923838,1137.547249908746,None,52480,37637,9.551233312950737,15.615964395601178,24822.605636670745,42558.98009519317,0.0,0
0007,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4096.0,5276,5319,5994.579222074468,6048.523401188079,514.2556182277423,339.38806952715237,280.76843175750525,278.5632500112977,5.273972602739726,19.164383561643834,21.717091,8.828227,0.0,0,0,7374.743,7374.709,7374.743,6408.019,6407.99,5143.124160289229,5143.081400565159,5143.124160289229,4583.0024947831425,4582.95948826207,1356.9532385274988,1356.9506066830422,1127.1348546225904,1127.1342836156941,None,60160,39104,9.54998434449181,15.625572225545367,27701.68435542311,44294.28468479571,0.0,0
0008,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192,4096,4096,4096.0,4580,4624,5306.2081600522815,5350.586274597296,552.7603952564768,496.6545117281268,284.90313849742535,314.3539113302653,5.424382716049383,19.574074074074073,25.140273,8.789068,0.0,0,0,9256.312,9256.291,9256.312,7065.254,7065.237,6203.107680118227,6203.060870618465,6203.107680118227,5139.607319923028,5139.565224605517,1752.2997599648038,1752.2942807441636,1194.8344643822472,1194.8332874461223,None,67328,38975,9.29338957051015,15.61872353053436,26780.934320005195,44344.86113886023,0.0,0
0009,32,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3993,4036,4751.2759172354945,4794.1541660003195,452.03852605449146,369.7182870781597,277.60956476490173,310.83792675318364,5.574074074074074,20.22530864197531,25.759105,8.794721,0.0,0,0,11223.922,11223.498,11223.922,7674.13,7674.112,7384.209058847056,7384.1671496907,7384.209058847056,5604.238286033376,5604.195921874199,2329.8069706051356,2329.80544007243,1293.953868873228,1293.9468141068319,None,75008,38950,9.290852073583382,15.620679143195984,29119.024127585177,44287.93136246164,0.0,0
