05:51:32.332 INF Connecting to orderer. addrStr=54.252.173.232:10165 peerId=15
05:51:32.335 INF Connecting to orderer. addrStr=35.180.103.242:10077 peerId=7
05:51:32.335 INF Connecting to orderer. addrStr=43.206.194.219:10088 peerId=8
05:51:32.335 INF Connecting to orderer. addrStr=13.114.193.100:10099 peerId=9
05:51:32.335 INF Connecting to orderer. addrStr=43.207.225.101:10110 peerId=10
05:51:32.335 INF Connecting to orderer. addrStr=35.72.8.7:10121 peerId=11
05:51:32.335 INF Connecting to orderer. addrStr=54.253.215.35:10132 peerId=12
05:51:32.335 INF Connecting to orderer. addrStr=13.236.116.240:10143 peerId=13
05:51:32.335 INF Connecting to orderer. addrStr=13.239.64.59:10154 peerId=14
05:51:32.335 INF Connecting to orderer. addrStr=3.145.66.41:10000 peerId=0
05:51:32.336 INF Connecting to orderer. addrStr=18.221.112.191:10011 peerId=1
05:51:32.336 INF Connecting to orderer. addrStr=3.144.83.128:10022 peerId=2
05:51:32.336 INF Connecting to orderer. addrStr=18.188.229.56:10033 peerId=3
05:51:32.336 INF Connecting to orderer. addrStr=13.38.57.85:10044 peerId=4
05:51:32.336 INF Connecting to orderer. addrStr=15.188.48.244:10055 peerId=5
05:51:32.336 INF Connecting to orderer. addrStr=35.180.181.177:10066 peerId=6
05:51:32.369 INF Connected to orderer. addrStr=18.221.112.191:10011 id=1
05:51:32.370 INF Connected to orderer. addrStr=3.144.83.128:10022 id=2
05:51:32.371 INF Connected to orderer. addrStr=3.145.66.41:10000 id=0
05:51:32.373 INF Connected to orderer. addrStr=18.188.229.56:10033 id=3
05:51:32.813 INF Connected to orderer. addrStr=35.180.181.177:10066 id=6
05:51:32.819 INF Connected to orderer. addrStr=15.188.48.244:10055 id=5
05:51:32.836 INF Connected to orderer. addrStr=35.180.103.242:10077 id=7
05:51:32.838 INF Connected to orderer. addrStr=13.38.57.85:10044 id=4
05:51:33.008 INF Connected to orderer. addrStr=43.207.225.101:10110 id=10
05:51:33.037 INF Connected to orderer. addrStr=43.206.194.219:10088 id=8
05:51:33.042 INF Connected to orderer. addrStr=13.114.193.100:10099 id=9
05:51:33.055 INF Connected to orderer. addrStr=35.72.8.7:10121 id=11
05:51:33.304 INF Connected to orderer. addrStr=54.252.173.232:10165 id=15
05:51:33.305 INF Connected to orderer. addrStr=13.239.64.59:10154 id=14
05:51:33.307 INF Connected to orderer. addrStr=54.253.215.35:10132 id=12
05:51:33.317 INF Connected to orderer. addrStr=13.236.116.240:10143 id=13
05:51:33.318 INF Connected to orderers.
05:51:33.318 INF Non crashing node count. count=16
05:51:33.318 INF Updating bucket assignment. epoch=0
05:51:33.318 INF Resubmitted Requests. epoch=0 n=0
05:51:33.319 INF Setting up client timeout. clientRunTime=15000
05:51:33.319 INF Starting to submit requests. numRequests=8203
05:51:33.593 INF Request finished (out of order). clSeqNr=0
05:51:33.593 INF Request delivered (in order). clSeqNr=0
05:51:36.802 INF Request finished (out of order). clSeqNr=255
05:51:36.803 INF Request finished (out of order). clSeqNr=15
05:51:36.803 INF Request finished (out of order). clSeqNr=271
05:51:36.803 INF Request finished (out of order). clSeqNr=31
05:51:36.803 INF Request finished (out of order). clSeqNr=287
05:51:36.804 INF Request finished (out of order). clSeqNr=47
05:51:36.804 INF Request finished (out of order). clSeqNr=303
05:51:36.804 INF Request finished (out of order). clSeqNr=63
05:51:36.804 INF Request finished (out of order). clSeqNr=319
05:51:36.805 INF Request finished (out of order). clSeqNr=79
05:51:36.805 INF Request finished (out of order). clSeqNr=335
05:51:36.805 INF Request finished (out of order). clSeqNr=95
05:51:36.805 INF Request finished (out of order). clSeqNr=351
05:51:36.806 INF Request finished (out of order). clSeqNr=111
05:51:36.806 INF Request finished (out of order). clSeqNr=367
05:51:36.807 INF Request finished (out of order). clSeqNr=127
05:51:36.808 INF Request finished (out of order). clSeqNr=383
05:51:36.808 INF Request finished (out of order). clSeqNr=143
05:51:36.808 INF Request finished (out of order). clSeqNr=399
05:51:36.808 INF Request finished (out of order). clSeqNr=159
05:51:36.808 INF Request finished (out of order). clSeqNr=415
05:51:36.808 INF Request finished (out of order). clSeqNr=175
05:51:36.808 INF Request finished (out of order). clSeqNr=431
05:51:36.894 INF Request finished (out of order). clSeqNr=191
05:51:36.894 INF Request finished (out of order). clSeqNr=207
05:51:36.894 INF Request finished (out of order). clSeqNr=223
05:51:36.894 INF Request finished (out of order). clSeqNr=239
05:51:36.894 INF Request finished (out of order). clSeqNr=256
05:51:36.894 INF Request finished (out of order). clSeqNr=16
05:51:36.894 INF Request finished (out of order). clSeqNr=272
05:51:36.894 INF Request finished (out of order). clSeqNr=32
05:51:36.894 INF Request finished (out of order). clSeqNr=288
05:51:36.894 INF Request finished (out of order). clSeqNr=48
05:51:36.894 INF Request finished (out of order). clSeqNr=304
05:51:36.895 INF Request finished (out of order). clSeqNr=64
05:51:36.895 INF Request finished (out of order). clSeqNr=320
05:51:36.895 INF Request finished (out of order). clSeqNr=80
05:51:36.895 INF Request finished (out of order). clSeqNr=336
05:51:36.895 INF Request finished (out of order). clSeqNr=96
05:51:36.895 INF Request finished (out of order). clSeqNr=352
05:51:36.895 INF Request finished (out of order). clSeqNr=112
05:51:36.895 INF Request finished (out of order). clSeqNr=368
05:51:36.895 INF Request finished (out of order). clSeqNr=128
05:51:36.895 INF Request finished (out of order). clSeqNr=384
05:51:36.895 INF Request finished (out of order). clSeqNr=144
05:51:36.895 INF Request finished (out of order). clSeqNr=400
05:51:36.895 INF Request finished (out of order). clSeqNr=160
05:51:36.895 INF Request finished (out of order). clSeqNr=416
05:51:36.895 INF Request finished (out of order). clSeqNr=176
05:51:36.895 INF Request finished (out of order). clSeqNr=432
05:51:36.895 INF Request finished (out of order). clSeqNr=192
05:51:36.895 INF Request finished (out of order). clSeqNr=208
05:51:36.895 INF Request finished (out of order). clSeqNr=224
05:51:36.895 INF Request finished (out of order). clSeqNr=240
05:51:36.895 INF Request finished (out of order). clSeqNr=1
05:51:36.895 INF Request delivered (in order). clSeqNr=1
05:51:36.895 INF Request finished (out of order). clSeqNr=257
05:51:36.895 INF Request finished (out of order). clSeqNr=17
05:51:36.895 INF Request finished (out of order). clSeqNr=273
05:51:36.895 INF Request finished (out of order). clSeqNr=33
05:51:36.895 INF Request finished (out of order). clSeqNr=289
05:51:36.895 INF Request finished (out of order). clSeqNr=49
05:51:36.895 INF Request finished (out of order). clSeqNr=305
05:51:36.895 INF Request finished (out of order). clSeqNr=65
05:51:36.895 INF Request finished (out of order). clSeqNr=321
05:51:36.896 INF Request finished (out of order). clSeqNr=81
05:51:36.896 INF Request finished (out of order). clSeqNr=337
05:51:36.896 INF Request finished (out of order). clSeqNr=97
05:51:36.896 INF Request finished (out of order). clSeqNr=353
05:51:36.896 INF Request finished (out of order). clSeqNr=113
05:51:36.896 INF Request finished (out of order). clSeqNr=369
05:51:36.896 INF Request finished (out of order). clSeqNr=129
05:51:36.896 INF Request finished (out of order). clSeqNr=385
05:51:36.896 INF Request finished (out of order). clSeqNr=145
05:51:36.896 INF Request finished (out of order). clSeqNr=401
05:51:36.896 INF Request finished (out of order). clSeqNr=161
05:51:36.896 INF Request finished (out of order). clSeqNr=417
05:51:36.896 INF Request finished (out of order). clSeqNr=177
05:51:36.896 INF Request finished (out of order). clSeqNr=433
05:51:36.896 INF Request finished (out of order). clSeqNr=193
05:51:36.896 INF Request finished (out of order). clSeqNr=209
05:51:36.896 INF Request finished (out of order). clSeqNr=225
05:51:36.896 INF Request finished (out of order). clSeqNr=241
05:51:36.896 INF Request finished (out of order). clSeqNr=2
05:51:36.896 INF Request delivered (in order). clSeqNr=2
05:51:36.896 INF Request finished (out of order). clSeqNr=258
05:51:36.896 INF Request finished (out of order). clSeqNr=18
05:51:36.896 INF Request finished (out of order). clSeqNr=274
05:51:36.896 INF Request finished (out of order). clSeqNr=34
05:51:36.896 INF Request finished (out of order). clSeqNr=290
05:51:36.896 INF Request finished (out of order). clSeqNr=50
05:51:36.896 INF Request finished (out of order). clSeqNr=306
05:51:36.896 INF Request finished (out of order). clSeqNr=66
05:51:36.896 INF Request finished (out of order). clSeqNr=322
05:51:36.896 INF Request finished (out of order). clSeqNr=82
05:51:36.896 INF Request finished (out of order). clSeqNr=338
05:51:36.896 INF Request finished (out of order). clSeqNr=98
05:51:36.896 INF Request finished (out of order). clSeqNr=354
05:51:36.896 INF Request finished (out of order). clSeqNr=114
05:51:36.896 INF Request finished (out of order). clSeqNr=370
05:51:36.896 INF Request finished (out of order). clSeqNr=130
05:51:36.896 INF Request finished (out of order). clSeqNr=386
05:51:36.896 INF Request finished (out of order). clSeqNr=146
05:51:36.896 INF Request finished (out of order). clSeqNr=402
05:51:36.896 INF Request finished (out of order). clSeqNr=162
05:51:36.896 INF Request finished (out of order). clSeqNr=418
05:51:36.896 INF Request finished (out of order). clSeqNr=178
05:51:36.896 INF Request finished (out of order). clSeqNr=434
05:51:36.897 INF Request finished (out of order). clSeqNr=194
