exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192,606,611,608.1041666666666,0,51492,50293.66877693965,52093.48520223611,9510.607914095983,324.1546051696001,140.89073433736692,137.1306661285738,1.4306930693069306,4.1905940594059405,17.133415,12.580267,0.0,0,0,3187.429,3187.406,3187.429,3214.871,3214.849,2203.8597020474135,2203.8129449084054,2203.8597020474135,2207.047682342093,2207.0012251421545,612.3600149866787,612.3540743399348,611.1709869595687,611.1634230864115,None,7424,6507,8.839790238407486,9.507266126204996,4333.053276302477,5172.386245856308,0.0,0
0001,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192,606,610,608.1145833333334,0,51479,50304.293372844826,52106.52183226232,9512.696584989462,327.5122822872185,140.84965020594586,136.83152067534667,1.3712871287128714,3.972772277227723,17.137098,12.574953,0.0,0,0,3184.565,3184.327,3184.565,3204.451,3204.416,2208.3320959051725,2208.283633351293,2208.3320959051725,2209.914162776413,2210.023758408847,610.4674295501616,610.460051415886,610.7522904285796,610.6589091108044,None,7424,6512,8.83992894244118,9.506320911212546,4332.122043067035,5178.5481822476795,0.0,0
0002,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192,606,610,608.1875,0,51488,50298.46942349138,52096.623519736844,9511.591103169716,328.23550690152575,140.86624375979048,137.27429751075408,1.4603960396039604,4.160891089108911,17.132641,12.580406,0.0,0,0,3185.649,3185.628,3185.649,3200.748,3200.712,2204.9309497575427,2204.8868399784483,2204.9309497575427,2206.2629103331797,2206.2190434515583,610.2387690402016,610.2290454433939,610.756269104792,610.74527182601,None,7424,6513,8.839452775996996,9.505308120503544,4333.249030315875,5177.0984179683865,0.0,0
0003,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192,604,611,608.1354166666666,0,51483,50290.668103448275,52093.905083072874,9510.024566833761,324.0081933386869,140.87873219266686,137.05023358005303,1.4727722772277227,4.353960396039604,17.135813,12.585168,0.0,0,0,3179.555,3179.398,3179.555,3197.205,3197.167,2199.520500404095,2199.4722566002156,2199.520500404095,2203.810216162237,2203.9216790104483,613.712286702117,613.7072738064406,611.0733268450908,610.976646463969,None,7424,6509,8.839683771362685,9.505406942808639,4332.446905203739,5171.961153001692,0.0,0
0004,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192,606,610,608.1354166666666,0,51480,50287.5502424569,52084.52310475251,9509.355061602631,323.256236711669,140.88519821033975,138.05729760899922,1.4257425742574257,4.158415841584159,17.141029,12.589203,0.0,0,0,3186.791,3186.757,3186.791,3200.147,3200.07,2210.2826466864226,2210.2353775592674,2210.2826466864226,2210.6008344848765,2210.5554910179644,610.5578404013957,610.5512825316524,611.7092764442675,611.7017218265977,None,7424,6513,8.839901592005504,9.50632750070629,4331.128545433299,5173.480799380231,0.0,0
0005,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192,1244,1252,1248.1145833333333,0,24520,24707.002913135595,25137.429780309194,3260.056183960105,323.4360619198929,140.0192603055953,136.83701089460794,2.2325,7.1625,18.16316,12.513934,0.0,0,0,3425.563,3425.532,3425.563,3439.109,3439.086,2444.888020193326,2444.8507619835805,2444.888020193326,2436.855375048491,2436.8174727286832,627.843367553467,627.8392052495756,631.6373479503388,631.6320251248541,2.3333333333333335,15104,12889,8.839882056083637,9.507622042708634,8315.733605826299,10299.71869757344,0.0,0
0006,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192,1245,1252,1248.28125,0,24517,24702.731528072032,25132.44365743722,3259.348385803948,322.43968521963933,139.62025907411697,138.2229085874729,2.237864077669903,7.118932038834951,18.311404,12.6287,0.0,0,0,3415.425,3415.394,3415.425,3421.82,3421.793,2436.810253376589,2436.7728474576274,2436.810253376589,2425.0332516561452,2424.9953937339255,626.2805319193969,626.2777589393478,629.8184972677253,629.8150148241879,None,15104,12831,8.840177057696245,9.507376287989521,8248.411754773146,10160.190676791752,0.0,0
0007,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192,1243,1253,1248.2604166666667,0,24520,24723.200410487287,25154.28054335448,3261.7444067973215,319.2710268143388,139.61755588233578,137.00744425754266,2.26,7.12,18.315355,12.522048,0.0,0,0,3428.705,3428.676,3428.705,3444.363,3444.343,2449.065771914725,2449.028582362288,2449.065771914725,2443.5720879765395,2443.5354264546995,630.9448027097329,630.941336377187,635.4272216842668,635.4208505233822,1.5,15104,12958,8.840721690213377,9.50825108200926,8246.63240215655,10348.147523472198,0.0,0
0008,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192,1245,1251,1248.1458333333333,0,24518,24702.225768008473,25131.94768955418,3259.5141314791053,324.4754333374226,139.6247671647926,137.29406989628296,2.21,7.025,18.314548,12.497132,0.0,0,0,3408.852,3408.831,3408.852,3411.581,3411.557,2437.885901946504,2437.847922537076,2437.885901946504,2424.1877821023836,2424.149681906995,615.7958990440493,615.7898886041284,619.4422626860814,619.4352400517752,1.9523809523809523,15104,12795,8.840015878878523,9.506968607989656,8246.995776253938,10238.349086814478,0.0,0
0009,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192,1245,1252,1248.34375,0,24521,24704.436837923728,25136.83660814946,3259.5624656548653,321.37712924120495,139.6024732323164,138.41131257470346,2.2354368932038833,7.072815533980583,18.314943,12.629985,0.0,0,0,3418.235,3418.213,3418.235,3436.243,3436.21,2441.011519928496,2440.9738027012713,2441.011519928496,2438.0012325070124,2438.065884533738,627.7613804990867,627.7559894403435,630.6291947552344,630.5355554878906,None,15104,13191,8.83966081779459,9.506460233882688,8246.81791256462,10444.192926594924,0.0,0
0010,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192,1853,1862,1856.7708333333333,0,16120,16574.097434303978,16771.562262924028,1806.0299652340998,323.7562256407364,139.62174397048133,138.06806468942688,3.1775,10.1975,18.315714,12.619555,0.0,0,0,3546.62,3546.594,3546.62,3576.465,3576.433,2527.952522594105,2527.9169456676136,2527.952522594105,2549.9338038555693,2549.9521886061098,626.5230151887603,626.5206972163337,631.6419350285682,631.6093755045238,1.2333333333333334,22528,19608,8.839018654583139,9.504915675061389,12299.820798686855,15537.790357900893,0.0,0
