03:56:57.401 INF Connecting to orderer. addrStr=13.211.11.123:10165 peerId=15
03:56:57.402 INF Connecting to orderer. addrStr=18.222.163.69:10000 peerId=0
03:56:57.402 INF Connecting to orderer. addrStr=3.12.76.199:10011 peerId=1
03:56:57.402 INF Connecting to orderer. addrStr=18.188.33.191:10022 peerId=2
03:56:57.402 INF Connecting to orderer. addrStr=13.58.191.42:10033 peerId=3
03:56:57.402 INF Connecting to orderer. addrStr=15.237.100.31:10044 peerId=4
03:56:57.403 INF Connecting to orderer. addrStr=15.237.28.190:10055 peerId=5
03:56:57.403 INF Connecting to orderer. addrStr=52.47.76.69:10066 peerId=6
03:56:57.403 INF Connecting to orderer. addrStr=13.39.158.215:10077 peerId=7
03:56:57.403 INF Connecting to orderer. addrStr=54.248.66.247:10088 peerId=8
03:56:57.403 INF Connecting to orderer. addrStr=3.112.71.221:10099 peerId=9
03:56:57.404 INF Connecting to orderer. addrStr=43.207.143.169:10110 peerId=10
03:56:57.404 INF Connecting to orderer. addrStr=13.231.255.231:10121 peerId=11
03:56:57.404 INF Connecting to orderer. addrStr=13.239.3.192:10132 peerId=12
03:56:57.404 INF Connecting to orderer. addrStr=3.25.115.53:10143 peerId=13
03:56:57.404 INF Connecting to orderer. addrStr=3.104.79.78:10154 peerId=14
03:56:57.405 INF Connected to orderer. addrStr=13.211.11.123:10165 id=15
03:56:57.444 INF Connected to orderer. addrStr=13.239.3.192:10132 id=12
03:56:57.445 INF Connected to orderer. addrStr=3.104.79.78:10154 id=14
03:56:57.446 INF Connected to orderer. addrStr=3.25.115.53:10143 id=13
03:56:57.912 INF Connected to orderer. addrStr=3.112.71.221:10099 id=9
03:56:57.979 INF Connected to orderer. addrStr=13.231.255.231:10121 id=11
03:56:57.994 INF Connected to orderer. addrStr=43.207.143.169:10110 id=10
03:56:57.995 INF Connected to orderer. addrStr=54.248.66.247:10088 id=8
03:56:58.340 INF Connected to orderer. addrStr=3.12.76.199:10011 id=1
03:56:58.341 INF Connected to orderer. addrStr=18.188.33.191:10022 id=2
03:56:58.359 INF Connected to orderer. addrStr=18.222.163.69:10000 id=0
03:56:58.361 INF Connected to orderer. addrStr=13.58.191.42:10033 id=3
03:56:58.794 INF Connected to orderer. addrStr=15.237.100.31:10044 id=4
03:56:58.795 INF Connected to orderer. addrStr=15.237.28.190:10055 id=5
03:56:58.796 INF Connected to orderer. addrStr=13.39.158.215:10077 id=7
03:56:58.839 INF Connected to orderer. addrStr=52.47.76.69:10066 id=6
03:56:58.839 INF Connected to orderers.
03:56:58.839 INF Non crashing node count. count=16
03:56:58.840 INF Updating bucket assignment. epoch=0
03:56:58.840 INF Resubmitted Requests. epoch=0 n=0
03:56:58.841 INF Setting up client timeout. clientRunTime=15000
03:56:58.841 INF Starting to submit requests. numRequests=5859
03:57:01.215 INF Request finished (out of order). clSeqNr=42
03:57:01.216 INF Request finished (out of order). clSeqNr=58
03:57:01.217 INF Request finished (out of order). clSeqNr=74
03:57:01.217 INF Request finished (out of order). clSeqNr=90
03:57:01.218 INF Request finished (out of order). clSeqNr=106
03:57:01.219 INF Request finished (out of order). clSeqNr=122
03:57:01.223 INF Request finished (out of order). clSeqNr=10
03:57:01.224 INF Request finished (out of order). clSeqNr=26
03:57:01.225 INF Request finished (out of order). clSeqNr=138
03:57:01.330 INF Request finished (out of order). clSeqNr=43
03:57:01.330 INF Request finished (out of order). clSeqNr=59
03:57:01.342 INF Request finished (out of order). clSeqNr=75
03:57:01.342 INF Request finished (out of order). clSeqNr=91
03:57:01.342 INF Request finished (out of order). clSeqNr=107
03:57:01.342 INF Request finished (out of order). clSeqNr=123
03:57:01.342 INF Request finished (out of order). clSeqNr=11
03:57:01.342 INF Request finished (out of order). clSeqNr=27
03:57:01.342 INF Request finished (out of order). clSeqNr=139
03:57:01.342 INF Request finished (out of order). clSeqNr=44
03:57:01.356 INF Request finished (out of order). clSeqNr=60
03:57:01.356 INF Request finished (out of order). clSeqNr=76
03:57:01.363 INF Request finished (out of order). clSeqNr=92
03:57:01.363 INF Request finished (out of order). clSeqNr=108
03:57:01.363 INF Request finished (out of order). clSeqNr=124
03:57:01.363 INF Request finished (out of order). clSeqNr=12
03:57:01.363 INF Request finished (out of order). clSeqNr=28
03:57:01.363 INF Request finished (out of order). clSeqNr=140
03:57:01.363 INF Request finished (out of order). clSeqNr=45
03:57:01.363 INF Request finished (out of order). clSeqNr=61
03:57:01.363 INF Request finished (out of order). clSeqNr=77
03:57:01.363 INF Request finished (out of order). clSeqNr=93
03:57:01.363 INF Request finished (out of order). clSeqNr=109
03:57:01.363 INF Request finished (out of order). clSeqNr=125
03:57:01.363 INF Request finished (out of order). clSeqNr=13
03:57:01.363 INF Request finished (out of order). clSeqNr=29
03:57:01.363 INF Request finished (out of order). clSeqNr=141
03:57:02.154 INF Request finished (out of order). clSeqNr=46
03:57:02.155 INF Request finished (out of order). clSeqNr=62
03:57:02.156 INF Request finished (out of order). clSeqNr=78
03:57:02.156 INF Request finished (out of order). clSeqNr=94
03:57:02.157 INF Request finished (out of order). clSeqNr=110
03:57:02.164 INF Request finished (out of order). clSeqNr=14
03:57:02.165 INF Request finished (out of order). clSeqNr=30
03:57:02.165 INF Request finished (out of order). clSeqNr=126
03:57:02.166 INF Request finished (out of order). clSeqNr=47
03:57:02.167 INF Request finished (out of order). clSeqNr=63
03:57:02.167 INF Request finished (out of order). clSeqNr=79
03:57:02.168 INF Request finished (out of order). clSeqNr=95
03:57:02.168 INF Request finished (out of order). clSeqNr=111
03:57:02.174 INF Request finished (out of order). clSeqNr=15
