08:45:27.065 INF Connecting to orderer. addrStr=3.27.70.53:10165 peerId=15
08:45:27.067 INF Connecting to orderer. addrStr=3.129.69.225:10000 peerId=0
08:45:27.068 INF Connecting to orderer. addrStr=3.144.123.192:10011 peerId=1
08:45:27.068 INF Connecting to orderer. addrStr=18.191.82.197:10022 peerId=2
08:45:27.068 INF Connecting to orderer. addrStr=3.15.31.10:10033 peerId=3
08:45:27.068 INF Connecting to orderer. addrStr=35.181.49.5:10044 peerId=4
08:45:27.068 INF Connecting to orderer. addrStr=13.38.113.59:10055 peerId=5
08:45:27.068 INF Connecting to orderer. addrStr=35.180.62.7:10066 peerId=6
08:45:27.068 INF Connecting to orderer. addrStr=15.237.118.47:10077 peerId=7
08:45:27.068 INF Connecting to orderer. addrStr=13.236.68.134:10143 peerId=13
08:45:27.069 INF Connecting to orderer. addrStr=3.106.60.107:10154 peerId=14
08:45:27.090 INF Connecting to orderer. addrStr=43.207.232.164:10110 peerId=10
08:45:27.090 INF Connecting to orderer. addrStr=54.250.59.28:10088 peerId=8
08:45:27.090 INF Connecting to orderer. addrStr=52.197.33.223:10099 peerId=9
08:45:27.091 INF Connecting to orderer. addrStr=13.236.182.144:10132 peerId=12
08:45:27.091 INF Connecting to orderer. addrStr=18.176.56.32:10121 peerId=11
08:45:27.092 INF Connected to orderer. addrStr=43.207.232.164:10110 id=10
08:45:27.092 INF Connected to orderer. addrStr=54.250.59.28:10088 id=8
08:45:27.093 INF Connected to orderer. addrStr=52.197.33.223:10099 id=9
08:45:27.109 INF Connected to orderer. addrStr=18.176.56.32:10121 id=11
08:45:27.633 INF Connected to orderer. addrStr=13.236.182.144:10132 id=12
08:45:27.639 INF Connected to orderer. addrStr=3.27.70.53:10165 id=15
08:45:27.648 INF Connected to orderer. addrStr=13.236.68.134:10143 id=13
08:45:27.666 INF Connected to orderer. addrStr=3.106.60.107:10154 id=14
08:45:27.750 INF Connected to orderer. addrStr=3.15.31.10:10033 id=3
08:45:27.776 INF Connected to orderer. addrStr=18.191.82.197:10022 id=2
08:45:27.784 INF Connected to orderer. addrStr=3.129.69.225:10000 id=0
08:45:27.785 INF Connected to orderer. addrStr=3.144.123.192:10011 id=1
08:45:28.156 INF Connected to orderer. addrStr=35.181.49.5:10044 id=4
08:45:28.180 INF Connected to orderer. addrStr=15.237.118.47:10077 id=7
08:45:28.182 INF Connected to orderer. addrStr=35.180.62.7:10066 id=6
08:45:28.194 INF Connected to orderer. addrStr=13.38.113.59:10055 id=5
08:45:28.195 INF Connected to orderers.
08:45:28.195 INF Non crashing node count. count=16
08:45:28.196 INF Updating bucket assignment. epoch=0
08:45:28.196 INF Resubmitted Requests. epoch=0 n=0
08:45:28.197 INF Setting up client timeout. clientRunTime=15000
08:45:28.197 INF Starting to submit requests. numRequests=5859
08:45:31.134 INF Request finished (out of order). clSeqNr=113
08:45:31.135 INF Request finished (out of order). clSeqNr=129
08:45:31.135 INF Request finished (out of order). clSeqNr=145
08:45:31.136 INF Request finished (out of order). clSeqNr=161
08:45:31.136 INF Request finished (out of order). clSeqNr=177
08:45:31.137 INF Request finished (out of order). clSeqNr=193
08:45:31.138 INF Request finished (out of order). clSeqNr=209
08:45:31.138 INF Request finished (out of order). clSeqNr=225
08:45:31.139 INF Request finished (out of order). clSeqNr=241
08:45:31.139 INF Request finished (out of order). clSeqNr=1
08:45:31.139 INF Request finished (out of order). clSeqNr=17
08:45:31.256 INF Request finished (out of order). clSeqNr=33
08:45:31.261 INF Request finished (out of order). clSeqNr=49
08:45:31.261 INF Request finished (out of order). clSeqNr=65
08:45:31.261 INF Request finished (out of order). clSeqNr=81
08:45:31.261 INF Request finished (out of order). clSeqNr=97
08:45:31.261 INF Request finished (out of order). clSeqNr=114
08:45:31.261 INF Request finished (out of order). clSeqNr=130
08:45:31.261 INF Request finished (out of order). clSeqNr=146
08:45:31.261 INF Request finished (out of order). clSeqNr=162
08:45:31.261 INF Request finished (out of order). clSeqNr=178
08:45:31.261 INF Request finished (out of order). clSeqNr=194
08:45:31.261 INF Request finished (out of order). clSeqNr=210
08:45:31.261 INF Request finished (out of order). clSeqNr=226
08:45:31.261 INF Request finished (out of order). clSeqNr=242
08:45:31.261 INF Request finished (out of order). clSeqNr=2
08:45:31.261 INF Request finished (out of order). clSeqNr=18
08:45:31.261 INF Request finished (out of order). clSeqNr=34
08:45:31.261 INF Request finished (out of order). clSeqNr=50
08:45:31.261 INF Request finished (out of order). clSeqNr=66
08:45:31.261 INF Request finished (out of order). clSeqNr=82
08:45:31.261 INF Request finished (out of order). clSeqNr=98
08:45:31.261 INF Request finished (out of order). clSeqNr=115
08:45:31.261 INF Request finished (out of order). clSeqNr=131
08:45:31.261 INF Request finished (out of order). clSeqNr=147
08:45:31.261 INF Request finished (out of order). clSeqNr=163
08:45:31.261 INF Request finished (out of order). clSeqNr=179
08:45:31.261 INF Request finished (out of order). clSeqNr=195
08:45:31.261 INF Request finished (out of order). clSeqNr=211
08:45:31.261 INF Request finished (out of order). clSeqNr=227
08:45:31.261 INF Request finished (out of order). clSeqNr=243
08:45:31.261 INF Request finished (out of order). clSeqNr=3
08:45:31.261 INF Request finished (out of order). clSeqNr=19
08:45:31.261 INF Request finished (out of order). clSeqNr=35
08:45:31.261 INF Request finished (out of order). clSeqNr=51
08:45:31.265 INF Request finished (out of order). clSeqNr=67
08:45:31.267 INF Request finished (out of order). clSeqNr=83
08:45:31.267 INF Request finished (out of order). clSeqNr=99
08:45:31.267 INF Request finished (out of order). clSeqNr=116
08:45:31.267 INF Request finished (out of order). clSeqNr=132
08:45:31.267 INF Request finished (out of order). clSeqNr=148
08:45:31.267 INF Request finished (out of order). clSeqNr=164
08:45:31.267 INF Request finished (out of order). clSeqNr=180
08:45:31.267 INF Request finished (out of order). clSeqNr=196
08:45:31.267 INF Request finished (out of order). clSeqNr=212
08:45:31.267 INF Request finished (out of order). clSeqNr=228
08:45:31.267 INF Request finished (out of order). clSeqNr=244
08:45:31.267 INF Request finished (out of order). clSeqNr=4
08:45:31.267 INF Request finished (out of order). clSeqNr=20
08:45:31.267 INF Request finished (out of order). clSeqNr=36
08:45:31.267 INF Request finished (out of order). clSeqNr=52
08:45:31.267 INF Request finished (out of order). clSeqNr=68
08:45:31.267 INF Request finished (out of order). clSeqNr=84
08:45:31.267 INF Request finished (out of order). clSeqNr=100
08:45:31.771 INF Request finished (out of order). clSeqNr=117
08:45:31.772 INF Request finished (out of order). clSeqNr=133
08:45:31.773 INF Request finished (out of order). clSeqNr=149
08:45:31.773 INF Request finished (out of order). clSeqNr=165
08:45:31.773 INF Request finished (out of order). clSeqNr=181
08:45:31.774 INF Request finished (out of order). clSeqNr=197
08:45:31.774 INF Request finished (out of order). clSeqNr=213
