04:20:16.604 INF Connecting to orderer. addrStr=13.211.11.123:10165 peerId=15
04:20:16.605 INF Connecting to orderer. addrStr=13.58.191.42:10000 peerId=0
04:20:16.605 INF Connecting to orderer. addrStr=18.188.33.191:10011 peerId=1
04:20:16.605 INF Connecting to orderer. addrStr=3.12.76.199:10022 peerId=2
04:20:16.605 INF Connecting to orderer. addrStr=18.222.163.69:10033 peerId=3
04:20:16.605 INF Connecting to orderer. addrStr=13.39.158.215:10044 peerId=4
04:20:16.605 INF Connecting to orderer. addrStr=15.237.100.31:10055 peerId=5
04:20:16.605 INF Connecting to orderer. addrStr=52.47.76.69:10066 peerId=6
04:20:16.605 INF Connecting to orderer. addrStr=15.237.28.190:10077 peerId=7
04:20:16.606 INF Connecting to orderer. addrStr=3.112.71.221:10088 peerId=8
04:20:16.606 INF Connecting to orderer. addrStr=13.231.255.231:10099 peerId=9
04:20:16.606 INF Connecting to orderer. addrStr=43.207.143.169:10110 peerId=10
04:20:16.606 INF Connecting to orderer. addrStr=54.248.66.247:10121 peerId=11
04:20:16.606 INF Connecting to orderer. addrStr=13.239.3.192:10132 peerId=12
04:20:16.607 INF Connecting to orderer. addrStr=3.104.79.78:10143 peerId=13
04:20:16.607 INF Connecting to orderer. addrStr=3.25.115.53:10154 peerId=14
04:20:16.644 INF Connected to orderer. addrStr=3.25.115.53:10154 id=14
04:20:16.644 INF Connected to orderer. addrStr=3.104.79.78:10143 id=13
04:20:16.644 INF Connected to orderer. addrStr=13.211.11.123:10165 id=15
04:20:16.647 INF Connected to orderer. addrStr=13.239.3.192:10132 id=12
04:20:17.147 INF Connected to orderer. addrStr=13.231.255.231:10099 id=9
04:20:17.198 INF Connected to orderer. addrStr=54.248.66.247:10121 id=11
04:20:17.198 INF Connected to orderer. addrStr=43.207.143.169:10110 id=10
04:20:17.219 INF Connected to orderer. addrStr=3.112.71.221:10088 id=8
04:20:17.562 INF Connected to orderer. addrStr=3.12.76.199:10022 id=2
04:20:17.562 INF Connected to orderer. addrStr=18.222.163.69:10033 id=3
04:20:17.588 INF Connected to orderer. addrStr=13.58.191.42:10000 id=0
04:20:17.595 INF Connected to orderer. addrStr=18.188.33.191:10011 id=1
04:20:18.016 INF Connected to orderer. addrStr=13.39.158.215:10044 id=4
04:20:18.017 INF Connected to orderer. addrStr=52.47.76.69:10066 id=6
04:20:18.032 INF Connected to orderer. addrStr=15.237.28.190:10077 id=7
04:20:18.038 INF Connected to orderer. addrStr=15.237.100.31:10055 id=5
04:20:18.039 INF Connected to orderers.
04:20:18.039 INF Non crashing node count. count=16
04:20:18.043 INF Setting up client timeout. clientRunTime=15000
04:20:18.043 INF Starting to submit requests. numRequests=4687
04:20:18.044 INF Updating bucket assignment. epoch=0
04:20:18.044 INF Resubmitted Requests. epoch=0 n=0
04:20:33.044 INF Finished submitting requests. nReq=2341
04:20:33.044 INF Stopping client on timeout. clientRunTime=15000
04:20:36.197 INF Request finished (out of order). clSeqNr=42
04:20:36.198 INF Request finished (out of order). clSeqNr=58
04:20:36.198 INF Request finished (out of order). clSeqNr=74
04:20:36.199 INF Request finished (out of order). clSeqNr=90
04:20:36.199 INF Request finished (out of order). clSeqNr=106
04:20:36.203 INF Request finished (out of order). clSeqNr=10
04:20:36.204 INF Request finished (out of order). clSeqNr=26
04:20:36.204 INF Request finished (out of order). clSeqNr=122
04:20:36.205 INF Request finished (out of order). clSeqNr=43
04:20:36.205 INF Request finished (out of order). clSeqNr=59
04:20:36.268 INF Request finished (out of order). clSeqNr=75
04:20:36.310 INF Request finished (out of order). clSeqNr=91
04:20:36.310 INF Request finished (out of order). clSeqNr=107
04:20:36.310 INF Request finished (out of order). clSeqNr=11
04:20:36.310 INF Request finished (out of order). clSeqNr=27
04:20:36.310 INF Request finished (out of order). clSeqNr=123
04:20:36.310 INF Request finished (out of order). clSeqNr=44
04:20:36.310 INF Request finished (out of order). clSeqNr=60
04:20:36.310 INF Request finished (out of order). clSeqNr=76
04:20:36.310 INF Request finished (out of order). clSeqNr=92
04:20:36.310 INF Request finished (out of order). clSeqNr=108
04:20:36.310 INF Request finished (out of order). clSeqNr=12
04:20:36.310 INF Request finished (out of order). clSeqNr=28
04:20:36.310 INF Request finished (out of order). clSeqNr=124
04:20:36.310 INF Request finished (out of order). clSeqNr=46
04:20:36.310 INF Request finished (out of order). clSeqNr=62
04:20:36.310 INF Request finished (out of order). clSeqNr=78
04:20:36.310 INF Request finished (out of order). clSeqNr=94
04:20:36.310 INF Request finished (out of order). clSeqNr=110
04:20:36.310 INF Request finished (out of order). clSeqNr=14
04:20:36.310 INF Request finished (out of order). clSeqNr=30
04:20:36.310 INF Request finished (out of order). clSeqNr=47
04:20:36.310 INF Request finished (out of order). clSeqNr=63
04:20:36.310 INF Request finished (out of order). clSeqNr=79
04:20:36.310 INF Request finished (out of order). clSeqNr=95
04:20:36.310 INF Request finished (out of order). clSeqNr=111
04:20:36.310 INF Request finished (out of order). clSeqNr=15
04:20:36.310 INF Request finished (out of order). clSeqNr=31
04:20:36.310 INF Request finished (out of order). clSeqNr=48
04:20:36.310 INF Request finished (out of order). clSeqNr=64
04:20:36.310 INF Request finished (out of order). clSeqNr=80
04:20:36.310 INF Request finished (out of order). clSeqNr=96
04:20:36.310 INF Request finished (out of order). clSeqNr=112
04:20:36.311 INF Request finished (out of order). clSeqNr=0
04:20:36.311 INF Request delivered (in order). clSeqNr=0
04:20:36.311 INF Request finished (out of order). clSeqNr=16
04:20:36.312 INF Request finished (out of order). clSeqNr=32
04:20:36.313 INF Request finished (out of order). clSeqNr=49
04:20:36.313 INF Request finished (out of order). clSeqNr=65
04:20:36.314 INF Request finished (out of order). clSeqNr=81
04:20:36.314 INF Request finished (out of order). clSeqNr=97
04:20:36.314 INF Request finished (out of order). clSeqNr=113
