14:43:24.968 INF Connecting to orderer. addrStr=3.24.135.161:10165 peerId=15
14:43:24.969 INF Connecting to orderer. addrStr=3.15.14.107:10000 peerId=0
14:43:24.969 INF Connecting to orderer. addrStr=3.12.162.6:10011 peerId=1
14:43:24.969 INF Connecting to orderer. addrStr=18.118.162.206:10022 peerId=2
14:43:24.969 INF Connecting to orderer. addrStr=3.133.126.137:10033 peerId=3
14:43:24.969 INF Connecting to orderer. addrStr=35.181.62.170:10044 peerId=4
14:43:24.969 INF Connecting to orderer. addrStr=52.47.154.22:10055 peerId=5
14:43:24.970 INF Connecting to orderer. addrStr=13.38.9.204:10066 peerId=6
14:43:24.970 INF Connecting to orderer. addrStr=13.39.150.35:10077 peerId=7
14:43:24.970 INF Connecting to orderer. addrStr=54.199.104.206:10088 peerId=8
14:43:24.970 INF Connecting to orderer. addrStr=54.199.253.160:10099 peerId=9
14:43:24.970 INF Connecting to orderer. addrStr=52.199.232.121:10110 peerId=10
14:43:24.970 INF Connecting to orderer. addrStr=54.238.14.227:10121 peerId=11
14:43:24.970 INF Connecting to orderer. addrStr=3.25.246.160:10132 peerId=12
14:43:24.971 INF Connecting to orderer. addrStr=3.24.123.250:10143 peerId=13
14:43:24.971 INF Connecting to orderer. addrStr=13.238.159.139:10154 peerId=14
14:43:25.014 INF Connected to orderer. addrStr=52.199.232.121:10110 id=10
14:43:25.021 INF Connected to orderer. addrStr=54.199.253.160:10099 id=9
14:43:25.027 INF Connected to orderer. addrStr=54.238.14.227:10121 id=11
14:43:25.046 INF Connected to orderer. addrStr=54.199.104.206:10088 id=8
14:43:25.504 INF Connected to orderer. addrStr=3.25.246.160:10132 id=12
14:43:25.551 INF Connected to orderer. addrStr=3.24.135.161:10165 id=15
14:43:25.556 INF Connected to orderer. addrStr=13.238.159.139:10154 id=14
14:43:25.569 INF Connected to orderer. addrStr=3.24.123.250:10143 id=13
14:43:25.628 INF Connected to orderer. addrStr=3.15.14.107:10000 id=0
14:43:25.633 INF Connected to orderer. addrStr=18.118.162.206:10022 id=2
14:43:25.652 INF Connected to orderer. addrStr=3.133.126.137:10033 id=3
14:43:25.654 INF Connected to orderer. addrStr=3.12.162.6:10011 id=1
14:43:26.040 INF Connected to orderer. addrStr=13.39.150.35:10077 id=7
14:43:26.041 INF Connected to orderer. addrStr=52.47.154.22:10055 id=5
14:43:26.078 INF Connected to orderer. addrStr=35.181.62.170:10044 id=4
14:43:26.089 INF Connected to orderer. addrStr=13.38.9.204:10066 id=6
14:43:26.090 INF Connected to orderers.
14:43:26.090 INF Non crashing node count. count=16
14:43:26.090 INF Updating bucket assignment. epoch=0
14:43:26.091 INF Resubmitted Requests. epoch=0 n=0
14:43:26.093 INF Setting up client timeout. clientRunTime=15000
14:43:26.093 INF Starting to submit requests. numRequests=8203
14:43:29.245 INF Request finished (out of order). clSeqNr=116
14:43:29.247 INF Request finished (out of order). clSeqNr=4
14:43:29.248 INF Request finished (out of order). clSeqNr=20
14:43:29.248 INF Request finished (out of order). clSeqNr=36
14:43:29.248 INF Request finished (out of order). clSeqNr=52
14:43:29.248 INF Request finished (out of order). clSeqNr=68
14:43:29.249 INF Request finished (out of order). clSeqNr=84
14:43:29.249 INF Request finished (out of order). clSeqNr=100
14:43:29.365 INF Request finished (out of order). clSeqNr=117
14:43:29.367 INF Request finished (out of order). clSeqNr=5
14:43:29.368 INF Request finished (out of order). clSeqNr=21
14:43:29.369 INF Request finished (out of order). clSeqNr=37
14:43:29.369 INF Request finished (out of order). clSeqNr=53
14:43:29.369 INF Request finished (out of order). clSeqNr=69
14:43:29.370 INF Request finished (out of order). clSeqNr=85
14:43:29.370 INF Request finished (out of order). clSeqNr=101
14:43:29.370 INF Request finished (out of order). clSeqNr=118
14:43:29.371 INF Request finished (out of order). clSeqNr=6
14:43:29.376 INF Request finished (out of order). clSeqNr=22
14:43:29.376 INF Request finished (out of order). clSeqNr=38
14:43:29.376 INF Request finished (out of order). clSeqNr=54
14:43:29.376 INF Request finished (out of order). clSeqNr=70
14:43:29.376 INF Request finished (out of order). clSeqNr=86
14:43:29.376 INF Request finished (out of order). clSeqNr=102
14:43:29.376 INF Request finished (out of order). clSeqNr=119
14:43:29.379 INF Request finished (out of order). clSeqNr=7
14:43:29.379 INF Request finished (out of order). clSeqNr=23
14:43:29.380 INF Request finished (out of order). clSeqNr=39
14:43:29.380 INF Request finished (out of order). clSeqNr=55
14:43:29.380 INF Request finished (out of order). clSeqNr=71
14:43:29.380 INF Request finished (out of order). clSeqNr=87
14:43:29.380 INF Request finished (out of order). clSeqNr=103
14:43:29.909 INF Request finished (out of order). clSeqNr=120
14:43:29.912 INF Request finished (out of order). clSeqNr=8
14:43:29.912 INF Request finished (out of order). clSeqNr=24
14:43:29.912 INF Request finished (out of order). clSeqNr=40
14:43:29.912 INF Request finished (out of order). clSeqNr=56
14:43:29.913 INF Request finished (out of order). clSeqNr=72
14:43:29.913 INF Request finished (out of order). clSeqNr=88
14:43:29.913 INF Request finished (out of order). clSeqNr=104
14:43:29.916 INF Request finished (out of order). clSeqNr=121
14:43:29.918 INF Request finished (out of order). clSeqNr=9
14:43:29.918 INF Request finished (out of order). clSeqNr=25
14:43:29.919 INF Request finished (out of order). clSeqNr=41
14:43:29.919 INF Request finished (out of order). clSeqNr=57
14:43:29.919 INF Request finished (out of order). clSeqNr=73
14:43:29.919 INF Request finished (out of order). clSeqNr=89
14:43:29.920 INF Request finished (out of order). clSeqNr=105
14:43:29.920 INF Request finished (out of order). clSeqNr=122
14:43:29.922 INF Request finished (out of order). clSeqNr=10
14:43:29.923 INF Request finished (out of order). clSeqNr=26
14:43:29.923 INF Request finished (out of order). clSeqNr=42
14:43:29.923 INF Request finished (out of order). clSeqNr=58
14:43:29.924 INF Request finished (out of order). clSeqNr=74
14:43:29.924 INF Request finished (out of order). clSeqNr=90
14:43:29.924 INF Request finished (out of order). clSeqNr=106
14:43:29.925 INF Request finished (out of order). clSeqNr=123
14:43:29.927 INF Request finished (out of order). clSeqNr=11
14:43:29.927 INF Request finished (out of order). clSeqNr=27
14:43:29.927 INF Request finished (out of order). clSeqNr=43
14:43:29.928 INF Request finished (out of order). clSeqNr=59
14:43:29.928 INF Request finished (out of order). clSeqNr=75
14:43:29.929 INF Request finished (out of order). clSeqNr=91
14:43:30.043 INF Request finished (out of order). clSeqNr=107
14:43:30.043 INF Request finished (out of order). clSeqNr=124
14:43:30.043 INF Request finished (out of order). clSeqNr=12
14:43:30.043 INF Request finished (out of order). clSeqNr=28
14:43:30.043 INF Request finished (out of order). clSeqNr=44
14:43:30.043 INF Request finished (out of order). clSeqNr=60
14:43:30.043 INF Request finished (out of order). clSeqNr=76
14:43:30.043 INF Request finished (out of order). clSeqNr=92
14:43:30.043 INF Request finished (out of order). clSeqNr=108
14:43:30.043 INF Request finished (out of order). clSeqNr=13
14:43:30.043 INF Request finished (out of order). clSeqNr=29
14:43:30.043 INF Request finished (out of order). clSeqNr=45
14:43:30.043 INF Request finished (out of order). clSeqNr=61
14:43:30.043 INF Request finished (out of order). clSeqNr=77
14:43:30.043 INF Request finished (out of order). clSeqNr=93
14:43:30.043 INF Request finished (out of order). clSeqNr=109
14:43:30.043 INF Request finished (out of order). clSeqNr=14
14:43:30.043 INF Request finished (out of order). clSeqNr=30
14:43:30.043 INF Request finished (out of order). clSeqNr=46
14:43:30.043 INF Request finished (out of order). clSeqNr=62
14:43:30.043 INF Request finished (out of order). clSeqNr=78
14:43:30.043 INF Request finished (out of order). clSeqNr=94
14:43:30.043 INF Request finished (out of order). clSeqNr=110
14:43:30.043 INF Request finished (out of order). clSeqNr=15
14:43:30.043 INF Request finished (out of order). clSeqNr=31
14:43:30.043 INF Request finished (out of order). clSeqNr=47
14:43:30.043 INF Request finished (out of order). clSeqNr=63
14:43:30.043 INF Request finished (out of order). clSeqNr=79
14:43:30.043 INF Request finished (out of order). clSeqNr=95
14:43:30.043 INF Request finished (out of order). clSeqNr=111
14:43:30.043 INF Request finished (out of order). clSeqNr=0
14:43:30.043 INF Request delivered (in order). clSeqNr=0
14:43:30.043 INF Request finished (out of order). clSeqNr=16
14:43:30.043 INF Request finished (out of order). clSeqNr=32
14:43:30.045 INF Request finished (out of order). clSeqNr=48
14:43:30.045 INF Request finished (out of order). clSeqNr=64
14:43:30.045 INF Request finished (out of order). clSeqNr=80
14:43:30.045 INF Request finished (out of order). clSeqNr=96
14:43:30.046 INF Request finished (out of order). clSeqNr=112
14:43:30.046 INF Request finished (out of order). clSeqNr=1
14:43:30.046 INF Request delivered (in order). clSeqNr=1
14:43:30.046 INF Request finished (out of order). clSeqNr=17
14:43:30.046 INF Request finished (out of order). clSeqNr=33
14:43:30.046 INF Request finished (out of order). clSeqNr=49
14:43:30.046 INF Request finished (out of order). clSeqNr=65
14:43:30.046 INF Request finished (out of order). clSeqNr=81
14:43:30.046 INF Request finished (out of order). clSeqNr=97
14:43:30.046 INF Request finished (out of order). clSeqNr=113
14:43:30.046 INF Request finished (out of order). clSeqNr=2
14:43:30.046 INF Request delivered (in order). clSeqNr=2
14:43:30.046 INF Request finished (out of order). clSeqNr=18
14:43:30.046 INF Request finished (out of order). clSeqNr=34
14:43:30.046 INF Request finished (out of order). clSeqNr=50
14:43:30.046 INF Request finished (out of order). clSeqNr=66
14:43:30.046 INF Request finished (out of order). clSeqNr=82
14:43:30.046 INF Request finished (out of order). clSeqNr=98
14:43:30.046 INF Request finished (out of order). clSeqNr=114
14:43:30.046 INF Request finished (out of order). clSeqNr=3
14:43:30.046 INF Request delivered (in order). clSeqNr=3
14:43:30.046 INF Request delivered (in order). clSeqNr=4
14:43:30.046 INF Request delivered (in order). clSeqNr=5
14:43:30.046 INF Request delivered (in order). clSeqNr=6
14:43:30.046 INF Request delivered (in order). clSeqNr=7
14:43:30.046 INF Request delivered (in order). clSeqNr=8
14:43:30.046 INF Request delivered (in order). clSeqNr=9
14:43:30.046 INF Request delivered (in order). clSeqNr=10
14:43:30.046 INF Request delivered (in order). clSeqNr=11
14:43:30.046 INF Request delivered (in order). clSeqNr=12
14:43:30.046 INF Request delivered (in order). clSeqNr=13
14:43:30.046 INF Request delivered (in order). clSeqNr=14
14:43:30.046 INF Request delivered (in order). clSeqNr=15
14:43:30.046 INF Request delivered (in order). clSeqNr=16
14:43:30.046 INF Request delivered (in order). clSeqNr=17
14:43:30.046 INF Request delivered (in order). clSeqNr=18
14:43:30.046 INF Request finished (out of order). clSeqNr=19
14:43:30.046 INF Request delivered (in order). clSeqNr=19
14:43:30.046 INF Request delivered (in order). clSeqNr=20
14:43:30.046 INF Request delivered (in order). clSeqNr=21
14:43:30.046 INF Request delivered (in order). clSeqNr=22
14:43:30.046 INF Request delivered (in order). clSeqNr=23
14:43:30.046 INF Request delivered (in order). clSeqNr=24
14:43:30.046 INF Request delivered (in order). clSeqNr=25
14:43:30.046 INF Request delivered (in order). clSeqNr=26
14:43:30.046 INF Request delivered (in order). clSeqNr=27
14:43:30.046 INF Request delivered (in order). clSeqNr=28
14:43:30.046 INF Request delivered (in order). clSeqNr=29
14:43:30.046 INF Request delivered (in order). clSeqNr=30
14:43:30.046 INF Request delivered (in order). clSeqNr=31
14:43:30.046 INF Request delivered (in order). clSeqNr=32
14:43:30.046 INF Request delivered (in order). clSeqNr=33
14:43:30.046 INF Request delivered (in order). clSeqNr=34
14:43:30.046 INF Request finished (out of order). clSeqNr=35
14:43:30.046 INF Request delivered (in order). clSeqNr=35
14:43:30.046 INF Request delivered (in order). clSeqNr=36
14:43:30.046 INF Request delivered (in order). clSeqNr=37
14:43:30.046 INF Request delivered (in order). clSeqNr=38
14:43:30.046 INF Request delivered (in order). clSeqNr=39
14:43:30.046 INF Request delivered (in order). clSeqNr=40
14:43:30.046 INF Request delivered (in order). clSeqNr=41
14:43:30.046 INF Request delivered (in order). clSeqNr=42
