exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,12288,48,false,1440,16384,external,32,8192,3066,3096,3113.021276595745,0,19689,20020.84658604452,20298.96103685703,2381.4330722627774,328.26385644880895,95.37019904803653,79.05874293611625,1.9598765432098766,26.05246913580247,14.994948,10.152955,0.0,0,0,7781.397,7781.355,7781.397,7997.308,7997.262,5098.572657052654,5098.5120435038525,5098.572657052654,5544.054967626459,5543.99201696498,1562.1182906036765,1562.1197185951332,1524.9948660229961,1524.9996478903133,None,18688,12850,4.886584235557607,5.7535391917011935,12462.864159315524,12656.413822379789,0.0,0
0001,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,24576,96,false,2880,16384,external,32,8192,4096,4096,4096.0,9206,9281,9849.361584051725,9918.578713772136,909.3021193861407,423.61737948950355,110.20287660815582,93.95822821197277,2.575657894736842,53.69407894736842,24.08787,9.35419,0.0,0,0,8155.999,8155.957,8155.999,7995.385,7995.337,5582.35341557112,5582.29701640625,5582.35341557112,5487.796324398249,5487.736743052516,1885.644442231676,1885.6438483247496,1389.819108908345,1389.8174284530342,None,37120,18280,5.274499150768229,8.29034846451281,15410.245903851192,19542.044794899397,0.0,0
0002,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,32768,128,false,3840,16384,external,32,8192,4096,4096,4096.0,6610,6674,7289.788596988342,7328.933238917068,767.3807416935857,666.8156088550638,227.9151233174671,136.76905609890514,2.4366666666666665,68.07666666666667,34.118474,5.585805,1.0,1,1,10603.902,10603.846,10603.902,8559.404,8559.348,6790.2430449117555,6790.186098728951,6790.2430449117555,5998.619015030246,5998.5584409492785,3266.774067983776,3266.775445975115,1533.706995575073,1533.7085708054385,None,49408,21490,5.35555078110025,7.954293935369633,14481.304175561896,38472.520970567355,0.0,0
0003,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3943,3991,4646.421061753413,4670.45005199601,434.1111112362537,348.4949013345122,185.4337640617675,152.55334316969234,2.4615384615384617,77.14715719063545,47.772868,7.328705,1.0,1,1,16469.351,15511.772,16469.351,8534.673,8534.639,9925.383364547783,9403.097840803648,9925.383364547783,6458.78661983818,6458.794452654479,5408.834044679423,3919.6756849706017,1424.280936624832,1424.2698051847376,1.768421052631579,75008,26202,5.498922182002741,7.474853347530018,15700.962311913114,35752.56474370301,0.0,0
0004,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,65536,256,false,7680,16384,external,32,8192,4096,4096,4096.0,2719,2771,3466.2068892045454,3485.5958083832334,362.2353987382926,315.56351894143444,184.91214308868632,156.9278020019504,3.0067114093959733,79.02348993288591,54.17705,7.674013,1.0,1,1,21514.113,20324.853,21514.113,9543.163,9543.105,13307.188547909902,12378.633924320211,13307.188547909902,7108.407907752737,7108.347252145063,7166.887160034562,4867.311536594241,1672.207576130064,1672.2145771339353,1.3762376237623761,98560,26223,6.0102406601675815,8.513980488085217,18192.205001933475,34171.16963445332,0.0,0
0005,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,80000,312,false,9375,16384,external,32,8192,4096,4096,4096.0,2022,2071,2771.69266135279,2789.003635830914,352.23410796255763,329.91108183154535,168.5102398213914,155.0934822565422,2.9966666666666666,80.33,62.473765,7.281985,1.0,1,1,27180.657,24451.449,27180.657,9833.623,9833.555,16066.182962769546,14909.435256090552,16066.182962769546,7353.257894650696,7353.196633918607,8593.582501296998,6098.8577996608865,1795.5780163375773,1795.586645145452,1.5588235294117647,120063,26882,6.083909367688238,8.940453871551794,19218.14700938866,36915.75854660508,0.0,0
0006,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,100000,390,false,11718,16384,external,32,8192,4096,4096,4096.0,1378,1430,2141.1474842683447,2154.61877730685,337.957938806833,328.18637486723554,162.57894630549842,149.06515083403602,3.2905405405405403,79.0,67.80629,6.264816,1.0,1,1,36779.012,32611.653,36779.012,9715.191,9715.139,20602.98018326712,19033.440029430196,20602.98018326712,7652.862452773559,7652.801741447892,10977.160900286846,8456.525157571818,1758.1487089626573,1758.1566458205448,1.4137931034482758,150016,27654,6.39092013403761,8.303137778514824,22124.201161868612,44141.7593110476,0.0,0
0007,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,110000,429,false,12890,16384,external,32,8192,4096,4096,4096.0,1136,1190,1904.5921547457299,1917.5704813751297,419.6048201039381,403.15467531160385,162.92727767605447,170.28848717820097,3.2696245733788394,80.02730375426621,71.555201,7.072076,1.0,1,1,48425.665,35025.086,48425.665,10695.778,10695.733,22646.476819863645,19599.491358337782,22646.476819863645,8040.293336172252,8040.231431810641,12201.520860342382,8807.09288607366,1993.08852988895,1993.0975447400433,1.2542372881355932,164864,27123,6.449514711843119,8.653139966101325,23040.114163050148,38352.2462145486,0.0,0
0008,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,120000,468,false,14062,16384,external,32,8192,4096,4096,4096.0,938,999,1721.9633545963727,1750.661354941984,1327.5156260613244,320.1051018088657,155.6919503206176,171.82820511396622,3.430034129692833,81.0716723549488,76.569931,9.435647,1.0,1,1,51823.732,38373.699,51823.732,10725.732,10725.686,24752.467192428652,21917.324142819834,24752.467192428652,8109.189254261363,8109.120750523325,13336.329386425157,10264.431749192154,2181.511222207122,2181.5255789354956,1.4782608695652173,179968,26752,6.44383645586762,8.736295954955192,23503.743264441495,28352.05683298665,0.0,0
0009,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,4000,32,4,256,16,true,false,131072000,130000,507,false,15234,16384,external,32,8192,4096,4096,4096.0,776,832,1577.585598718791,1587.0050999644993,363.08252870738363,384.2267085284328,154.48416078522786,164.57781277517932,3.521276595744681,82.23404255319149,80.656935,6.354661,1.0,1,1,54103.381,41791.429,54103.381,10463.309,10463.249,26939.331728749177,23214.718357886413,26939.331728749177,8164.53140560483,8164.463905940225,14481.351748390889,11145.585827274397,1894.7818475375677,1894.796135743772,1.75,194816,26834,6.560089375024644,8.236040869716891,24153.657710896154,42227.27223371947,0.0,0
