12:36:55.731 INF Precomputing requests. numRequests=960
12:36:56.697 INF Connecting to orderer. addrStr=127.0.0.1:10033 peerId=3
12:36:56.697 INF Connecting to orderer. addrStr=127.0.0.1:10011 peerId=1
12:36:56.697 INF Connecting to orderer. addrStr=127.0.0.1:10022 peerId=2
12:36:56.702 INF Connecting to orderer. addrStr=127.0.0.1:10000 peerId=0
12:36:56.718 INF Connected to orderer. addrStr=127.0.0.1:10011 id=1
12:36:56.720 INF Connected to orderer. addrStr=127.0.0.1:10022 id=2
12:36:56.721 INF Connected to orderer. addrStr=127.0.0.1:10033 id=3
12:36:56.733 INF Connected to orderer. addrStr=127.0.0.1:10000 id=0
12:36:56.768 INF Connected to orderers.
12:36:56.768 INF Non crashing node count. count=4
12:36:56.768 INF Updating bucket assignment. epoch=0
12:36:56.769 INF Resubmitted Requests. epoch=0 n=0
12:36:56.784 INF Setting up client timeout. clientRunTime=15000
12:36:56.784 INF Starting to submit requests. numRequests=960
12:36:57.668 INF Request finished (out of order). clSeqNr=6
12:36:57.668 INF Request finished (out of order). clSeqNr=19
12:36:57.668 INF Request finished (out of order). clSeqNr=11
12:36:57.668 INF Request finished (out of order). clSeqNr=10
12:36:57.668 INF Request finished (out of order). clSeqNr=16
12:36:57.668 INF Request finished (out of order). clSeqNr=24
12:36:57.669 INF Request finished (out of order). clSeqNr=27
12:36:57.672 INF Request finished (out of order). clSeqNr=17
12:36:57.672 INF Request finished (out of order). clSeqNr=7
12:36:57.672 INF Request finished (out of order). clSeqNr=8
12:36:57.672 INF Request finished (out of order). clSeqNr=21
12:36:57.675 INF Request finished (out of order). clSeqNr=9
12:36:57.675 INF Request finished (out of order). clSeqNr=0
12:36:57.675 INF Request finished (out of order). clSeqNr=2
12:36:57.675 INF Request finished (out of order). clSeqNr=18
12:36:57.675 INF Request finished (out of order). clSeqNr=26
12:36:58.672 INF Request finished (out of order). clSeqNr=38
12:36:58.676 INF Request finished (out of order). clSeqNr=43
12:36:58.676 INF Request finished (out of order). clSeqNr=32
12:36:58.677 INF Request finished (out of order). clSeqNr=47
12:36:58.677 INF Request finished (out of order). clSeqNr=56
12:36:58.677 INF Request finished (out of order). clSeqNr=60
12:36:58.677 INF Request finished (out of order). clSeqNr=28
12:36:58.677 INF Request finished (out of order). clSeqNr=36
12:36:58.678 INF Request finished (out of order). clSeqNr=40
12:36:58.678 INF Request finished (out of order). clSeqNr=48
12:36:58.678 INF Request finished (out of order). clSeqNr=37
12:36:58.678 INF Request finished (out of order). clSeqNr=57
12:36:58.678 INF Request finished (out of order). clSeqNr=44
12:36:58.678 INF Request finished (out of order). clSeqNr=55
12:36:58.678 INF Request finished (out of order). clSeqNr=45
12:36:58.678 INF Request finished (out of order). clSeqNr=30
12:36:58.678 INF Request finished (out of order). clSeqNr=51
12:36:58.678 INF Request finished (out of order). clSeqNr=31
12:36:58.679 INF Request finished (out of order). clSeqNr=35
12:36:58.679 INF Request finished (out of order). clSeqNr=39
12:36:58.679 INF Request finished (out of order). clSeqNr=58
12:36:58.680 INF Request finished (out of order). clSeqNr=49
12:36:58.680 INF Request finished (out of order). clSeqNr=34
12:36:58.680 INF Request finished (out of order). clSeqNr=50
12:36:58.680 INF Request finished (out of order). clSeqNr=41
12:36:58.680 INF Request finished (out of order). clSeqNr=52
