exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,12288,48,false,1440,16384,external,32,8192,768,769,768.2991071428571,0,19706,20056.16256421233,20334.60813298056,2385.167304864841,321.27058537251224,273.09665267913084,275.4239176777583,2.669642857142857,9.060267857142858,14.993375,14.027631,1.0,1,1,995.904,995.829,995.904,996.699,996.671,553.712612318065,553.6744543557363,553.712612318065,549.6651781031468,549.627799388112,289.43787629823635,289.4283604812043,288.73678477641096,288.7280258490121,None,18688,18304,17.055954390245965,17.213567580274205,12464.171675823489,13048.532571180409,0.0,0
0001,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,24576,96,false,2880,16384,external,32,8192,1536,1538,1536.919642857143,9220,9274,9844.833297413794,9914.125943491714,917.7787329159838,417.2084584607705,273.39105426558797,255.45268567348657,4.96875,16.520089285714285,14.979729,14.063109,0.8125,1,0,1022.252,1022.182,1022.252,1022.828,1022.759,579.1655817887931,579.1299084051724,579.1655817887931,574.7633741578572,574.7186477692877,289.06336025209833,289.056796735146,287.8986011158664,287.89067601645434,None,37120,36514,17.058853711666725,17.21731191489483,24780.154567549253,25964.38668007195,0.0,0
0002,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,32768,128,false,3840,16384,external,32,8192,2048,2048,2047.9776785714287,6643,6678,7314.394511010362,7354.258249859069,844.4574868556199,676.8937204616815,273.8848337008869,256.91743399959825,6.410714285714286,21.754464285714285,14.969381,14.049047,0.0,0,0,1048.804,1048.764,1048.804,1049.557,1049.536,603.9123088771049,603.8758319300518,603.9123088771049,600.1418750051413,600.1056523259163,288.59095959189875,288.5842595895349,288.1045859018063,288.098050768087,None,49408,48626,17.070121659290507,17.22700446771594,33006.040797545334,34611.60034556081,0.0,0
0003,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,2048,2048,2048.0,3951,3976,4707.973362841297,4725.238422148444,460.38272838994834,371.00542064266705,390.790174680155,392.86607939357646,8.90301724137931,34.63146551724138,14.835539,13.831347,1.0,1,1,754.015,752.927,754.015,734.474,732.962,450.8848278850256,439.9749264878413,450.8848278850256,436.6423446061465,425.26543867281976,204.2693780607755,207.73027628666185,191.88467989512256,194.87885249024043,4.329166666666667,75008,71943,24.33215212562893,25.586112345573344,50559.67295829292,52014.45672644899,0.0,0
0004,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,65536,256,false,7680,16384,external,32,8192,2048,2048,2048.0,2727,2749,3528.763747970779,3539.8852764569456,436.9624768671938,400.79022553745386,498.2760754798234,513.5236477675562,11.030172413793103,43.508620689655174,15.431489,14.04299,1.0,1,1,598.417,587.244,598.417,596.262,584.99,366.99893139204545,355.61772634943185,366.99893139204545,365.49673961711807,353.68377988269117,151.7164810334718,149.333089180751,150.30817876768504,147.6727682455722,3.25,98560,94964,31.02933641945942,33.17471917563193,63869.40365897289,67623.77527862656,0.0,0
0005,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,80000,312,false,9375,16384,external,32,8192,2048,2048,2048.0,2020,2049,2850.0511976945627,2859.0357707015164,430.68418193052383,412.2077469638957,618.1125510389863,627.0628829169121,11.926565874730022,52.99784017278618,15.360196,14.447712,2.0,2,2,548.444,512.595,548.444,527.658,501.261,338.4958163729344,314.9581725413113,338.4958163729344,328.58508871036156,304.6117875260863,153.04665738174447,145.84101529016127,133.08120224119477,122.6057728965591,3.5933147632311977,120064,117878,38.54511464762538,40.118843476905305,78165.66924015814,81589.3893787473,0.0,0
0006,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,100000,390,false,11718,16384,external,32,8192,2048,2048,2048.0,1387,1407,2264.426867800768,2270.1193913999177,417.4856210219337,408.6324481292079,762.7207289889902,786.2728863298219,13.021739130434783,61.428260869565214,15.471541,14.498052,2.0,2,2,577.279,430.867,577.279,498.924,421.278,303.09974536716084,279.8969182020585,303.09974536716084,292.16864264141975,268.54594342529435,154.35432042053242,130.3306552398481,129.50078065206142,96.3420160668988,4.2375,150016,147345,47.642955406452664,49.87093063123564,96962.5456184358,101630.89496437176,0.0,0
0007,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,110000,429,false,12890,16384,external,32,8192,2048,2048,2048.0,1106,1137,1699.9818881017081,1694.6967994913098,9409.388135173147,9538.560279265024,791.3915715965331,866.0326011516255,13.23644251626898,66.37310195227765,15.844471,14.111383,3.0,3,3,698.3,405.967,698.3,577.953,400.102,310.1612900451281,273.1134479146448,310.1612900451281,289.7189900077597,264.1253282937502,174.15607568174622,116.27441971024263,140.98625513143233,90.20942557238648,3.6407185628742513,164864,157222,49.2845681487105,53.611935532725326,104051.43851126365,111415.01864133374,0.0,0
0008,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,120000,468,false,14062,16384,external,32,8192,2048,2048,2048.0,970,994,1862.5921663851352,1867.2881683744495,960.5183331748304,969.1042849478487,909.0147861455558,938.6339236528013,13.782135076252723,71.7516339869281,15.522992,14.535226,3.0,3,3,711.035,418.895,711.035,656.6,403.879,307.72956664518136,269.8897164773737,307.72956664518136,296.9578989436898,258.44997915088044,176.43428529955494,127.62369344076163,155.89653380398437,91.35509004530886,3.511400651465798,179968,176842,56.805440205367155,59.63551728255575,115936.41225866765,121664.43094864847,0.0,0
0009,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,130000,507,false,15234,16384,external,32,8192,2048,2048,2048.0,801,831,1707.145633559886,1711.9200193560944,785.9526618842094,791.2729970753111,983.6391857772946,1024.234033171927,13.99367088607595,74.18987341772151,15.625607,14.647776,3.0,3,3,732.297,426.219,732.297,708.794,415.358,299.6551349202275,261.50264219420546,299.6551349202275,295.3418200569325,256.5226906636024,177.19881346443168,109.6935728926934,168.4627528334728,91.17997719192454,3.9957805907172994,194804,191455,61.387201113870766,64.47912884250097,124669.71683084055,130705.84913368418,0.0,0
