exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,12288,48,false,1440,16384,external,32,8192,768,1554,1172.116504854369,0,19694,20037.028199914384,20322.684257385674,2382.60752381059,318.55743492597196,267.68041523479974,266.59471756730613,2.5,29.798780487804876,24.661034,10.071632,1.0,1,1,7343.185,7343.139,7343.185,6965.343,6965.29,4765.125090967466,4765.065594552654,4765.125090967466,4382.249705186778,4382.1920856624565,1962.1527161038857,1962.152121332685,1443.6831688546847,1443.6819303538955,1.3208333333333333,18688,14884,10.409735133362236,11.141606903123296,7577.946650574343,14778.14121882134,0.0,0
0001,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,24576,96,false,2880,16384,external,32,8192,1556,2048,1932.7307692307693,9198,9276,9861.155845905172,9940.515553018875,881.5003875514557,320.75910021646916,289.95484138362445,278.2672485005921,3.036923076923077,58.93538461538461,35.361961,10.139393,1.0,1,1,11215.96,8439.286,11215.96,7491.677,7491.629,5722.502608674569,5233.878706411639,5722.502608674569,4789.066633043595,4789.007479363902,3973.5355700256428,2186.2610937816025,1618.4100394788616,1618.4370483253667,1.9041666666666666,37120,29682,12.212921499047251,13.341496961114874,10497.155403796753,29273.94174384995,0.0,0
0002,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,32768,128,false,3840,16384,external,32,8192,2048,2048,2056.5434782608695,6624,6681,7312.273093426165,7358.550356712684,613.5705356990543,313.1307726862971,293.3571393340535,300.3169968459741,2.7460815047021945,68.24451410658307,35.410832,9.955533,1.0,1,1,13041.102,10306.813,13041.102,8988.969,8988.919,7127.498402687824,6502.408686305861,7127.498402687824,5808.703360631302,5808.6687310749985,4717.672854885136,2642.9680331438617,1882.3916493597112,1882.4166318219281,1.357429718875502,49408,34215,13.554998845952214,14.742851025947525,13952.79274996984,34367.82340031418,0.0,0
0003,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,2048,2048,2170.268656716418,3951,3994,4655.877626386518,4680.518134295093,418.3554232931826,317.04125354574387,297.18813951342145,298.50328864345727,3.1640378548895898,72.56782334384857,46.339426,10.064455,1.0,1,1,23996.397,15262.577,23996.397,10887.394,10887.35,11619.898740147717,9824.597495280505,11619.898740147717,7521.081749748866,7521.021533651943,6420.2831254539105,3481.575011605504,2156.995554985322,2157.0047161003854,1.675,75008,32851,14.038259476668385,13.694946697530035,16186.648492365874,32640.614916555343,0.0,0
0004,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,65536,256,false,7680,16384,external,32,8192,2048,2048,2175.0077519379847,2723,2767,3454.612469561688,3474.3558820768003,362.18611379697404,315.32309137587487,265.4532871370155,278.0147481159313,3.4,74.8,56.238798,9.968937,1.0,1,1,33112.559,20283.737,33112.559,11414.136,11414.082,16181.072901846592,12513.381784161931,16181.072901846592,8226.228855012008,8226.275507410803,9198.169841618332,4916.940952734825,2200.47027067597,2200.432582221302,1.9291666666666667,98560,31644,13.37254103871172,13.281783539669444,17525.267876457816,31742.60204473155,0.0,0
0005,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,80000,312,false,9375,16384,external,32,8192,2048,2048,2150.4,2027,2068,2777.780317164179,2786.853137312405,342.5745441821288,315.37944677949827,241.5101898722419,330.00398858766977,3.4294670846394983,76.41692789968653,72.402898,10.025759,2.0,2,2,41682.377,22638.813,41682.377,12411.869,12411.803,20640.446134386657,13891.048898204292,20640.446134386657,8172.933762712471,8172.872971443908,11938.804980682773,5634.48182394447,2419.9995891648828,2420.0097595171833,1.4291187739463602,120064,27945,12.176902810328114,14.184997905686382,16582.76164581147,27873.201420461035,0.0,0
0006,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,100000,390,false,11718,16384,external,32,8192,2048,2048,2164.198581560284,1384,1430,2145.1410582871163,2156.665028331716,330.8641153718836,318.6448555827152,263.66836547937885,290.805189229308,3.6126984126984127,77.55555555555556,78.190179,9.801621,2.0,2,2,50160.549,26286.851,50160.549,12889.76,12889.674,25583.922420448485,15717.323731995255,25583.922420448485,9240.283573598132,9240.224938892883,14712.080512674067,6277.969516054745,2648.1162203989493,2648.1233475154654,1.7076923076923076,150016,33384,13.191696410927051,14.503215496593183,19186.041254618434,34059.67237460008,0.0,0
0007,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,110000,429,false,12890,16384,external,32,8192,2048,2048,2151.8840579710145,1136,1181,1914.8999235733695,1924.6856334133604,329.1880729245816,318.3667992668155,264.2058175367085,321.6634348010914,3.515923566878981,78.32484076433121,87.435639,9.910341,2.0,2,2,62036.506,31056.16,62036.506,12806.333,12806.277,29182.039725634462,16478.886505653143,29182.039725634462,9270.9410275048,9270.883201428895,16901.087538757256,6791.228292722286,2668.2530762503275,2668.2606525095343,1.4483985765124556,164864,35412,12.626424904967584,14.83917240430078,18855.469221194802,35732.37288202293,0.0,0
0008,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,120000,468,false,14062,16384,external,32,8192,2048,2048,2139.0222222222224,934,990,1739.2267903182787,1745.2647112965576,321.81165408595103,314.8369514022586,249.2177776512374,295.4727589845977,3.6549520766773163,78.7667731629393,92.829879,9.727829,2.0,2,2,68537.333,31368.607,68537.333,13170.696,13170.673,31518.14794447902,17245.960212404425,31518.14794447902,9254.919169509847,9254.855113130427,18501.538515507298,7166.695942886042,2781.4239921150574,2781.4359297987485,1.6031128404669261,179968,29603,12.588715390177022,13.99252426070498,19386.861422064332,30431.250384849485,0.0,0
0009,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,2048,1000,32,4,256,16,true,false,131072000,130000,507,false,15234,16384,external,32,8192,2048,2048,2155.7894736842104,773,823,1584.366525336728,1586.3975826920753,318.832303693159,315.4200586810909,247.80563369157326,295.26728863766175,4.165079365079365,78.08253968253969,93.57842,9.772139,2.0,2,2,73502.294,31333.032,73502.294,13374.517,13374.593,35066.40831025686,17856.16725387032,35066.40831025686,9018.3227509686,9018.395186309963,20330.721701383394,7578.696423100817,2680.9291785364007,2680.8939922817162,1.5083333333333333,194816,27101,12.337051477003515,13.858521995923095,20818.475028751287,27732.925207060605,0.0,0
