16:44:15.664 INF Connecting to orderer. addrStr=54.253.220.153:10165 peerId=15
16:44:15.664 INF Connecting to orderer. addrStr=13.239.64.168:10143 peerId=13
16:44:15.665 INF Connecting to orderer. addrStr=13.54.137.201:10154 peerId=14
16:44:15.665 INF Connecting to orderer. addrStr=3.21.44.62:10000 peerId=0
16:44:15.665 INF Connecting to orderer. addrStr=18.189.188.7:10011 peerId=1
16:44:15.665 INF Connecting to orderer. addrStr=3.141.199.225:10022 peerId=2
16:44:15.665 INF Connecting to orderer. addrStr=18.188.107.174:10033 peerId=3
16:44:15.666 INF Connecting to orderer. addrStr=13.39.104.42:10044 peerId=4
16:44:15.666 INF Connecting to orderer. addrStr=35.180.203.157:10055 peerId=5
16:44:15.666 INF Connecting to orderer. addrStr=13.38.30.21:10066 peerId=6
16:44:15.666 INF Connecting to orderer. addrStr=15.237.117.251:10077 peerId=7
16:44:15.666 INF Connecting to orderer. addrStr=176.32.78.86:10088 peerId=8
16:44:15.666 INF Connecting to orderer. addrStr=18.183.223.241:10099 peerId=9
16:44:15.666 INF Connecting to orderer. addrStr=43.206.226.31:10110 peerId=10
16:44:15.666 INF Connecting to orderer. addrStr=176.32.64.207:10121 peerId=11
16:44:15.666 INF Connecting to orderer. addrStr=3.106.55.208:10132 peerId=12
16:44:15.714 INF Connected to orderer. addrStr=13.39.104.42:10044 id=4
16:44:15.715 INF Connected to orderer. addrStr=13.38.30.21:10066 id=6
16:44:15.716 INF Connected to orderer. addrStr=15.237.117.251:10077 id=7
16:44:15.717 INF Connected to orderer. addrStr=35.180.203.157:10055 id=5
16:44:16.149 INF Connected to orderer. addrStr=3.141.199.225:10022 id=2
16:44:16.150 INF Connected to orderer. addrStr=18.189.188.7:10011 id=1
16:44:16.164 INF Connected to orderer. addrStr=18.188.107.174:10033 id=3
16:44:16.174 INF Connected to orderer. addrStr=3.21.44.62:10000 id=0
16:44:16.754 INF Connected to orderer. addrStr=43.206.226.31:10110 id=10
16:44:16.757 INF Connected to orderer. addrStr=18.183.223.241:10099 id=9
16:44:16.759 INF Connected to orderer. addrStr=176.32.64.207:10121 id=11
16:44:16.761 INF Connected to orderer. addrStr=176.32.78.86:10088 id=8
16:44:17.053 INF Connected to orderer. addrStr=54.253.220.153:10165 id=15
16:44:17.055 INF Connected to orderer. addrStr=13.239.64.168:10143 id=13
16:44:17.056 INF Connected to orderer. addrStr=13.54.137.201:10154 id=14
16:44:17.090 INF Connected to orderer. addrStr=3.106.55.208:10132 id=12
16:44:17.091 INF Connected to orderers.
16:44:17.091 INF Non crashing node count. count=16
16:44:17.091 INF Updating bucket assignment. epoch=0
16:44:17.092 INF Resubmitted Requests. epoch=0 n=0
16:44:17.096 INF Setting up client timeout. clientRunTime=15000
16:44:17.096 INF Starting to submit requests. numRequests=14062
16:44:18.423 INF Request finished (out of order). clSeqNr=7
16:44:18.430 INF Request finished (out of order). clSeqNr=8
16:44:18.430 INF Request finished (out of order). clSeqNr=9
16:44:18.553 INF Request finished (out of order). clSeqNr=10
16:44:19.083 INF Request finished (out of order). clSeqNr=11
16:44:19.084 INF Request finished (out of order). clSeqNr=27
16:44:19.085 INF Request finished (out of order). clSeqNr=43
16:44:19.088 INF Request finished (out of order). clSeqNr=12
16:44:19.088 INF Request finished (out of order). clSeqNr=28
16:44:19.092 INF Request finished (out of order). clSeqNr=44
16:44:19.094 INF Request finished (out of order). clSeqNr=13
16:44:19.094 INF Request finished (out of order). clSeqNr=29
16:44:19.096 INF Request finished (out of order). clSeqNr=45
16:44:19.144 INF Request finished (out of order). clSeqNr=14
16:44:19.144 INF Request finished (out of order). clSeqNr=30
16:44:19.144 INF Request finished (out of order). clSeqNr=46
16:44:19.144 INF Request finished (out of order). clSeqNr=0
16:44:19.144 INF Request delivered (in order). clSeqNr=0
16:44:19.369 INF Request finished (out of order). clSeqNr=3
16:44:19.374 INF Request finished (out of order). clSeqNr=4
16:44:19.378 INF Request finished (out of order). clSeqNr=5
16:44:19.382 INF Request finished (out of order). clSeqNr=135
16:44:19.382 INF Request finished (out of order). clSeqNr=151
16:44:19.385 INF Request finished (out of order). clSeqNr=23
16:44:19.385 INF Request finished (out of order). clSeqNr=39
16:44:19.385 INF Request finished (out of order). clSeqNr=55
16:44:19.385 INF Request finished (out of order). clSeqNr=71
16:44:19.385 INF Request finished (out of order). clSeqNr=87
16:44:19.386 INF Request finished (out of order). clSeqNr=103
16:44:19.386 INF Request finished (out of order). clSeqNr=119
16:44:19.387 INF Request finished (out of order). clSeqNr=167
16:44:19.387 INF Request finished (out of order). clSeqNr=183
16:44:19.387 INF Request finished (out of order). clSeqNr=136
16:44:19.387 INF Request finished (out of order). clSeqNr=152
16:44:19.389 INF Request finished (out of order). clSeqNr=24
16:44:19.390 INF Request finished (out of order). clSeqNr=40
16:44:19.390 INF Request finished (out of order). clSeqNr=56
16:44:19.390 INF Request finished (out of order). clSeqNr=72
16:44:19.390 INF Request finished (out of order). clSeqNr=88
16:44:19.390 INF Request finished (out of order). clSeqNr=104
16:44:19.391 INF Request finished (out of order). clSeqNr=120
16:44:19.391 INF Request finished (out of order). clSeqNr=168
16:44:19.391 INF Request finished (out of order). clSeqNr=184
16:44:19.392 INF Request finished (out of order). clSeqNr=137
16:44:19.392 INF Request finished (out of order). clSeqNr=153
16:44:19.394 INF Request finished (out of order). clSeqNr=25
16:44:19.394 INF Request finished (out of order). clSeqNr=41
16:44:19.394 INF Request finished (out of order). clSeqNr=57
16:44:19.394 INF Request finished (out of order). clSeqNr=73
16:44:19.394 INF Request finished (out of order). clSeqNr=89
16:44:19.394 INF Request finished (out of order). clSeqNr=105
16:44:19.394 INF Request finished (out of order). clSeqNr=121
16:44:19.394 INF Request finished (out of order). clSeqNr=169
16:44:19.395 INF Request finished (out of order). clSeqNr=185
16:44:19.395 INF Request finished (out of order). clSeqNr=138
16:44:19.395 INF Request finished (out of order). clSeqNr=154
16:44:19.397 INF Request finished (out of order). clSeqNr=26
16:44:19.397 INF Request finished (out of order). clSeqNr=42
16:44:19.397 INF Request finished (out of order). clSeqNr=58
16:44:19.397 INF Request finished (out of order). clSeqNr=74
16:44:19.398 INF Request finished (out of order). clSeqNr=90
16:44:19.398 INF Request finished (out of order). clSeqNr=106
16:44:19.398 INF Request finished (out of order). clSeqNr=122
16:44:19.398 INF Request finished (out of order). clSeqNr=170
16:44:19.398 INF Request finished (out of order). clSeqNr=186
16:44:19.638 INF Request finished (out of order). clSeqNr=139
16:44:19.639 INF Request finished (out of order). clSeqNr=155
16:44:19.639 INF Request finished (out of order). clSeqNr=171
16:44:19.639 INF Request finished (out of order). clSeqNr=187
16:44:19.639 INF Request finished (out of order). clSeqNr=203
16:44:19.640 INF Request finished (out of order). clSeqNr=219
16:44:19.641 INF Request finished (out of order). clSeqNr=59
16:44:19.641 INF Request finished (out of order). clSeqNr=75
16:44:19.641 INF Request finished (out of order). clSeqNr=91
16:44:19.641 INF Request finished (out of order). clSeqNr=107
16:44:19.642 INF Request finished (out of order). clSeqNr=123
16:44:19.643 INF Request finished (out of order). clSeqNr=140
16:44:19.643 INF Request finished (out of order). clSeqNr=156
16:44:19.643 INF Request finished (out of order). clSeqNr=172
16:44:19.643 INF Request finished (out of order). clSeqNr=188
16:44:19.644 INF Request finished (out of order). clSeqNr=204
16:44:19.644 INF Request finished (out of order). clSeqNr=220
16:44:19.645 INF Request finished (out of order). clSeqNr=60
16:44:19.645 INF Request finished (out of order). clSeqNr=76
16:44:19.645 INF Request finished (out of order). clSeqNr=92
16:44:19.645 INF Request finished (out of order). clSeqNr=108
16:44:19.646 INF Request finished (out of order). clSeqNr=124
16:44:19.647 INF Request finished (out of order). clSeqNr=141
16:44:19.647 INF Request finished (out of order). clSeqNr=157
16:44:19.647 INF Request finished (out of order). clSeqNr=173
16:44:19.647 INF Request finished (out of order). clSeqNr=189
16:44:19.647 INF Request finished (out of order). clSeqNr=205
16:44:19.649 INF Request finished (out of order). clSeqNr=61
16:44:19.649 INF Request finished (out of order). clSeqNr=77
16:44:19.649 INF Request finished (out of order). clSeqNr=93
16:44:19.649 INF Request finished (out of order). clSeqNr=109
16:44:19.650 INF Request finished (out of order). clSeqNr=125
16:44:19.657 INF Request finished (out of order). clSeqNr=142
16:44:19.657 INF Request finished (out of order). clSeqNr=158
16:44:19.657 INF Request finished (out of order). clSeqNr=174
16:44:19.657 INF Request finished (out of order). clSeqNr=190
16:44:19.657 INF Request finished (out of order). clSeqNr=206
16:44:19.684 INF Request finished (out of order). clSeqNr=62
16:44:19.684 INF Request finished (out of order). clSeqNr=78
16:44:19.685 INF Request finished (out of order). clSeqNr=94
16:44:19.685 INF Request finished (out of order). clSeqNr=110
16:44:19.685 INF Request finished (out of order). clSeqNr=126
16:44:19.687 INF Request finished (out of order). clSeqNr=143
16:44:19.687 INF Request finished (out of order). clSeqNr=159
16:44:19.689 INF Request finished (out of order). clSeqNr=15
16:44:19.689 INF Request finished (out of order). clSeqNr=31
16:44:19.689 INF Request finished (out of order). clSeqNr=47
16:44:19.689 INF Request finished (out of order). clSeqNr=63
16:44:19.690 INF Request finished (out of order). clSeqNr=79
