exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,12288,48,false,1440,16384,external,32,8192,768,769,768.4423076923077,0,19716,20104.851508989726,20387.364784864207,2391.0820660565605,323.0028055907328,250.51649713453727,262.84617877246166,3.2569444444444446,10.92824074074074,17.979698,12.888088,1.0,1,1,2312.198,2011.56,2312.198,2025.322,2025.281,1536.0685872217466,1498.4149566031679,1536.0685872217466,1482.7307222836773,1482.6945848697148,423.16644645769134,343.2243287324895,341.31904298009806,341.3135328736752,2.1125,18688,16272,15.714192743568306,17.18213626160992,10393.945437793227,12625.612115621805,0.0,0
0001,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,24576,96,false,2880,16384,external,32,8192,1535,1539,1534.1473214285713,9264,9303,9929.406169181035,10004.359152816944,886.0459973960303,317.61214432293997,247.3881955650478,267.61637733025776,5.481981981981982,19.00900900900901,18.442933,13.169065,1.0,1,1,2704.542,2194.618,2704.542,2201.406,2201.385,1595.5074544181034,1551.0801399515087,1595.5074544181034,1533.659734639766,1533.6260741192248,496.39281631094167,394.1097969872492,391.1155585280839,391.1112177196234,2.14527027027027,37120,32812,15.344698868348006,17.08954386939316,20126.950523542,24915.967838263383,0.0,0
0002,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,32768,128,false,3840,16384,external,32,8192,2048,2048,2043.825892857143,6666,6698,7397.8140584520725,7445.044486948695,622.2448633788119,319.1237294578085,246.4444910130855,259.8472889548202,6.545045045045045,22.63963963963964,18.418058,13.182627,1.0,1,1,2749.48,2234.497,2749.48,2220.966,2220.938,1605.8051607431996,1558.2017903173576,1605.8051607431996,1539.9388704280154,1539.9046151064317,506.8977269394896,395.15136899429064,391.61317902716246,391.6077923786171,1.89,49408,43690,15.349005091177,17.108034872590583,26825.846677212114,33142.10437722314,0.0,0
0003,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,2048,2048,2048.0,3988,4016,4718.694685900171,4739.88123178115,2839.214152843378,2990.225349020618,374.36918707609624,412.8987403069187,8.814814814814815,35.039351851851855,17.076259,13.543544,1.0,1,1,3106.103,2769.424,3106.103,3147.983,2775.115,1540.3279866814205,1475.4929573778797,1540.3279866814205,1554.5158982916396,1485.629154432388,718.3606123649095,616.1448090896824,735.389477535089,630.5044134498959,1.923728813559322,75008,70594,22.923411439647946,24.830593091093768,43925.31174421751,52123.7277333023,0.0,0
0004,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,65536,256,false,7680,16384,external,32,8192,2048,2048,2048.0,2769,2797,3578.3410850353594,3602.05033557047,490.37499666902966,468.21404813295624,480.76378529413296,549.5860116290102,10.039351851851851,42.074074074074076,16.975598,13.489622,2.0,2,2,2189.399,2189.298,2189.399,2206.651,2206.601,1098.2777476536896,1053.3648393246685,1098.2777476536896,1094.8540188526683,1047.7607157417651,457.68734221173196,448.52787256958896,464.0806897862325,454.1396721248861,1.634095634095634,98559,93992,30.34905323401764,33.08379720236731,58059.22124216184,69677.26745790208,0.0,0
0005,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,80000,312,false,9375,16384,external,32,8192,2048,2048,2048.0,2074,2103,2917.8442913779318,2938.5892939721966,324.0317156185696,288.4939005532714,565.2881803359886,657.7779005788311,10.722222222222221,50.66898148148148,16.907104,13.477059,2.0,2,2,2258.083,2202.902,2258.083,2251.95,2249.056,1156.781269922708,1064.5637967000932,1156.781269922708,1090.683515114814,1029.5040995575437,540.3555639023841,490.36301928975274,530.0626738259353,515.245429472972,1.555,120064,102383,34.42067714614939,39.653405206131616,71013.93591711507,75968.35481687807,0.0,0
0006,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,100000,390,false,11718,16384,external,32,8192,2048,2048,2048.0,1431,1468,2309.0571472376278,2332.2772853752663,328.5128214338951,308.1408196099741,695.2145162239351,843.9409078138136,11.914351851851851,58.80324074074074,16.955646,13.350328,3.0,3,3,2099.155,2099.129,2099.155,2111.087,2111.064,981.607503912916,904.3577338483894,981.607503912916,978.2239762091648,897.7277621819495,500.8877678788683,488.6218669366659,504.6488423707355,491.1388582560009,1.8097222222222222,150016,143963,43.62088565733352,49.36649838911698,88475.54378052006,107834.80375912861,0.0,0
0007,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,110000,429,false,12890,16384,external,32,8192,2048,2048,2048.0,1206,1245,2089.790985296972,2111.3748918692486,294.9674479063332,258.4672609226299,727.4495129070132,884.4725470025945,12.08816705336427,63.835266821345705,17.4279,13.010852,3.0,3,3,2237.967,2140.235,2237.967,2161.559,2161.501,1043.2602733707783,938.5356309685559,1043.2602733707783,976.625217408554,898.748257655185,578.6695622525228,521.112960705176,534.9069141505627,513.9902008163658,1.828649760109664,164864,153752,45.62952673456707,52.71956925306117,94597.74269992369,118172.12277873885,0.0,0
0008,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,120000,468,false,14062,16384,external,32,8192,2048,2048,2048.0,999,1035,1886.7592460881935,1905.9725349306368,292.66130532031343,274.5051213737907,798.9940297208037,991.4483597622035,12.072599531615925,67.56674473067916,16.953353,13.079814,3.0,3,3,2247.836,2089.909,2247.836,2137.25,2134.464,1177.8387290407184,1051.351204741954,1177.8387290407184,1080.5274533364247,969.0163273265924,597.6704351586097,528.0609158531759,564.6293453862421,517.2734055303525,1.805813234384663,179968,155271,49.901951806222115,59.02133146854031,106154.81197141355,118710.40368005233,0.0,0
0009,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,130000,507,false,15234,16384,external,32,8192,2048,2048,2048.0,840,880,1741.0474806997372,1757.185787479227,346.5448236226891,341.60814481093456,884.6025594731086,1076.7752990922022,12.275058275058274,70.8997668997669,17.045021,13.604736,3.0,3,3,2157.91,2057.651,2157.91,2166.481,2069.261,1103.551757817633,960.1028619363913,1103.551757817633,1115.075752075334,965.2127822347112,566.3504518468925,494.5915712501641,571.4965336183365,499.56357649194797,1.8822115384615385,194816,186476,55.68057491091669,64.03889214831075,114294.96038755248,137066.9743242353,0.0,0
