04:06:17.867 INF Connecting to orderer. addrStr=54.252.139.24:10165 peerId=15
04:06:17.867 INF Connecting to orderer. addrStr=3.145.176.168:10000 peerId=0
04:06:17.867 INF Connecting to orderer. addrStr=18.116.90.182:10011 peerId=1
04:06:17.868 INF Connecting to orderer. addrStr=18.218.240.131:10033 peerId=3
04:06:17.868 INF Connecting to orderer. addrStr=13.39.16.165:10044 peerId=4
04:06:17.868 INF Connecting to orderer. addrStr=35.180.86.235:10055 peerId=5
04:06:17.868 INF Connecting to orderer. addrStr=13.38.8.20:10066 peerId=6
04:06:17.869 INF Connecting to orderer. addrStr=13.39.81.245:10077 peerId=7
04:06:17.869 INF Connecting to orderer. addrStr=18.183.228.151:10088 peerId=8
04:06:17.869 INF Connecting to orderer. addrStr=54.199.30.147:10099 peerId=9
04:06:17.869 INF Connecting to orderer. addrStr=3.112.12.221:10110 peerId=10
04:06:17.869 INF Connecting to orderer. addrStr=13.230.76.96:10121 peerId=11
04:06:17.869 INF Connecting to orderer. addrStr=54.66.204.115:10132 peerId=12
04:06:17.869 INF Connecting to orderer. addrStr=13.239.37.126:10143 peerId=13
04:06:17.869 INF Connecting to orderer. addrStr=52.63.199.164:10154 peerId=14
04:06:17.868 INF Connecting to orderer. addrStr=3.142.36.97:10022 peerId=2
04:06:17.897 INF Connected to orderer. addrStr=13.230.76.96:10121 id=11
04:06:17.897 INF Connected to orderer. addrStr=3.112.12.221:10110 id=10
04:06:17.924 INF Connected to orderer. addrStr=54.199.30.147:10099 id=9
04:06:17.928 INF Connected to orderer. addrStr=18.183.228.151:10088 id=8
04:06:18.401 INF Connected to orderer. addrStr=54.66.204.115:10132 id=12
04:06:18.405 INF Connected to orderer. addrStr=13.239.37.126:10143 id=13
04:06:18.465 INF Connected to orderer. addrStr=54.252.139.24:10165 id=15
04:06:18.508 INF Connected to orderer. addrStr=52.63.199.164:10154 id=14
04:06:18.524 INF Connected to orderer. addrStr=18.116.90.182:10011 id=1
04:06:18.525 INF Connected to orderer. addrStr=18.218.240.131:10033 id=3
04:06:18.529 INF Connected to orderer. addrStr=3.145.176.168:10000 id=0
04:06:18.529 INF Connected to orderer. addrStr=3.142.36.97:10022 id=2
04:06:18.936 INF Connected to orderer. addrStr=13.39.16.165:10044 id=4
04:06:18.940 INF Connected to orderer. addrStr=13.39.81.245:10077 id=7
04:06:18.942 INF Connected to orderer. addrStr=13.38.8.20:10066 id=6
04:06:18.989 INF Connected to orderer. addrStr=35.180.86.235:10055 id=5
04:06:18.989 INF Connected to orderers.
04:06:18.989 INF Non crashing node count. count=16
04:06:18.990 INF Updating bucket assignment. epoch=0
04:06:18.990 INF Resubmitted Requests. epoch=0 n=0
04:06:18.990 INF Setting up client timeout. clientRunTime=15000
04:06:18.990 INF Starting to submit requests. numRequests=3840
04:06:21.306 INF Request finished (out of order). clSeqNr=108
04:06:21.306 INF Request finished (out of order). clSeqNr=124
04:06:21.307 INF Request finished (out of order). clSeqNr=12
04:06:21.308 INF Request finished (out of order). clSeqNr=28
04:06:21.308 INF Request finished (out of order). clSeqNr=44
04:06:21.308 INF Request finished (out of order). clSeqNr=60
04:06:21.308 INF Request finished (out of order). clSeqNr=76
04:06:21.308 INF Request finished (out of order). clSeqNr=92
04:06:21.309 INF Request finished (out of order). clSeqNr=109
04:06:21.310 INF Request finished (out of order). clSeqNr=125
04:06:21.314 INF Request finished (out of order). clSeqNr=13
04:06:21.345 INF Request finished (out of order). clSeqNr=29
04:06:21.345 INF Request finished (out of order). clSeqNr=45
04:06:21.345 INF Request finished (out of order). clSeqNr=61
04:06:21.345 INF Request finished (out of order). clSeqNr=77
04:06:21.345 INF Request finished (out of order). clSeqNr=93
04:06:21.353 INF Request finished (out of order). clSeqNr=110
04:06:21.353 INF Request finished (out of order). clSeqNr=126
04:06:21.353 INF Request finished (out of order). clSeqNr=14
04:06:21.353 INF Request finished (out of order). clSeqNr=30
04:06:21.353 INF Request finished (out of order). clSeqNr=46
04:06:21.353 INF Request finished (out of order). clSeqNr=62
04:06:21.353 INF Request finished (out of order). clSeqNr=78
04:06:21.353 INF Request finished (out of order). clSeqNr=94
04:06:21.353 INF Request finished (out of order). clSeqNr=111
04:06:21.353 INF Request finished (out of order). clSeqNr=127
04:06:21.353 INF Request finished (out of order). clSeqNr=15
04:06:21.353 INF Request finished (out of order). clSeqNr=31
04:06:21.353 INF Request finished (out of order). clSeqNr=47
04:06:21.353 INF Request finished (out of order). clSeqNr=63
04:06:21.353 INF Request finished (out of order). clSeqNr=79
04:06:21.353 INF Request finished (out of order). clSeqNr=95
04:06:21.947 INF Request finished (out of order). clSeqNr=112
04:06:21.949 INF Request finished (out of order). clSeqNr=0
04:06:21.949 INF Request delivered (in order). clSeqNr=0
04:06:21.949 INF Request finished (out of order). clSeqNr=16
04:06:21.950 INF Request finished (out of order). clSeqNr=32
04:06:21.950 INF Request finished (out of order). clSeqNr=48
04:06:21.950 INF Request finished (out of order). clSeqNr=64
04:06:21.951 INF Request finished (out of order). clSeqNr=80
04:06:21.951 INF Request finished (out of order). clSeqNr=96
04:06:21.952 INF Request finished (out of order). clSeqNr=113
04:06:21.953 INF Request finished (out of order). clSeqNr=1
04:06:21.953 INF Request delivered (in order). clSeqNr=1
04:06:21.953 INF Request finished (out of order). clSeqNr=17
04:06:21.953 INF Request finished (out of order). clSeqNr=33
04:06:21.953 INF Request finished (out of order). clSeqNr=49
04:06:21.954 INF Request finished (out of order). clSeqNr=65
04:06:21.954 INF Request finished (out of order). clSeqNr=81
04:06:21.954 INF Request finished (out of order). clSeqNr=97
