10:24:32.497 INF Connecting to orderer. addrStr=18.212.196.118:10033 peerId=3
10:24:32.498 INF Connecting to orderer. addrStr=3.85.146.50:10000 peerId=0
10:24:32.498 INF Connecting to orderer. addrStr=3.87.51.178:10011 peerId=1
10:24:32.498 INF Connecting to orderer. addrStr=44.211.208.80:10022 peerId=2
10:24:32.502 INF Connected to orderer. addrStr=18.212.196.118:10033 id=3
10:24:32.503 INF Connected to orderer. addrStr=3.85.146.50:10000 id=0
10:24:32.503 INF Connected to orderer. addrStr=3.87.51.178:10011 id=1
10:24:32.506 INF Connected to orderer. addrStr=44.211.208.80:10022 id=2
10:24:32.576 INF Connected to orderers.
10:24:32.588 INF Updating bucket assignment. epoch=0
10:24:32.589 INF Resubmitted Requests. epoch=0 n=0
10:24:32.589 INF Setting up client timeout. clientRunTime=15000
10:24:32.589 INF Starting to submit requests. numRequests=61440
10:24:33.740 INF Request finished (out of order). clSeqNr=0
10:24:33.740 INF Request delivered (in order). clSeqNr=0
10:24:33.740 INF Request finished (out of order). clSeqNr=64
10:24:33.740 INF Request finished (out of order). clSeqNr=128
10:24:33.740 INF Request finished (out of order). clSeqNr=192
10:24:33.740 INF Request finished (out of order). clSeqNr=256
10:24:33.740 INF Request finished (out of order). clSeqNr=320
10:24:33.740 INF Request finished (out of order). clSeqNr=384
10:24:33.740 INF Request finished (out of order). clSeqNr=448
10:24:33.740 INF Request finished (out of order). clSeqNr=512
10:24:33.740 INF Request finished (out of order). clSeqNr=576
10:24:33.740 INF Request finished (out of order). clSeqNr=640
10:24:33.740 INF Request finished (out of order). clSeqNr=704
10:24:33.740 INF Request finished (out of order). clSeqNr=768
10:24:33.740 INF Request finished (out of order). clSeqNr=832
10:24:33.740 INF Request finished (out of order). clSeqNr=896
10:24:33.740 INF Request finished (out of order). clSeqNr=960
10:24:33.740 INF Request finished (out of order). clSeqNr=1024
10:24:33.740 INF Request finished (out of order). clSeqNr=1088
10:24:33.740 INF Request finished (out of order). clSeqNr=1152
10:24:33.740 INF Request finished (out of order). clSeqNr=1216
10:24:33.740 INF Request finished (out of order). clSeqNr=1280
10:24:33.740 INF Request finished (out of order). clSeqNr=1344
10:24:33.740 INF Request finished (out of order). clSeqNr=1408
10:24:33.740 INF Request finished (out of order). clSeqNr=1472
10:24:33.740 INF Request finished (out of order). clSeqNr=1536
10:24:33.740 INF Request finished (out of order). clSeqNr=1600
10:24:33.740 INF Request finished (out of order). clSeqNr=1664
10:24:33.740 INF Request finished (out of order). clSeqNr=1728
10:24:33.740 INF Request finished (out of order). clSeqNr=4
10:24:33.740 INF Request finished (out of order). clSeqNr=68
10:24:33.740 INF Request finished (out of order). clSeqNr=132
10:24:33.740 INF Request finished (out of order). clSeqNr=196
10:24:33.740 INF Request finished (out of order). clSeqNr=260
10:24:33.740 INF Request finished (out of order). clSeqNr=324
10:24:33.740 INF Request finished (out of order). clSeqNr=388
10:24:33.741 INF Request finished (out of order). clSeqNr=452
10:24:33.741 INF Request finished (out of order). clSeqNr=516
10:24:33.741 INF Request finished (out of order). clSeqNr=580
10:24:33.741 INF Request finished (out of order). clSeqNr=644
10:24:33.741 INF Request finished (out of order). clSeqNr=708
10:24:33.741 INF Request finished (out of order). clSeqNr=772
10:24:33.741 INF Request finished (out of order). clSeqNr=836
10:24:33.741 INF Request finished (out of order). clSeqNr=900
10:24:33.741 INF Request finished (out of order). clSeqNr=964
10:24:33.741 INF Request finished (out of order). clSeqNr=1028
10:24:33.741 INF Request finished (out of order). clSeqNr=1092
10:24:33.741 INF Request finished (out of order). clSeqNr=1156
10:24:33.741 INF Request finished (out of order). clSeqNr=1220
10:24:33.741 INF Request finished (out of order). clSeqNr=1284
10:24:33.741 INF Request finished (out of order). clSeqNr=1348
10:24:33.741 INF Request finished (out of order). clSeqNr=1412
10:24:33.741 INF Request finished (out of order). clSeqNr=1476
10:24:33.741 INF Request finished (out of order). clSeqNr=1540
10:24:33.741 INF Request finished (out of order). clSeqNr=1604
10:24:33.741 INF Request finished (out of order). clSeqNr=1668
10:24:33.741 INF Request finished (out of order). clSeqNr=1732
10:24:33.741 INF Request finished (out of order). clSeqNr=8
10:24:33.741 INF Request finished (out of order). clSeqNr=72
10:24:33.741 INF Request finished (out of order). clSeqNr=136
10:24:33.741 INF Request finished (out of order). clSeqNr=200
10:24:33.741 INF Request finished (out of order). clSeqNr=264
10:24:33.741 INF Request finished (out of order). clSeqNr=328
10:24:33.741 INF Request finished (out of order). clSeqNr=392
10:24:33.741 INF Request finished (out of order). clSeqNr=456
10:24:33.741 INF Request finished (out of order). clSeqNr=520
10:24:33.741 INF Request finished (out of order). clSeqNr=584
10:24:33.741 INF Request finished (out of order). clSeqNr=648
10:24:33.741 INF Request finished (out of order). clSeqNr=712
10:24:33.741 INF Request finished (out of order). clSeqNr=776
10:24:33.741 INF Request finished (out of order). clSeqNr=840
