exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,512,8,false,240,65536,external,32,8192,32,64,37.925925925925924,-1,123844,114820.65384615384,124375.1875,33167.28313259142,323.4105882870736,328.6779235725224,379.3417755010364,0.28125,2.26953125,15.029878,6.002483,1.0,1,1,4193.413,4193.378,4193.413,2702.793,2702.719,2158.229206730769,2108.516846153846,2158.229206730769,1670.2192216494846,1670.16306185567,1144.5880819728577,1089.6557527353705,890.8755381991679,890.8760836233039,None,832,388,15.308464683577261,15.297051748226393,553.5640409057213,646.3991651454907,0.0,0
0001,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,1024,16,false,480,65536,external,32,8192,64,192,83.05154639175258,0,61362,59488.705625,61963.7224383917,12150.704428922732,301.7186627156655,328.2744289812859,407.7303848470897,0.4296875,3.40234375,15.028892,5.995338,1.0,1,1,4852.447,4232.337,4852.447,3804.727,3804.677,2453.0275775,2340.3353450000004,2453.0275775,1925.461169736842,1925.409377631579,1257.2374386036008,1129.1048102732477,959.7907595555185,959.7907630844442,None,1600,760,14.698181050320306,13.743340147385279,1064.6160741590265,1267.6516319847187,0.0,0
0002,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,2048,32,false,960,65536,external,32,8192,128,130,138.76,0,30088,30051.955038265307,30671.318352059927,4349.14253634973,306.5232853267452,323.0803811264186,467.5771913322214,0.56640625,5.27734375,15.044677,6.005197,1.0,1,1,4780.066,4263.159,4780.066,3545.63,3545.535,2538.700326530612,2367.347381696429,2538.700326530612,2007.381757857143,2007.3294885714286,1310.5765557882507,1105.513584941052,936.454018385452,936.453983639924,None,3136,1400,14.244575384114913,12.431873334128975,2084.4581774670205,2331.3140268337575,0.0,0
0003,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,4096,64,false,1920,65536,external,32,8192,256,261,277.92105263157896,0,14476,14876.653833762886,15030.79411764706,1554.6120354642098,349.28302451265165,321.5119871945739,471.12077614501123,1.08984375,9.86328125,15.067251,5.987161,1.0,1,1,4816.847,4197.093,4816.847,3442.965,3442.921,2547.459510148196,2384.7625418814437,2547.459510148196,1997.4918987868284,1997.4278114384747,1301.8878124008731,1102.808351414151,937.5811614518158,937.5623741741232,None,6208,2885,14.204346804337318,12.535162367463336,4120.19418804399,4818.644429304641,0.0,0
0004,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,8192,128,false,3840,65536,external,32,8192,508,527,563.530303030303,6643,6677,7220.883176813471,7254.817486338798,638.8203519165942,386.0523948077238,322.69634456322143,453.8779343831556,1.44921875,16.28515625,15.07298,5.924135,1.0,1,1,5354.207,4373.608,5354.207,3727.886,3727.832,2842.5250701910622,2570.1219965997407,2842.5250701910622,2151.191654079696,2151.1275404174576,1421.285044074978,1091.6095823085395,947.4089993443657,947.3891993187121,None,12352,5270,13.650608562220873,10.864217202697814,8194.796251305315,8895.813481630652,0.0,0
0005,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,16384,256,false,7680,65536,external,32,8192,1024,1060,1068.9907407407406,2747,2774,3394.85275974026,3396.128988404638,595.180268152065,684.5291848926119,299.94626279993554,372.976419097832,2.26953125,41.1015625,17.93654,6.106249,1.0,1,1,5064.213,3500.112,5064.213,3386.079,3386.045,2486.6852010551947,2294.8846305194807,2486.6852010551947,2012.4650819683557,2012.3803793127483,1418.137483367399,1092.179929814649,981.3854553082242,981.3404651013441,2.75,24640,14347,14.462187858561306,16.776777212165648,13737.320575763219,23495.602619545978,0.0,0
0006,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,24576,384,false,11520,65536,external,32,8192,1528,1590,1574.4814814814815,1447,1478,2110.071842504333,2132.127781102105,572.450161907574,442.7512920439453,333.38776431458564,332.34681049921244,2.0526315789473686,55.79385964912281,17.77522,6.149261,1.0,1,1,5467.784,4045.038,5467.784,3815.633,3815.593,2664.117641491551,2474.1558529571057,2664.117641491551,2225.9045771375468,2225.8375764663365,1803.6820991358022,1232.883885653805,1047.98748773273,1047.97351057696,2.462025316455696,36928,19368,15.055496388861803,16.54004851134969,20774.989001542595,31496.467624321038,0.0,0
0007,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,32768,512,false,15360,65536,external,32,8192,2048,2048,2048.032520325203,791,838,1469.6137028608582,1458.3606502848115,896.686836965217,942.7230010031315,330.2959725756602,300.5558800775447,3.1748878923766815,76.92825112107623,20.689123,6.260249,1.0,1,1,7851.533,5861.765,7851.533,3703.759,3703.722,2938.234198837776,2648.6533878413525,2938.234198837776,2495.8731259240917,2495.762547982031,2483.07431404708,1443.3711255583676,1093.9432426299086,1093.9109445293868,None,49216,28271,14.809094116606065,17.5499123788521,23788.345209219355,45159.5455707912,0.0,0
0008,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,40960,640,false,19200,65536,external,32,8192,2048,2048,2048.02614379085,428,475,1108.4935126170656,1119.552844500632,345.2943442109223,367.60446070274554,357.0790151959526,354.74523762730183,1.5416666666666667,88.49583333333334,21.18324,6.44048,2.0,2,2,8086.069,6359.646,8086.069,3937.162,3937.133,3568.4840413956813,3120.9950586465925,3568.4840413956813,2649.055810255589,2649.0097136758977,2607.1494902747213,1639.435819254509,1097.2159893178864,1097.2133287288739,3.633663366336634,61504,37482,15.226854182115048,21.202259578848295,29034.274265881897,58197.52565026209,0.0,0
0009,16,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,49152,768,false,23040,65536,external,32,8192,2048,2048,2068.9655172413795,164,206,853.4882507588899,860.9037824446173,460.63211710444557,571.2127973726374,345.1004382135242,346.6841006811498,1.8482142857142858,82.09821428571429,26.724392,5.220364,2.0,2,2,12736.289,7894.819,12736.289,4436.126,4436.083,5077.563424056809,4398.778762860472,5077.563424056809,3200.6216035246503,3200.576562159406,3144.6959407683335,2087.8566039224793,1106.386247221433,1106.3880746305636,2.2625,73792,31379,16.01813835739816,16.659476283512117,27612.2278104587,60108.835322594365,0.0,0
