exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,128,32,false,960,1048576,external,32,8192,32,96,41.285714285714285,-1,30233,30180.081632653062,30818.60714285714,4379.2821954229075,329.7086636866754,17.63481714840187,22.97831995512234,1.1875,7.4375,14.999531,0.003701,0.0,0,0,2914.455,2914.419,2914.455,2725.769,2725.72,1537.0489285714286,1537.0001173469386,1537.0489285714286,1475.2499722222221,1475.2031666666667,883.0551859113206,883.0523016815473,817.4872973856793,817.4895456225726,None,196,36,3.526620133697696,6.9792715634565345,130.6707523055221,97271.00783572007,0.0,0
0001,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,256,64,false,1920,1048576,external,32,8192,64,193,82.71428571428571,0,14567,14729.667525773197,14961.826923076924,1854.8787002212384,280.4281545229907,19.984442699136448,35.92670951259431,1.1875,7.0625,15.002701,0.006206,0.0,0,0,2902.095,2902.061,2902.095,2896.003,2895.975,1544.3334407216494,1544.2724201030926,1544.3334407216494,1493.320407894737,1493.2800263157894,873.7003295390178,873.6716769890976,860.1394462048765,860.1405269509858,None,388,76,3.5259039051325,6.984982288080626,258.62009780772144,122462.13341927167,0.0,0
0002,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,512,128,false,3840,1048576,external,32,8192,128,385,165.14285714285714,6671,6721,7196.695595854922,7355.134615384615,603.2964605235053,338.2132680905229,29.356291675659477,39.7886427298192,1.375,8.125,15.011247,0.012997,0.0,0,0,3031.997,3031.965,3031.997,2897.355,2897.324,1693.9599132124354,1693.9166126943005,1693.9599132124354,1535.293644736842,1535.2570855263157,932.3564221956442,932.3473173045102,856.7767205508906,856.7769180294014,None,772,152,3.5214700212268344,6.84490807288458,514.2810587288318,116950.06539970763,0.0,0
0003,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,1024,256,false,7680,1048576,external,32,8192,256,772,342.3333333333333,2774,2866,3277.2974025974027,3308.5343137254904,368.7036523132316,321.9120581789452,28.985406235170217,1247.9850241797099,2.0,10.25,14.993817,0.027192,1.0,1,1,3078.223,3078.192,3078.223,3459.176,3459.129,1719.1526766233765,1719.1027967532468,1719.1526766233765,1825.364495176849,1825.2991189710613,930.9251517639797,930.907870703537,972.399562738984,972.364364741392,None,1540,311,3.482484072472152,5.970143313290236,1027.0900331783428,114371.87408061195,0.0,0
0004,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,2048,512,false,15360,1048576,external,32,8192,513,1537,771.5,707,907,1381.3891417425227,1387.2128205128206,562.8671142968439,705.3671787832352,28.85413617434242,594.9429846306396,3.5625,14.1875,14.9854,0.046676,1.0,1,1,3463.41,3463.371,3463.41,2992.621,2991.897,1878.5976579973994,1878.5336170351104,1878.5976579973994,1820.923227184466,1820.837522330097,947.7950796886554,947.7646574253392,793.7592260654267,793.690166295452,None,3076,515,3.466238833759186,54.57844969913629,2052.66459353771,110335.07584197447,0.0,0
0005,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,4096,1024,false,30720,1048576,external,32,8192,1007,2048,1281.0,-5403,-112,311.7900130123617,253.48395721925132,1754.3543884585283,1729.7545812596848,23.338676262559282,30.954211949293132,2.7333333333333334,18.733333333333334,21.058047,0.082822,1.0,1,1,7691.71,7184.976,7691.71,4655.264,4655.221,2915.157920787248,2801.5941172739103,2915.157920787248,2211.722342995169,2211.611036714976,2052.0889947482865,1850.3325699004408,1238.873869413923,1238.8396099453835,None,6148,1035,3.3052382572734658,27.28792168366477,2919.5489971126003,124966.7962618628,0.0,0
0006,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,8192,2048,false,61440,1048576,external,32,8192,2048,2048,2048.0,-41910,-7225,-956.5841737150292,-2273.4190927555856,6916.52818144035,9390.707908787906,18.72031628694379,237.37463652008782,4.615384615384615,29.0,33.164375,0.155539,1.0,1,1,22746.484,16165.07,22746.484,6783.737,6783.677,5237.042899723487,3757.988457628497,5237.042899723487,2301.415494382022,2301.286872007816,6974.530002587461,4442.140222693539,1690.5293464510612,1690.4952741542015,None,12296,2047,3.3441617844668383,125.96838193613404,3707.5928613157944,131606.86387336938,0.0,0
0007,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,12288,3072,false,92160,1048576,external,32,8192,2048,2050,2048.285714285714,-104031,-36013,-4234.592287694974,-6157.522648083624,18435.409170224942,19864.86702533212,33.61860894560621,47.200719672149354,5.642857142857143,39.142857142857146,22.123241,0.187134,1.0,1,1,17449.166,6445.051,17449.166,7541.787,7541.733,4886.124494529897,3179.713699469238,4886.124494529897,2337.147577761082,2337.0249008264464,5490.907157806585,2527.9980115115436,1682.3047438735452,1682.280832264598,None,18464,2662,4.844237545235069,9.694364388998835,8345.974262993383,142251.00729958212,0.0,0
0008,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,24576,6144,false,184320,1048576,external,32,8192,2048,2088,2063.3333333333335,-274302,-224108,-22916.276519344476,-54088.092622020435,62743.18070186304,85271.91961820882,46.47123242461396,55.730649128540996,3.6153846153846154,52.46153846153846,24.59559,0.362615,2.0,2,2,15024.187,9166.719,15024.187,3164.608,3164.576,6172.5306580901215,4088.103995356246,6172.5306580901215,2035.8761987815492,2026.3076137510877,5276.150714888266,2905.7895621692305,1455.159369142652,1453.3690140197702,None,37039,5745,7.082317634792065,10.107183309940819,15059.203702777611,158432.497276726,0.0,0
0009,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,32768,8192,false,245760,1048576,external,32,8192,2048,4096,2344.714285714286,-405494,-274567,-54693.92422178395,-79107.06742160278,108148.57016926928,105410.0064333205,49.26992551625562,50.30841370632493,4.416666666666667,58.75,27.409687,0.392619,2.0,2,2,17006.177,8978.303,17006.177,3122.008,3111.893,7137.169974056076,4455.0042294492,7137.169974056076,2338.6179916465567,2036.4158700575458,5771.425239236123,2784.580642849778,1357.9596977647252,1554.0240799334463,1.75,49183,5387,8.161879718770354,8.747031476192767,17943.65619716854,137206.8086363625,0.0,0
