exp,peers,nlr,failures,StragglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,128,32,false,960,1048576,external,32,8192,32,64,36.57142857142857,0,30258,30091.076530612245,30740.775,4367.05100276831,327.72349880145407,14.442745523369474,18.649540172275128,0.39285714285714285,1.3571428571428572,29.97994,1.999691,0.0,0,0,15266.357,15266.305,15266.357,5905.106,5905.083,6668.411974489796,6668.376806122449,6668.411974489796,3438.0158666666666,3437.9830666666667,5077.27095544032,5077.269724552634,2105.4295529549267,2105.4313692642154,None,196,30,3.6105515920259807,4.66357316313512,65.37704878662198,150.02317858109078,0.0,0
0001,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,256,64,false,1920,1048576,external,32,8192,64,128,75.63636363636364,0,14832,15064.079896907217,15276.025,1560.7131250541431,198.21213383645298,14.444186727481853,18.65170178460149,0.25,1.1785714285714286,29.97827,1.999553,0.0,0,0,15100.682,15100.661,15100.682,5743.644,5743.61,6674.363783505155,6674.335350515465,6674.363783505155,3437.69303125,3437.66525,5013.800724310941,5013.801132711843,2022.077648478125,2022.0795327186522,None,388,64,3.61102467758144,5.472016109615426,129.42708168283227,320.07153598829336,0.0,0
0002,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,512,128,false,3840,1048576,external,32,8192,128,256,151.27272727272728,6693,6731,7137.121761658031,7167.929032258065,606.2247815813687,320.16599001868104,14.444704606758071,15.980695320053377,0.5833333333333334,1.2083333333333333,29.977014,2.002337,0.0,0,0,15095.031,15095.009,15095.031,5822.696,5822.676,6664.116417098446,6664.0882357512955,6664.116417098446,3432.234209302326,3432.2079457364343,4986.41417944222,4986.414958629053,2049.8069144380656,2049.805256515155,None,772,129,3.6108192007374327,5.46851502474503,257.53065331990706,644.2471971501301,0.0,0
0003,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,1024,256,false,7680,1048576,external,32,8192,256,511,302.45454545454544,2770,2843,3401.5097402597403,3424.721153846154,371.72369238295045,336.530303936324,14.445610984855325,15.999744004095934,0.625,1.6666666666666667,29.971246,2.007245,0.0,0,0,15021.954,15021.923,15021.954,5823.081,5823.049,6663.170203246754,6663.1407714285715,6663.170203246754,3403.4017843137253,3403.3764156862744,4975.035829720701,4975.0349199898055,2040.538206655293,2040.5388655838124,None,1540,255,3.6109649530058707,5.4708213742007,513.8258182526012,1270.397983305476,0.0,0
0004,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,2048,512,false,15360,1048576,external,32,8192,512,1022,605.2727272727273,848,967,1422.4827698309493,1425.822006472492,338.4205062531203,318.01823648491006,14.448503678450356,21.91381297357493,1.4166666666666667,5.166666666666667,29.965683,2.014726,0.0,0,0,15018.046,15018.025,15018.046,5844.749,5844.716,6665.300643042912,6665.266272106632,6665.300643042912,3426.847656920078,3426.809656920078,4962.4240435942975,4962.421710205781,2041.6057220589548,2041.608398163291,None,3076,513,3.611455963953542,5.4770593369671134,1026.5075553258705,2546.251946914866,0.0,0
0005,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,4096,1024,false,30720,1048576,external,32,8192,1024,1026,1024.8181818181818,-595,-110,391.8885997723207,327.91830065359477,768.52387499438,1224.1907480438372,14.450651235693574,14.753683894275103,2.0,8.083333333333334,29.967021,2.006218,0.0,0,0,15263.648,15263.622,15263.648,5736.919,5736.849,8521.705210603352,8521.6361338429,8521.705210603352,4710.58713111546,4710.539925636008,4325.340035505332,4325.334054373951,485.8454938825724,485.85225957300474,None,6149,511,3.611228431253028,5.460558386772344,2051.9223449004157,2547.0811247830493,0.0,0
0006,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,8192,2048,false,61440,1048576,external,32,8192,1024,2048,1861.8181818181818,-16925,252,-28.330188679245282,140.96080032666396,2679.195598256252,1767.1969103728584,14.236989851584957,15.731301340106048,4.083333333333333,11.583333333333334,59.947035,2.023029,0.0,0,0,37462.698,37462.663,37462.698,7779.718,7779.705,12304.01735450553,12303.951564085883,12304.01735450553,5160.621686060606,5160.586084848485,9891.073049570366,9891.069118834457,1147.5497168856457,1147.5282966130205,None,12296,825,3.557060470798427,5.483978556646757,2051.1439806822805,4078.0433696205046,0.0,0
0007,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,12288,3072,false,92160,1048576,external,32,8192,1024,2048,1901.7142857142858,-26311,190,-490.33768414211437,-169.54949550040905,4640.723540031901,2912.3179870620315,10.436305996701426,21.263968243782283,3.9166666666666665,15.041666666666666,89.922487,1.996897,0.0,0,0,61651.996,61651.978,61651.996,8522.247,8522.229,21675.971487759965,21675.908010452775,21675.971487759965,6179.7545104551045,6179.654129151291,16394.89671351057,16394.891148534047,949.7777115807963,949.7929842139969,None,18464,813,2.608605394617877,5.320105018873072,2053.3239922512375,4071.316647779029,0.0,0
0008,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,24576,6144,false,184320,1048576,external,32,8192,2048,2048,1977.3793103448277,-34910,7,-985.608385755555,-706.8496607869743,5521.989070316031,4838.754145235403,9.429569558970233,40.1045525685462,5.916666666666667,22.375,153.959027,2.011086,1.0,1,1,125734.534,84453.673,125734.534,9253.893,9253.868,49031.03588023435,40613.95239185723,49031.03588023435,7209.163729064039,7209.1347857142855,33649.01276803842,26077.54039151411,771.2463867969777,771.2466656111193,None,37039,812,2.3570122530662787,10.922268849011308,2405.769945532327,4037.6194752486963,0.0,0
0009,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,32768,8192,false,245760,1048576,external,32,8192,2048,2048,1994.1052631578948,-44309,-678,-2112.539911353286,-985.0641995501942,8286.025898546344,5471.63384397866,10.016941933936405,51.62947023747858,5.75,23.833333333333332,183.978507,2.020349,1.0,1,1,148231.926,101623.228,148231.926,9424.832,9424.663,65226.72994205432,51619.78934444128,65226.72994205432,7486.295958986731,7486.252041013268,41581.61456788648,30883.04487586476,757.9381582378313,757.9221575282679,1.6666666666666667,49184,829,2.5036761773445693,12.84799469851166,2673.355752365139,4103.25146793945,0.0,0
