exp,peers,nlr,failures,StrCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,128,32,false,960,1048576,external,32,8192,32,33,32.125,0,30118,29948.79081632653,30621.03846153846,4344.587672403133,302.8468817502038,17.057013534140577,19.976966557559134,0.09375,0.8125,15.00847,4.002101,0.0,0,0,965.101,965.05,965.101,959.803,959.751,508.4140357142857,508.3695663265306,508.4140357142857,498.845578125,498.803203125,293.7245911745215,293.72062940619253,290.4002049664656,290.40138873674135,None,196,64,4.263921838048787,5.328704465387733,130.5929251949066,159.91600411883658,0.0,0
0001,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,256,64,false,1920,1048576,external,32,8192,64,65,64.25,0,14760,15232.680412371134,15375.528846153846,1565.0716211258755,201.61560834606198,17.05336617793895,19.98442214293958,0.0625,0.84375,15.00989,4.003761,0.0,0,0,969.046,968.942,969.046,941.99,941.93,505.26674742268045,505.22745103092785,505.26674742268045,489.9455,489.9088515625,291.566255772468,291.5658494786059,289.5379268997714,289.5412726097233,None,388,128,4.26339465338335,5.330485077473604,258.4962314847077,319.69940263667087,0.0,0
0002,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,512,128,false,3840,1048576,external,32,8192,128,129,128.125,6677,6769,7172.832901554404,7195.538834951456,589.1781030827102,274.8222768451339,17.057637490555,19.736135364906154,0.59375,1.28125,15.007725,4.005946,0.0,0,0,960.209,960.184,960.209,956.631,956.601,510.271725388601,510.23604792746113,510.271725388601,507.2447421875,507.20946484375,290.04907041751943,290.0434719667791,289.11254713927707,289.1078896938343,None,772,256,4.2640030860722336,5.329709131124169,514.4017497655374,639.050052097557,0.0,0
0003,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,1024,256,false,7680,1048576,external,32,8192,256,256,256.0833333333333,2776,2832,3365.3511053315997,3384.529126213592,396.19488806885624,341.5444763422705,17.062343068933,19.97981372819661,0.9285714285714286,1.75,15.003814,3.008931,0.0,0,0,961.677,961.656,961.677,968.781,968.761,511.8220084525358,511.7881261378414,511.8220084525358,515.2819077669903,515.2488786407766,288.97449848959593,288.9629806204034,290.57337119319004,290.56335263914485,None,1538,412,4.264410225069575,5.99200067909341,1025.0726915169703,1369.2570550803591,0.0,0
0004,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,2048,512,false,15360,1048576,external,32,8192,512,513,512.4666666666667,800,833,1557.868575146389,1580.2337821297428,465.3246737873053,420.20456086888936,17.06766683194302,23.944675826502863,1.0625,2.75,14.998114,3.01624,0.0,0,0,971.13,971.106,971.13,971.689,971.666,522.3763321405335,522.3338776837996,522.3763321405335,522.1575319426336,522.118033898305,288.72256345548806,288.6942688398873,288.8318513589069,288.8086511279096,None,3074,767,4.264192866245196,4.996990146268565,2049.591035246165,2542.901095403549,0.0,0
0005,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,4096,1024,false,30720,1048576,external,32,8192,1024,1026,1025.375,-3318,-123,468.52154821922267,465.8519877675841,827.8198307317301,861.9790854813392,17.07424877140442,17.641327839446607,1.28125,4.09375,14.986839,3.030915,0.0,0,0,984.275,983.537,984.275,985.069,983.41,538.5212327207676,538.4442491462025,538.5212327207676,539.1720387847447,539.0872882999354,288.46922661399896,288.39728683479467,288.71640939789756,288.6314612076243,None,6149,1547,4.2647191116057,5.324274966856388,4102.9332469642195,5104.069233218352,0.0,0
0006,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,8192,2048,false,61440,1048576,external,32,8192,2048,2048,2048.0,-23238,-7715,-570.4081815224463,-452.56853725850965,4025.859741837317,3351.0807652265157,17.122014148134316,17.306433367069786,2.46875,8.0625,14.953857,3.057879,0.0,0,0,1024.016,1021.934,1024.016,1026.066,1024.92,577.8244864183474,577.6749228204294,577.8244864183474,578.3193093192333,578.170420687376,287.2148935998267,287.04647610914725,287.2473020145009,287.07825956669916,None,12296,3026,4.270277898342698,5.335421261520342,8222.627780912977,9895.748000493153,0.0,0
0007,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,12288,3072,false,92160,1048576,external,32,8192,2048,2048,2048.0,-44925,-28292,-2761.8285311958407,-2405.4795957284514,9288.243686172125,8586.053752253445,24.57445458734282,28.609574670989893,3.6666666666666665,11.916666666666666,14.990417,3.405206,0.0,0,0,727.663,727.651,727.663,708.726,708.659,421.55071403812826,421.3712891031196,421.55071403812826,408.3078183482506,408.1361897884459,199.40966594039966,199.2161617152385,189.16938778780357,188.9724406952602,None,18464,4916,6.142918333573152,7.009854102404455,12317.202383362652,14436.718365937333,0.0,0
0008,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,24576,6144,false,184320,1048576,external,32,8192,2048,2048,2048.0,-59996,-53793,-10490.74143756927,-10975.985035211268,17115.514528549404,17546.370136827747,47.304598746132484,51.95136053869564,4.475,19.225,15.567749,4.338202,0.0,0,0,386.799,386.698,386.799,384.99,384.847,226.11265277214608,225.84509285540506,226.11265277214608,223.0423047218155,222.7717869692533,100.81873797038772,100.59721735061402,90.29822699239504,90.05458758286395,1.6666666666666667,36993,10928,11.799618872310424,12.981512703221526,23762.587641925624,25190.15942549471,0.0,0
0009,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,32768,8192,false,245760,1048576,external,32,8192,2048,2048,2048.0,-76657,-64136,-24920.736276024723,-23205.55481986368,22256.02093061649,21500.737081914835,59.3969580135358,67.6023965049561,5.075,22.625,15.693841,4.537883,0.0,0,0,312.523,312.482,312.523,310.46,310.362,173.29100794973976,172.9702015492843,173.29100794973976,171.42417010619113,171.1293933747412,77.03397439893045,76.85659423331094,72.96032802047496,72.78063917959109,1.25,49184,14973,14.819355344896296,16.94633613151863,31339.682873045545,32995.56202749167,0.0,0
