exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,128,32,false,960,1048576,external,32,8192,32,96,41.142857142857146,0,30093,29958.321428571428,30593.5,4345.716502694909,336.6810227962231,17.637201702742484,35.94206139702799,0.125,1.25,14.997144,0.003389,0.0,0,0,2916.292,2916.261,2916.292,2730.896,2730.845,1543.9386581632652,1543.887081632653,1543.9386581632652,1482.6143055555556,1482.5675,883.1293933765952,883.1217815631288,817.4723748934473,817.4724235514352,None,196,36,3.5272107851759325,6.978777537508436,130.691550337851,106226.02537621718,0.0,0
0001,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,256,64,false,1920,1048576,external,32,8192,64,192,82.28571428571429,0,14458,14918.329896907217,15058.461538461539,1576.2374538888007,416.3963261755416,28.44244694367103,35.8952397428106,0.375,2.0,15.004437,0.008126,0.0,0,0,3424.078,3424.042,3424.078,3361.392,3361.331,1781.2409020618556,1781.1984664948454,1781.2409020618556,1660.8207108433735,1660.7797349397592,966.9813096939345,966.9801696173158,1003.1523487536134,1003.1507946564323,None,388,83,3.5250839983453255,6.931756853774589,258.5901756926968,102141.27492000985,0.0,0
0002,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,512,128,false,3840,1048576,external,32,8192,128,384,164.57142857142858,6642,6721,7229.633419689119,7264.601941747573,635.9564987465878,364.49200049872866,25.291611697417245,43.65542770909214,0.6875,2.6875,14.985115,0.014865,0.0,0,0,3051.638,3051.59,3051.638,3690.414,3690.368,1702.9217370466322,1702.8811930051813,1702.9217370466322,1836.7285393258426,1836.6901123595505,935.9696334914571,935.9672020339136,1064.8185016815733,1064.8177900996645,None,772,178,3.511484397509163,6.935252482820389,515.1778948643371,119744.36596030946,0.0,0
0003,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,1024,256,false,7680,1048576,external,32,8192,255,768,342.0,2716,2913,3419.0162337662337,3444.8676470588234,372.73365109025525,334.1960828694341,29.768577438207643,39.820885656317884,0.8125,4.375,14.995953,0.024027,0.0,0,0,3247.816,3247.783,3247.816,2925.918,2925.868,1763.1139759740258,1763.0675487012986,1763.1139759740258,1563.1879093851132,1563.146928802589,940.8287756355547,940.8220601289506,867.1639214673066,867.1637158784185,None,1540,309,3.51356661268462,5.875135740115329,1026.9437360866627,128605.31901610688,0.0,0
0004,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,2048,512,false,15360,1048576,external,32,8192,516,1544,773.75,783,1055,1587.6565853658537,1590.8911917098446,593.1897771339364,477.10838821386363,21.725746234673164,616.0049280394243,1.125,7.9375,12.094865,0.047046,0.0,0,0,3018.047,3017.116,3018.047,2976.843,2974.774,1680.8668917073169,1680.797090406504,1680.8668917073169,1713.7759876325088,1713.7112014134275,882.0420883840472,881.9901790121902,836.088686061192,836.0423478021975,None,3075,566,3.5025684069783587,67.7885674580982,2542.4012587159923,120307.78387110488,0.0,0
0005,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,4096,1024,false,30720,1048576,external,32,8192,1044,2048,1295.25,-6284,104,391.4889394925179,258.4966532797858,1562.074498315184,1677.0203639974804,23.33779551431846,343.0335601166314,1.5625,12.875,21.045187,0.090719,1.0,1,1,7663.241,7189.225,7663.241,4668.108,4668.054,2728.1108689004554,2615.8420211450875,2728.1108689004554,2126.805673397717,2126.670085162423,2115.2193289620277,1910.0936691769357,1268.8445273290633,1268.7820532839212,None,6148,1139,3.3890792789130413,31.791953456580135,2921.3330344843216,125552.53034094292,0.0,0
0006,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,8192,2048,false,61440,1048576,external,32,8192,2048,2048,2048.0,-47106,-9613,-1074.2776512687053,-2795.5626666666667,7448.927216357487,11246.684799533576,23.543757103447476,399.9533387771427,2.6875,21.8125,27.236173,0.156747,1.0,1,1,18731.79,11273.942,18731.79,6737.749,6737.708,4812.116771307742,3323.4680387931035,4812.116771307742,2274.9010043966778,2274.7606868588177,5953.2894683711265,3434.686635585392,1684.3725559695188,1684.332634210768,None,12296,2047,3.511630520283178,6.988085314538711,4514.584336059254,130592.61102285849,0.0,0
0007,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,12288,3072,false,92160,1048576,external,32,8192,2048,2048,2048.0,-90121,-37149,-3495.5435441941077,-5729.844290657439,15663.094599449234,18216.46261888628,33.55171378622261,45.61931732446213,2.5,35.083333333333336,22.126677,0.190345,1.0,1,1,17447.271,6413.884,17447.271,7508.181,7508.143,4859.338135398613,3149.8475083405547,4859.338135398613,2315.5721524024025,2315.3169354354354,5501.048346651075,2529.5086900701485,1680.8747136582256,1680.8040752172103,None,18464,2664,4.803189317706957,10.078105316200553,8344.678236140022,139956.39496703356,0.0,0
0008,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,24576,6144,false,184320,1048576,external,32,8192,2048,2048,2048.0,-272191,-217873,-25035.353671706263,-54012.33363390442,64291.646401774386,84357.53129833765,46.143439371567375,60.47638298641582,3.5833333333333335,50.5,24.573525,0.367438,2.0,2,2,14809.474,8854.45,14809.474,3230.147,3230.117,5972.161457316414,3953.079739011879,5972.161457316414,2127.5432838709676,2125.811757802964,5085.452940900306,2606.1392413310095,1449.8656743763738,1449.2421964719006,None,37040,5735,7.442969070413661,10.806429825746319,15073.132568485798,156080.75375981798,0.0,0
0009,4,1,0,0,10,false,Straggler,60000,1,1gbit,4,Pbft,1,4,4,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,32768,8192,false,245760,1048576,external,32,8192,2048,2048,2048.0,-375528,-343092,-58255.55551037007,-112121.18972542073,109207.44554903552,136248.93846614312,55.4244337255531,49.01240013723472,3.75,51.916666666666664,24.394587,0.463751,3.0,3,3,14277.217,8839.946,14277.217,3157.792,3138.894,6650.819433977227,4283.858898515657,6650.819433977227,2456.9349161945693,2061.6557843328774,4831.3813983690225,2673.8771287526133,1389.1181424383847,1576.5103696776189,1.3636363636363635,49180,5119,9.143337168058466,9.03432138694902,20160.210131862448,110382.51130455783,0.0,0
