exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,8192,8192,false,491520,4194304,external,32,8192,1211,3105,2121.8194444444443,-581490,-581490,-220143.9116639478,-254459.5999873032,156091.18914109687,161265.26332111872,16.423271683263167,16.79774056391298,3.2697368421052633,21.835526315789473,29.372407,18.400145,0.0,0,0,1333.871,1240.79,1333.871,1362.511,1247.137,766.2633767944535,682.553560766721,766.3376524310654,805.3771813441851,705.598871113372,338.79903033522936,331.6380619049289,338.74935253907165,338.8786905929848,1.3333333333333333,24520,15727,4.092646560396258,4.188895691319346,8347.970937485648,8547.215252923279,0.0,0
0001,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,16384,16384,false,983040,4194304,external,32,8192,1758,2555,2154.277777777778,-14280946,-11866184,-7060363.735347737,-7428587.944949558,4203765.108030485,2599072.1520652,16.433562981331935,16.236125928709146,2.526315789473684,21.05921052631579,29.389653,18.416348,0.0,0,0,1310.297,1291.278,1310.322,1300.829,1287.991,737.4665384585547,673.96385241069,737.8115729259677,726.1886437836515,666.7918053108174,347.50317372607435,339.8624341434833,347.11915509054444,343.5328458551303,None,25781,16344,4.0945607096058625,4.189828075060304,8772.134873453593,8874.723696576542,0.0,0
0002,4,1,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,8192,8192,false,491520,4194304,external,32,8192,1773,3631,2207.0476190476193,-474082,-474082,-37629.7010451828,-65947.62933118452,100942.62082928546,133051.07542338845,4.956281467224524,13.82632522446792,5.642857142857143,32.848214285714285,174.119954,12.404925,0.0,0,0,135895.028,135894.996,135885.183,21147.396,21147.198,55792.52430196429,55778.22264740331,55771.2200262826,14119.625485135135,14117.43115162162,39720.97862151208,39715.72781428533,3852.7628214750002,3851.1306604929846,None,24589,3700,1.238653619001897,3.434563269521056,1412.1873705526018,2982.6863120897547,0.0,0
0003,4,1,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,8192,8192,false,491520,4194304,external,32,8192,1773,3631,2207.0476190476193,-474082,-474082,-37629.7010451828,-65947.62933118452,100942.62082928546,133051.07542338845,4.956281467224524,13.82632522446792,5.642857142857143,32.848214285714285,174.119954,12.404925,0.0,0,0,135895.028,135894.996,135885.183,21147.396,21147.198,55792.52430196429,55778.22264740331,55771.2200262826,15215.262512523642,14117.43115162162,39720.97862151208,39715.72781428533,3852.7628214750002,3851.1306604929846,None,24589,3700,1.238653619001897,3.434563269521056,1412.1873705526018,3282.6863120897547,0.0,0

0004,4,1,0,EpochStart,60000,1,1gbit,4,HotStuff,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,152,188,172.90625,-24773480,-20607635,-12293291.970673077,-14166443.396911899,7375641.35247236,3877650.2077290034,16.404055034157224,16.291819600351772,10.921875,59.0234375,29.962363,15.286702,0.0,0,0,4325.813,4322.963,4325.813,4331.64,4329.764,3770.9832254807693,3769.554571153846,3770.9832254807693,3778.443072657744,3776.8916195028683,314.3163394739826,313.79739089618505,313.1058870233332,312.4318188995191,None,2080,1046,4.091654045895254,4.2446659968495295,694.2042588563526,684.2548510463539,0.0,0
0005,4,1,0,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,165,213,193.3684210526316,-23835964,-19827924,-11581968.242485784,-16266597.707671957,7218862.632129703,2331639.1333710803,15.726829247456173,17.290804678027207,10.131578947368421,59.21052631578947,30.777292,8.947684,0.0,0,0,12252.778,12249.708,12252.778,12348.808,12348.338,8219.032681559707,8217.783044272948,8219.032681559707,8033.6648581560285,8032.329387234043,3818.954199725147,3818.9778319021343,4111.560328286212,4111.680961552449,None,2462,705,3.8890067524236365,4.197861101392817,799.9404236084189,787.9133863019749,0.0,0
0006,4,1,0,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,173,216,194.6216216216216,-23817321,-19831378,-11667447.14025869,-16222725.64807437,7167035.042922712,2209444.504523699,15.7319224653197,17.39681964390885,9.513157894736842,58.31578947368421,30.733049,8.326407,0.0,0,0,12229.616,12229.035,12229.616,12300.827,12300.146,8180.767261519805,8179.505009296686,8180.767261519805,8004.080644628099,8002.851907713499,3820.246217540868,3820.2757988008734,4099.647502721395,4099.815284063785,None,2474,726,3.8878363831828398,4.094245095896626,804.9966015412268,871.9247089410835,0.0,0
0007,4,1,0,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,175,207,195.02631578947367,-23787966,-19786174,-11644717.93634166,-16159392.32841823,7122992.465527524,2197798.8403000752,15.721824798372573,16.075450403632388,9.06578947368421,57.85526315789474,30.722108,8.319995,0.0,0,0,12200.24,12197.459,12200.24,12303.962,12300.525,8158.8615354552785,8157.671300161161,8158.8615354552785,7975.41168125855,7974.1872216142265,3815.48567165756,3815.5081935920302,4103.8876975402445,4104.077381277256,None,2482,731,3.8855086762252338,4.196612163350257,807.8872712770882,878.6062972393613,0.0,0
0008,4,1,0,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,176,208,192.81632653061226,-24140813,-20090110,-11960616.883333333,-15236950.101936799,7261401.750157356,2986936.9036968886,15.942059726483183,16.941054395343325,11.310679611650485,61.067961165048544,30.809693,12.082845,0.0,0,0,9265.536,9264.576,9265.536,9331.537,9328.414,6380.970564957265,6379.6431085470085,6380.970564957265,6399.132967320262,6397.650518518519,2480.484974608908,2480.460537954199,2591.903717569728,2591.9211276316983,None,2340,918,3.9507367478002227,4.0702214541040584,759.5012387822235,759.7548425060488,0.0,0
